date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
15/01/2006,2006,1,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,10.31,0.11
15/01/2006,2006,1,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,16.0,0.18
15/01/2006,2006,1,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,13.9,0.15
15/02/2006,2006,2,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,11.0,0.12
15/02/2006,2006,2,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,13.5,0.15
15/02/2006,2006,2,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,13.75,0.15
15/02/2006,2006,2,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,13.0,0.14
15/03/2006,2006,3,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,9.33,0.1
15/03/2006,2006,3,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,14.0,0.15
15/03/2006,2006,3,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,13.0,0.14
15/04/2006,2006,4,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,9.15,0.1
15/04/2006,2006,4,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,10.0,0.11
15/04/2006,2006,4,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,13.15,0.14
15/04/2006,2006,4,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,12.5,0.14
15/05/2006,2006,5,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,9.63,0.11
15/05/2006,2006,5,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/05/2006,2006,5,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,13.48,0.15
15/05/2006,2006,5,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,12.0,0.13
15/06/2006,2006,6,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,8.0,0.09
15/06/2006,2006,6,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/06/2006,2006,6,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,10.3,0.11
15/06/2006,2006,6,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,13.67,0.15
15/07/2006,2006,7,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,6.38,0.07
15/07/2006,2006,7,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,14.5,0.16
15/07/2006,2006,7,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,10.78,0.12
15/07/2006,2006,7,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/08/2006,2006,8,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,9.75,0.11
15/08/2006,2006,8,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/08/2006,2006,8,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,10.75,0.12
15/08/2006,2006,8,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,15.0,0.16
15/09/2006,2006,9,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,8.38,0.09
15/09/2006,2006,9,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/09/2006,2006,9,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,11.83,0.13
15/09/2006,2006,9,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.25,0.16
15/10/2006,2006,10,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,8.28,0.09
15/10/2006,2006,10,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,13.75,0.15
15/10/2006,2006,10,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,11.4,0.13
15/10/2006,2006,10,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/11/2006,2006,11,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.0,0.08
15/11/2006,2006,11,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,13.75,0.15
15/11/2006,2006,11,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,11.13,0.12
15/11/2006,2006,11,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.75,0.16
15/12/2006,2006,12,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.5,0.08
15/12/2006,2006,12,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/12/2006,2006,12,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,10.2,0.11
15/12/2006,2006,12,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/01/2007,2007,1,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.67,0.08
15/01/2007,2007,1,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/01/2007,2007,1,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,11.97,0.13
15/01/2007,2007,1,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/02/2007,2007,2,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.0,0.08
15/02/2007,2007,2,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,13.75,0.15
15/02/2007,2007,2,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,13.8,0.15
15/02/2007,2007,2,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/03/2007,2007,3,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,6.25,0.07
15/03/2007,2007,3,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,11.5,0.13
15/03/2007,2007,3,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,14.25,0.16
15/03/2007,2007,3,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,13.5,0.15
15/04/2007,2007,4,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.6,0.08
15/04/2007,2007,4,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,13.0,0.14
15/04/2007,2007,4,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,16.2,0.18
15/04/2007,2007,4,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/05/2007,2007,5,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,8.08,0.09
15/05/2007,2007,5,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,13.0,0.14
15/05/2007,2007,5,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,14.45,0.16
15/05/2007,2007,5,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/06/2007,2007,6,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.9,0.09
15/06/2007,2007,6,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,12.5,0.14
15/06/2007,2007,6,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,12.35,0.14
15/06/2007,2007,6,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/07/2007,2007,7,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.25,0.08
15/07/2007,2007,7,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/07/2007,2007,7,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,10.45,0.11
15/07/2007,2007,7,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/08/2007,2007,8,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.25,0.08
15/08/2007,2007,8,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,10.0,0.11
15/08/2007,2007,8,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,10.0,0.11
15/08/2007,2007,8,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/09/2007,2007,9,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.35,0.08
15/09/2007,2007,9,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,10.0,0.11
15/09/2007,2007,9,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,10.0,0.11
15/09/2007,2007,9,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.75,0.16
15/10/2007,2007,10,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,5.75,0.06
15/10/2007,2007,10,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,11.0,0.12
15/10/2007,2007,10,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,12.5,0.14
15/10/2007,2007,10,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.0,0.15
15/11/2007,2007,11,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,6.17,0.07
15/11/2007,2007,11,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/11/2007,2007,11,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,14.0,0.15
15/11/2007,2007,11,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,13.67,0.15
15/12/2007,2007,12,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,6.83,0.08
15/12/2007,2007,12,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,16.25,0.18
15/12/2007,2007,12,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,15.0,0.16
15/12/2007,2007,12,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,14.5,0.16
15/01/2008,2008,1,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,6.77,0.07
15/01/2008,2008,1,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,91.0,8.12,0.09
15/01/2008,2008,1,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,91.0,15.25,0.17
15/01/2008,2008,1,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/01/2008,2008,1,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,91.0,16.0,0.18
15/01/2008,2008,1,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,91.0,45.7,0.5
15/01/2008,2008,1,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,91.0,17.5,0.19
15/01/2008,2008,1,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,16.5,0.18
15/01/2008,2008,1,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,91.0,13.25,0.15
15/01/2008,2008,1,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,16.0,0.18
15/01/2008,2008,1,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,91.0,17.12,0.19
15/01/2008,2008,1,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,91.0,17.25,0.19
15/02/2008,2008,2,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.75,0.09
15/02/2008,2008,2,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,91.0,7.75,0.09
15/02/2008,2008,2,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,91.0,9.5,0.1
15/02/2008,2008,2,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,91.0,15.0,0.16
15/02/2008,2008,2,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,91.0,16.58,0.18
15/02/2008,2008,2,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,91.0,13.0,0.14
15/02/2008,2008,2,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,91.0,18.25,0.2
15/02/2008,2008,2,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,91.0,17.25,0.19
15/02/2008,2008,2,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,91.0,14.25,0.16
15/02/2008,2008,2,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,91.0,15.0,0.16
15/02/2008,2008,2,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,91.0,17.75,0.2
15/02/2008,2008,2,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,91.0,16.25,0.18
15/03/2008,2008,3,15,ASHANTI,Kumasi,KMA,6.68,-1.62,91.0,7.67,0.08
15/03/2008,2008,3,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,91.0,8.0,0.09
15/03/2008,2008,3,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,91.0,10.0,0.11
