date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
2019-08-15,2019,8,15,ASHANTI,Ejura,EJURA SEKYE DUMASE,7.38,-1.37,1.0,2.79,2.79
2019-08-15,2019,8,15,ASHANTI,Kumasi,KMA,6.68,-1.62,16.0,5.22,0.33
2019-08-15,2019,8,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,1.43,1.43
2019-08-15,2019,8,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,2.11,2.11
2019-08-15,2019,8,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,3.79,3.79
2019-08-15,2019,8,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,16.0,19.87,1.24
2019-08-15,2019,8,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,2.88,2.88
2019-08-15,2019,8,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,16.0,28.31,1.77
2019-08-15,2019,8,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,3.97,3.97
2019-08-15,2019,8,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.05,2.05
2019-08-15,2019,8,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,16.0,5.0,0.31
2019-08-15,2019,8,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,16.0,35.6,2.22
2019-08-15,2019,8,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,5.94,5.94
2019-08-15,2019,8,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,16.0,36.59,2.29
2019-08-15,2019,8,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,5.56,5.56
2019-08-15,2019,8,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,16.0,33.33,2.08
2019-08-15,2019,8,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,3.97,3.97
2019-08-15,2019,8,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,1.0,8.29,8.29
2019-08-15,2019,8,15,UPPER EAST,Garu,GARU TEMPANE,10.85,-0.18,1.0,5.6,5.6
2019-08-15,2019,8,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,2.0,2.0
2019-08-15,2019,8,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,16.0,35.0,2.19
2019-08-15,2019,8,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,6.06,6.06
2019-09-15,2019,9,15,ASHANTI,Ejura,EJURA SEKYE DUMASE,7.38,-1.37,1.0,2.75,2.75
2019-09-15,2019,9,15,ASHANTI,Kumasi,KMA,6.68,-1.62,16.0,5.22,0.33
2019-09-15,2019,9,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,1.43,1.43
2019-09-15,2019,9,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,1.58,1.58
2019-09-15,2019,9,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,2.14,2.14
2019-09-15,2019,9,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,16.0,19.74,1.23
2019-09-15,2019,9,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,3.22,3.22
2019-09-15,2019,9,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,16.0,28.31,1.77
2019-09-15,2019,9,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,3.14,3.14
2019-09-15,2019,9,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.27,2.27
2019-09-15,2019,9,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,16.0,5.0,0.31
2019-09-15,2019,9,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,16.0,35.66,2.23
2019-09-15,2019,9,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,5.65,5.65
2019-09-15,2019,9,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,16.0,36.2,2.26
2019-09-15,2019,9,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,5.56,5.56
2019-09-15,2019,9,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,16.0,33.33,2.08
2019-09-15,2019,9,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,3.97,3.97
2019-09-15,2019,9,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,1.0,8.29,8.29
2019-09-15,2019,9,15,UPPER EAST,Garu,GARU TEMPANE,10.85,-0.18,1.0,5.6,5.6
2019-09-15,2019,9,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,2.0,2.0
2019-09-15,2019,9,15,VOLTA,Hohoe,HOHOE MUNICIPAL,7.15,0.47,16.0,22.12,1.38
2019-09-15,2019,9,15,VOLTA,Hohoe,HOHOE MUNICIPAL,7.15,0.47,1.0,1.14,1.14
2019-09-15,2019,9,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,16.0,24.96,1.56
2019-09-15,2019,9,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,9.24,9.24
2019-10-15,2019,10,15,ASHANTI,Ejura,EJURA SEKYE DUMASE,7.38,-1.37,1.0,2.74,2.74
2019-10-15,2019,10,15,ASHANTI,Kumasi,KMA,6.68,-1.62,16.0,5.22,0.33
2019-10-15,2019,10,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,1.43,1.43
2019-10-15,2019,10,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,1.51,1.51
2019-10-15,2019,10,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,1.9,1.9
2019-10-15,2019,10,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,16.0,19.66,1.23
2019-10-15,2019,10,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,2.61,2.61
2019-10-15,2019,10,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,16.0,28.31,1.77
2019-10-15,2019,10,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,3.02,3.02
2019-10-15,2019,10,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.75,2.75
2019-10-15,2019,10,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,16.0,5.0,0.31
2019-10-15,2019,10,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,16.0,35.67,2.23
2019-10-15,2019,10,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,5.61,5.61
2019-10-15,2019,10,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,16.0,36.15,2.26
2019-10-15,2019,10,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,5.56,5.56
2019-10-15,2019,10,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,16.0,33.33,2.08
2019-10-15,2019,10,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,3.97,3.97
2019-10-15,2019,10,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,1.0,8.29,8.29
2019-10-15,2019,10,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,16.0,35.0,2.19
