date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
2008-01-15,2008,1,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,1.82,1.82
2008-01-15,2008,1,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,3.37,3.37
2008-01-15,2008,1,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,1.62,1.62
2008-01-15,2008,1,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,1.87,1.87
2008-01-15,2008,1,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,3.65,3.65
2008-01-15,2008,1,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.87,2.87
2008-01-15,2008,1,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,2.8,2.8
2008-01-15,2008,1,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,2.93,2.93
2008-01-15,2008,1,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,4.13,4.13
2008-01-15,2008,1,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,5.0,5.0
2008-01-15,2008,1,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,3.33,3.33
2008-01-15,2008,1,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,4.45,4.45
2008-02-15,2008,2,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,1.77,1.77
2008-02-15,2008,2,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,2.75,2.75
2008-02-15,2008,2,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,1.42,1.42
2008-02-15,2008,2,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,2.37,2.37
2008-02-15,2008,2,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,3.65,3.65
2008-02-15,2008,2,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.75,2.75
2008-02-15,2008,2,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,3.3,3.3
2008-02-15,2008,2,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,3.7,3.7
2008-02-15,2008,2,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,3.5,3.5
2008-02-15,2008,2,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,4.75,4.75
2008-02-15,2008,2,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,3.55,3.55
2008-02-15,2008,2,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,5.12,5.12
2008-03-15,2008,3,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,2.7,2.7
2008-03-15,2008,3,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,2.67,2.67
2008-03-15,2008,3,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,0.87,0.87
2008-03-15,2008,3,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,2.5,2.5
2008-03-15,2008,3,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,3.73,3.73
2008-03-15,2008,3,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.8,2.8
2008-03-15,2008,3,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,4.23,4.23
2008-03-15,2008,3,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,4.33,4.33
2008-03-15,2008,3,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,3.67,3.67
2008-03-15,2008,3,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,4.67,4.67
2008-03-15,2008,3,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,3.67,3.67
2008-03-15,2008,3,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,4.83,4.83
2008-04-15,2008,4,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,2.4,2.4
2008-04-15,2008,4,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,3.25,3.25
