date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
2006-01-15,2006,1,15,ASHANTI,Kumasi,KMA,6.68,-1.62,50.0,33.06,0.66
2006-01-15,2006,1,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,50.0,21.56,0.43
2006-01-15,2006,1,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,50.0,26.0,0.52
2006-01-15,2006,1,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,50.0,20.0,0.4
2006-01-15,2006,1,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,50.0,28.5,0.57
2006-01-15,2006,1,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,50.0,26.07,0.52
2006-02-15,2006,2,15,ASHANTI,Kumasi,KMA,6.68,-1.62,50.0,33.63,0.67
2006-02-15,2006,2,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,50.0,22.38,0.45
2006-02-15,2006,2,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,50.0,28.0,0.56
2006-02-15,2006,2,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,50.0,19.0,0.38
2006-02-15,2006,2,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,50.0,28.34,0.57
2006-02-15,2006,2,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,50.0,28.55,0.57
2006-03-15,2006,3,15,ASHANTI,Kumasi,KMA,6.68,-1.62,50.0,36.67,0.73
2006-03-15,2006,3,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,50.0,17.9,0.36
2006-03-15,2006,3,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,50.0,27.7,0.55
2006-03-15,2006,3,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,50.0,22.67,0.45
2006-03-15,2006,3,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,50.0,30.0,0.6
2006-03-15,2006,3,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,50.0,28.58,0.57
2006-04-15,2006,4,15,ASHANTI,Kumasi,KMA,6.68,-1.62,50.0,36.25,0.72
