date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
2010-06-15,2010,6,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,24.0,0.29
2010-06-15,2010,6,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,84,30.0,0.36
2010-08-15,2010,8,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,62.0,0.74
2010-08-15,2010,8,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,55.5,0.66
2010-08-15,2010,8,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,84,37.5,0.45
2010-08-15,2010,8,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,53.5,0.64
2010-09-15,2010,9,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,39.75,0.47
2010-09-15,2010,9,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,57.5,0.68
2010-09-15,2010,9,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,24.33,0.29
2010-09-15,2010,9,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,84,44.75,0.53
2010-09-15,2010,9,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,43.75,0.52
2010-10-15,2010,10,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,44.0,0.52
2010-10-15,2010,10,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,58.33,0.69
2010-10-15,2010,10,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,27.33,0.33
2010-10-15,2010,10,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,84,41.5,0.49
2010-10-15,2010,10,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,43.75,0.52
2010-11-15,2010,11,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,48.5,0.58
2010-11-15,2010,11,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,45.0,0.54
2010-11-15,2010,11,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,36.0,0.43
2010-11-15,2010,11,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,50.0,0.6
2010-12-15,2010,12,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,44.25,0.53
2010-12-15,2010,12,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,39.5,0.47
2010-12-15,2010,12,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,36.0,0.43
2010-12-15,2010,12,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,84,32.0,0.38
2010-12-15,2010,12,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,36.75,0.44
2011-01-15,2011,1,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,45.0,0.54
2011-01-15,2011,1,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,37.0,0.44
2011-01-15,2011,1,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,30.5,0.36
2011-01-15,2011,1,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,36.25,0.43
2011-02-15,2011,2,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,83.75,1.0
2011-02-15,2011,2,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,42.0,0.5
2011-02-15,2011,2,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,30.0,0.36
2011-02-15,2011,2,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,36.0,0.43
2011-03-15,2011,3,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,81.25,0.97
2011-03-15,2011,3,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,42.75,0.51
2011-03-15,2011,3,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,30.0,0.36
2011-03-15,2011,3,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,43.75,0.52
2011-04-15,2011,4,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,81.25,0.97
2011-04-15,2011,4,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,40.0,0.48
2011-04-15,2011,4,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,30.0,0.36
2011-04-15,2011,4,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,50.5,0.6
2011-05-15,2011,5,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,81.25,0.97
2011-05-15,2011,5,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,84,47.5,0.57
2011-05-15,2011,5,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,84,35.0,0.42
2011-05-15,2011,5,15,UPPER EAST,Bolga,BOLGATANGA MUNICIPAL,10.79,-0.85,84,36.5,0.43
2011-05-15,2011,5,15,UPPER WEST,Wa,WA MUNICIPAL,10.05,-2.48,84,54.5,0.65
2011-06-15,2011,6,15,ASHANTI,Kumasi,KMA,6.68,-1.62,84,81.25,0.97
