date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2007-07-15,2007,7,15,Kumasi,6.68,-1.62,0.08
2007-08-15,2007,8,15,Kumasi,6.68,-1.62,0.08
2007-09-15,2007,9,15,Kumasi,6.68,-1.62,0.08
2007-10-15,2007,10,15,Kumasi,6.68,-1.62,0.06
2007-11-15,2007,11,15,Kumasi,6.68,-1.62,0.07
2007-12-15,2007,12,15,Kumasi,6.68,-1.62,0.08
2008-01-15,2008,1,15,Kumasi,6.68,-1.62,0.07
2008-01-15,2008,1,15,Obuasi,6.2,-1.67,0.09
2008-02-15,2008,2,15,Kumasi,6.68,-1.62,0.09
2008-02-15,2008,2,15,Obuasi,6.2,-1.67,0.09
2008-03-15,2008,3,15,Kumasi,6.68,-1.62,0.08
2008-03-15,2008,3,15,Obuasi,6.2,-1.67,0.09
2008-04-15,2008,4,15,Kumasi,6.68,-1.62,0.09
2008-04-15,2008,4,15,Obuasi,6.2,-1.67,0.1
2008-05-15,2008,5,15,Kumasi,6.68,-1.62,0.13
2008-05-15,2008,5,15,Obuasi,6.2,-1.67,0.11
2008-06-15,2008,6,15,Kumasi,6.68,-1.62,0.11
2008-06-15,2008,6,15,Obuasi,6.2,-1.67,0.1
2008-07-15,2008,7,15,Kumasi,6.68,-1.62,0.08
2008-07-15,2008,7,15,Obuasi,6.2,-1.67,0.08
2008-08-15,2008,8,15,Kumasi,6.68,-1.62,0.1
2008-08-15,2008,8,15,Obuasi,6.2,-1.67,0.09
2008-09-15,2008,9,15,Kumasi,6.68,-1.62,0.11
2008-09-15,2008,9,15,Obuasi,6.2,-1.67,0.09
2008-10-15,2008,10,15,Kumasi,6.68,-1.62,0.11
2008-10-15,2008,10,15,Obuasi,6.2,-1.67,0.1
2008-11-15,2008,11,15,Kumasi,6.68,-1.62,0.11
2008-11-15,2008,11,15,Obuasi,6.2,-1.67,0.09
2008-12-15,2008,12,15,Kumasi,6.68,-1.62,0.12
2008-12-15,2008,12,15,Obuasi,6.2,-1.67,0.1
2009-01-15,2009,1,15,Kumasi,6.68,-1.62,0.21
2009-01-15,2009,1,15,Obuasi,6.2,-1.67,0.1
2009-02-15,2009,2,15,Ejura,7.38,-1.37,0.09
2009-02-15,2009,2,15,Kumasi,6.68,-1.62,0.11
2009-02-15,2009,2,15,Obuasi,6.2,-1.67,0.13
2009-03-15,2009,3,15,Ejura,7.38,-1.37,0.09
2009-03-15,2009,3,15,Kumasi,6.68,-1.62,0.1
