date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,100 ,aggregate,Wholesale,102.94
2019-08-15,2019,8,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.37
2019-08-15,2019,8,15,Kumasi,KMA,215,6.68,-1.62,100 ,aggregate,Wholesale,197.22
2019-08-15,2019,8,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.47
2019-08-15,2019,8,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.92
2019-09-15,2019,9,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,100 ,aggregate,Wholesale,103.49
2019-09-15,2019,9,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.34
2019-09-15,2019,9,15,Kumasi,KMA,215,6.68,-1.62,100 ,aggregate,Wholesale,192.33
2019-09-15,2019,9,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.25
2019-09-15,2019,9,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.92
2019-10-15,2019,10,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,100 ,aggregate,Wholesale,105.51
2019-10-15,2019,10,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.32
2019-10-15,2019,10,15,Kumasi,KMA,215,6.68,-1.62,100 ,aggregate,Wholesale,191.63
2019-10-15,2019,10,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.22
2019-10-15,2019,10,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.92
2019-11-15,2019,11,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,100 ,aggregate,Wholesale,108.05
2019-11-15,2019,11,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.48
2019-11-15,2019,11,15,Kumasi,KMA,215,6.68,-1.62,100 ,aggregate,Wholesale,151.36
2019-11-15,2019,11,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.22
2019-11-15,2019,11,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.92
2019-12-15,2019,12,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,100 ,aggregate,Wholesale,104.71
2019-12-15,2019,12,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.32
2019-12-15,2019,12,15,Kumasi,KMA,215,6.68,-1.62,100 ,aggregate,Wholesale,151.36
2019-12-15,2019,12,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.22
2019-12-15,2019,12,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.92
2020-01-15,2020,1,15,Kumasi,KMA,215,6.68,-1.62,100 ,aggregate,Wholesale,160.33
2020-01-15,2020,1,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.37
2020-01-15,2020,1,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.92
2020-02-15,2020,2,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,100 ,aggregate,Wholesale,143.41
2020-02-15,2020,2,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.83
2020-02-15,2020,2,15,Kumasi,KMA,215,6.68,-1.62,100 ,aggregate,Wholesale,231.54
2020-02-15,2020,2,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.34
2020-02-15,2020,2,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.92
2020-03-15,2020,3,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,100 ,aggregate,Wholesale,125.05
2020-03-15,2020,3,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.55
