date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-02-15,2006,2,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,40.25
2006-03-15,2006,3,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,39.67
2006-04-15,2006,4,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,40.63
2006-05-15,2006,5,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,41.5
2006-06-15,2006,6,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,41.67
2006-07-15,2006,7,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,41.5
2006-08-15,2006,8,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,46.5
2006-09-15,2006,9,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,38.75
2006-10-15,2006,10,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,55.5
2006-11-15,2006,11,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,38.13
2006-12-15,2006,12,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,41.0
2007-01-15,2007,1,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,42.33
2007-02-15,2007,2,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,34.25
2007-03-15,2007,3,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,32.0
2007-04-15,2007,4,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,34.25
2007-05-15,2007,5,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,35.75
2007-06-15,2007,6,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,35.0
2007-07-15,2007,7,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,36.25
2007-08-15,2007,8,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,34.0
2007-09-15,2007,9,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,34.13
2007-10-15,2007,10,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,37.0
2007-11-15,2007,11,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,50.0
2007-12-15,2007,12,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,49.67
2008-01-15,2008,1,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,49.75
2008-02-15,2008,2,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,52.75
2008-03-15,2008,3,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,50.67
2008-04-15,2008,4,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,51.25
2008-05-15,2008,5,15,Kumasi,KMA,215,6.68,-1.62,93 ,actual,Wholesale,56.0
