date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Ejura,7.38,-1.37,2.79,2.79
2019-08-15,2019,8,15,Kumasi,6.68,-1.62,5.22,0.33
2019-08-15,2019,8,15,Kumasi,6.68,-1.62,1.43,1.43
2019-08-15,2019,8,15,Obuasi,6.2,-1.67,2.11,2.11
2019-09-15,2019,9,15,Ejura,7.38,-1.37,2.75,2.75
2019-09-15,2019,9,15,Kumasi,6.68,-1.62,5.22,0.33
2019-09-15,2019,9,15,Kumasi,6.68,-1.62,1.43,1.43
2019-09-15,2019,9,15,Obuasi,6.2,-1.67,1.58,1.58
2019-10-15,2019,10,15,Ejura,7.38,-1.37,2.74,2.74
2019-10-15,2019,10,15,Kumasi,6.68,-1.62,5.22,0.33
2019-10-15,2019,10,15,Kumasi,6.68,-1.62,1.43,1.43
2019-10-15,2019,10,15,Obuasi,6.2,-1.67,1.51,1.51
2019-11-15,2019,11,15,Ejura,7.38,-1.37,2.81,2.81
2019-11-15,2019,11,15,Kumasi,6.68,-1.62,5.22,0.33
2019-11-15,2019,11,15,Kumasi,6.68,-1.62,1.43,1.43
2019-11-15,2019,11,15,Obuasi,6.2,-1.67,1.51,1.51
2019-12-15,2019,12,15,Ejura,7.38,-1.37,2.72,2.72
2019-12-15,2019,12,15,Kumasi,6.68,-1.62,5.22,0.33
2019-12-15,2019,12,15,Kumasi,6.68,-1.62,1.43,1.43
2019-12-15,2019,12,15,Obuasi,6.2,-1.67,1.51,1.51
2020-01-15,2020,1,15,Kumasi,6.68,-1.62,5.22,0.33
2020-01-15,2020,1,15,Kumasi,6.68,-1.62,1.51,1.51
2020-01-15,2020,1,15,Obuasi,6.2,-1.67,1.51,1.51
2020-02-15,2020,2,15,Ejura,7.38,-1.37,10.15,10.15
2020-02-15,2020,2,15,Kumasi,6.68,-1.62,189.52,11.84
2020-02-15,2020,2,15,Kumasi,6.68,-1.62,10.61,10.61
2020-02-15,2020,2,15,Obuasi,6.2,-1.67,17.39,17.39
2020-03-15,2020,3,15,Ejura,7.38,-1.37,2.71,2.71
2020-03-15,2020,3,15,Kumasi,6.68,-1.62,10.56,0.66
2020-03-15,2020,3,15,Kumasi,6.68,-1.62,1.67,1.67
2020-03-15,2020,3,15,Obuasi,6.2,-1.67,1.14,1.14
2020-04-15,2020,4,15,Ejura,7.38,-1.37,7.55,7.55
2020-04-15,2020,4,15,Kumasi,6.68,-1.62,326.67,20.42
2020-04-15,2020,4,15,Kumasi,6.68,-1.62,26.06,26.06
2020-04-15,2020,4,15,Obuasi,6.2,-1.67,31.15,31.15
2020-05-15,2020,5,15,Ejura,7.38,-1.37,8.62,8.62
2020-05-15,2020,5,15,Kumasi,6.68,-1.62,190.52,11.91
2020-05-15,2020,5,15,Kumasi,6.68,-1.62,18.79,18.79
2020-05-15,2020,5,15,Obuasi,6.2,-1.67,31.15,31.15
2020-06-15,2020,6,15,Ejura,7.38,-1.37,408.15,25.51
2020-06-15,2020,6,15,Kumasi,6.68,-1.62,113.68,7.1
2020-07-15,2020,7,15,Ejura,7.38,-1.37,10.15,10.15
2020-07-15,2020,7,15,Kumasi,6.68,-1.62,189.52,11.84
2020-07-15,2020,7,15,Kumasi,6.68,-1.62,10.61,10.61
2020-07-15,2020,7,15,Obuasi,6.2,-1.67,11.6,11.6
2020-08-15,2020,8,15,Kumasi,6.68,-1.62,136.2,8.51
2020-08-15,2020,8,15,Kumasi,6.68,-1.62,6.16,6.16
2020-08-15,2020,8,15,Obuasi,6.2,-1.67,16.11,16.11
2020-09-15,2020,9,15,Kumasi,6.68,-1.62,207.93,13.0
2020-09-15,2020,9,15,Kumasi,6.68,-1.62,18.75,18.75
2020-09-15,2020,9,15,Obuasi,6.2,-1.67,20.42,20.42
2020-10-15,2020,10,15,Kumasi,6.68,-1.62,19.05,1.19
2020-10-15,2020,10,15,Kumasi,6.68,-1.62,1.95,1.95
2020-11-15,2020,11,15,Kumasi,6.68,-1.62,19.05,1.19
2020-11-15,2020,11,15,Kumasi,6.68,-1.62,1.95,1.95
2020-11-15,2020,11,15,Obuasi,6.2,-1.67,4.99,4.99
2020-12-15,2020,12,15,Kumasi,6.68,-1.62,46.73,2.92
2020-12-15,2020,12,15,Kumasi,6.68,-1.62,1.95,1.95
2020-12-15,2020,12,15,Obuasi,6.2,-1.67,4.99,4.99
2021-01-15,2021,1,15,Ejura,7.38,-1.37,2.19,2.19
2021-01-15,2021,1,15,Kumasi,6.68,-1.62,108.2,6.76
2021-01-15,2021,1,15,Kumasi,6.68,-1.62,3.45,3.45
2021-01-15,2021,1,15,Obuasi,6.2,-1.67,2.03,2.03
2021-02-15,2021,2,15,Ejura,7.38,-1.37,129.68,8.1
2021-02-15,2021,2,15,Kumasi,6.68,-1.62,251.77,15.74
2021-02-15,2021,2,15,Kumasi,6.68,-1.62,2.78,2.78
2021-02-15,2021,2,15,Obuasi,6.2,-1.67,6.32,6.32
2021-03-15,2021,3,15,Kumasi,6.68,-1.62,281.27,17.58
2021-03-15,2021,3,15,Kumasi,6.68,-1.62,2.78,2.78
2021-03-15,2021,3,15,Obuasi,6.2,-1.67,6.42,6.42
2021-04-15,2021,4,15,Kumasi,6.68,-1.62,187.51,11.72
2021-04-15,2021,4,15,Kumasi,6.68,-1.62,2.78,2.78
2021-04-15,2021,4,15,Obuasi,6.2,-1.67,6.28,6.28
2021-05-15,2021,5,15,Kumasi,6.68,-1.62,184.62,11.54
2021-05-15,2021,5,15,Kumasi,6.68,-1.62,2.78,2.78
2021-05-15,2021,5,15,Obuasi,6.2,-1.67,5.63,5.63
2021-06-15,2021,6,15,Kumasi,6.68,-1.62,184.62,11.54
2021-06-15,2021,6,15,Obuasi,6.2,-1.67,1.14,1.14
