date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,33.06
2006-02-15,2006,2,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,33.63
2006-03-15,2006,3,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,36.67
2006-04-15,2006,4,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,36.25
2006-05-15,2006,5,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.63
2006-07-15,2006,7,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,38.25
2006-09-15,2006,9,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,36.5
2006-10-15,2006,10,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.5
2006-11-15,2006,11,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,38.25
2006-12-15,2006,12,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.5
2007-01-15,2007,1,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,38.1
2007-02-15,2007,2,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,36.5
2007-05-15,2007,5,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,47.2
2007-06-15,2007,6,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.5
2007-07-15,2007,7,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,38.25
2007-08-15,2007,8,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,36.5
2007-09-15,2007,9,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.63
2007-10-15,2007,10,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.5
2007-11-15,2007,11,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,36.33
2007-12-15,2007,12,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.67
2008-01-15,2008,1,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,37.5
2008-01-15,2008,1,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,35.25
2008-02-15,2008,2,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,38.25
2008-02-15,2008,2,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,35.0
2008-03-15,2008,3,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,38.0
2008-03-15,2008,3,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,35.0
2008-04-15,2008,4,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,36.75
2008-04-15,2008,4,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,45.0
2008-05-15,2008,5,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,40.6
2008-05-15,2008,5,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,55.0
2008-06-15,2008,6,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,45.62
2008-06-15,2008,6,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,85.6
2008-07-15,2008,7,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,52.5
2008-07-15,2008,7,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,48.5
2008-08-15,2008,8,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,61.44
2008-08-15,2008,8,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,31.5
2008-09-15,2008,9,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,55.63
2008-09-15,2008,9,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,30.0
2008-10-15,2008,10,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,55.0
2008-10-15,2008,10,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,35.0
2008-11-15,2008,11,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,48.2
2008-11-15,2008,11,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,33.0
2008-12-15,2008,12,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,47.5
2008-12-15,2008,12,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,50 ,actual,Wholesale,33.0
2009-01-15,2009,1,15,Kumasi,KMA,215,6.68,-1.62,50 ,actual,Wholesale,51.0
