date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2010-08-15,2010,8,15,Kumasi,6.68,-1.62,0.74
2010-09-15,2010,9,15,Kumasi,6.68,-1.62,0.47
2010-10-15,2010,10,15,Kumasi,6.68,-1.62,0.52
2010-11-15,2010,11,15,Kumasi,6.68,-1.62,0.58
2010-12-15,2010,12,15,Kumasi,6.68,-1.62,0.53
2011-01-15,2011,1,15,Kumasi,6.68,-1.62,0.54
2011-02-15,2011,2,15,Kumasi,6.68,-1.62,1.0
2011-03-15,2011,3,15,Kumasi,6.68,-1.62,0.97
2011-04-15,2011,4,15,Kumasi,6.68,-1.62,0.97
2011-05-15,2011,5,15,Kumasi,6.68,-1.62,0.97
2011-06-15,2011,6,15,Kumasi,6.68,-1.62,0.97
2011-07-15,2011,7,15,Kumasi,6.68,-1.62,1.02
2011-08-15,2011,8,15,Kumasi,6.68,-1.62,1.01
2011-09-15,2011,9,15,Kumasi,6.68,-1.62,1.07
2011-10-15,2011,10,15,Kumasi,6.68,-1.62,1.12
2011-11-15,2011,11,15,Kumasi,6.68,-1.62,1.12
2011-12-15,2011,12,15,Kumasi,6.68,-1.62,1.15
2012-01-15,2012,1,15,Kumasi,6.68,-1.62,1.12
2012-02-15,2012,2,15,Kumasi,6.68,-1.62,1.12
2012-03-15,2012,3,15,Kumasi,6.68,-1.62,1.07
2012-04-15,2012,4,15,Kumasi,6.68,-1.62,1.24
2012-05-15,2012,5,15,Kumasi,6.68,-1.62,1.41
2012-06-15,2012,6,15,Kumasi,6.68,-1.62,1.46
2012-07-15,2012,7,15,Kumasi,6.68,-1.62,1.59
2012-08-15,2012,8,15,Kumasi,6.68,-1.62,1.56
2012-09-15,2012,9,15,Kumasi,6.68,-1.62,1.68
2012-10-15,2012,10,15,Kumasi,6.68,-1.62,1.8
2012-11-15,2012,11,15,Kumasi,6.68,-1.62,1.8
2012-12-15,2012,12,15,Kumasi,6.68,-1.62,1.37
2013-01-15,2013,1,15,Kumasi,6.68,-1.62,1.05
2013-02-15,2013,2,15,Kumasi,6.68,-1.62,0.99
2013-03-15,2013,3,15,Kumasi,6.68,-1.62,1.01
2013-04-15,2013,4,15,Kumasi,6.68,-1.62,1.0
2013-05-15,2013,5,15,Kumasi,6.68,-1.62,0.95
2013-06-15,2013,6,15,Kumasi,6.68,-1.62,1.01
2013-07-15,2013,7,15,Kumasi,6.68,-1.62,1.07
2013-08-15,2013,8,15,Kumasi,6.68,-1.62,1.05
2013-09-15,2013,9,15,Kumasi,6.68,-1.62,1.08
2013-10-15,2013,10,15,Kumasi,6.68,-1.62,1.13
2013-11-15,2013,11,15,Kumasi,6.68,-1.62,1.12
2013-12-15,2013,12,15,Kumasi,6.68,-1.62,1.09
2014-01-15,2014,1,15,Kumasi,6.68,-1.62,1.09
2014-02-15,2014,2,15,Kumasi,6.68,-1.62,1.18
2014-03-15,2014,3,15,Kumasi,6.68,-1.62,1.31
2014-05-15,2014,5,15,Kumasi,6.68,-1.62,1.42
2014-06-15,2014,6,15,Kumasi,6.68,-1.62,1.19
2015-01-15,2015,1,15,Kumasi,6.68,-1.62,1.06
2015-02-15,2015,2,15,Kumasi,6.68,-1.62,1.11
2015-03-15,2015,3,15,Kumasi,6.68,-1.62,1.07
2015-04-15,2015,4,15,Kumasi,6.68,-1.62,1.11
2015-05-15,2015,5,15,Kumasi,6.68,-1.62,1.02
2015-06-15,2015,6,15,Kumasi,6.68,-1.62,1.07
2015-07-15,2015,7,15,Kumasi,6.68,-1.62,1.09
2015-08-15,2015,8,15,Kumasi,6.68,-1.62,1.11
2015-09-15,2015,9,15,Kumasi,6.68,-1.62,1.07
2015-10-15,2015,10,15,Kumasi,6.68,-1.62,1.02
2015-11-15,2015,11,15,Kumasi,6.68,-1.62,0.98
2015-12-15,2015,12,15,Kumasi,6.68,-1.62,0.99
2016-01-15,2016,1,15,Kumasi,6.68,-1.62,1.0
2016-02-15,2016,2,15,Kumasi,6.68,-1.62,0.98
2016-03-15,2016,3,15,Kumasi,6.68,-1.62,0.95
2016-04-15,2016,4,15,Kumasi,6.68,-1.62,1.02
2016-05-15,2016,5,15,Kumasi,6.68,-1.62,1.07
2016-06-15,2016,6,15,Kumasi,6.68,-1.62,1.01
2016-07-15,2016,7,15,Kumasi,6.68,-1.62,0.98
2016-08-15,2016,8,15,Kumasi,6.68,-1.62,1.24
2016-09-15,2016,9,15,Kumasi,6.68,-1.62,1.07
2016-10-15,2016,10,15,Kumasi,6.68,-1.62,1.12
2016-11-15,2016,11,15,Kumasi,6.68,-1.62,1.15
2016-12-15,2016,12,15,Kumasi,6.68,-1.62,1.05
2017-01-15,2017,1,15,Kumasi,6.68,-1.62,1.09
2017-02-15,2017,2,15,Kumasi,6.68,-1.62,1.09
2017-03-15,2017,3,15,Kumasi,6.68,-1.62,1.16
2017-04-15,2017,4,15,Kumasi,6.68,-1.62,1.17
2017-05-15,2017,5,15,Kumasi,6.68,-1.62,1.19
