date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Kumasi,6.68,-1.62,38.25,0.35
2006-02-15,2006,2,15,Kumasi,6.68,-1.62,35.0,0.32
2006-03-15,2006,3,15,Kumasi,6.68,-1.62,39.0,0.36
2006-04-15,2006,4,15,Kumasi,6.68,-1.62,40.0,0.37
2006-05-15,2006,5,15,Kumasi,6.68,-1.62,40.0,0.37
2006-06-15,2006,6,15,Kumasi,6.68,-1.62,40.0,0.37
2006-07-15,2006,7,15,Kumasi,6.68,-1.62,37.75,0.35
2006-08-15,2006,8,15,Kumasi,6.68,-1.62,42.5,0.39
2006-10-15,2006,10,15,Kumasi,6.68,-1.62,39.33,0.36
2006-11-15,2006,11,15,Kumasi,6.68,-1.62,39.25,0.36
2006-12-15,2006,12,15,Kumasi,6.68,-1.62,43.5,0.4
2007-01-15,2007,1,15,Kumasi,6.68,-1.62,43.5,0.4
2007-02-15,2007,2,15,Kumasi,6.68,-1.62,32.75,0.3
2007-03-15,2007,3,15,Kumasi,6.68,-1.62,29.5,0.27
2007-04-15,2007,4,15,Kumasi,6.68,-1.62,32.0,0.29
2007-05-15,2007,5,15,Kumasi,6.68,-1.62,30.0,0.28
2007-06-15,2007,6,15,Kumasi,6.68,-1.62,30.0,0.28
2007-07-15,2007,7,15,Kumasi,6.68,-1.62,32.0,0.29
2007-08-15,2007,8,15,Kumasi,6.68,-1.62,33.0,0.3
2007-09-15,2007,9,15,Kumasi,6.68,-1.62,30.25,0.28
2007-10-15,2007,10,15,Kumasi,6.68,-1.62,20.5,0.19
2007-11-15,2007,11,15,Kumasi,6.68,-1.62,32.67,0.3
2007-12-15,2007,12,15,Kumasi,6.68,-1.62,34.67,0.32
2008-01-15,2008,1,15,Kumasi,6.68,-1.62,40.5,0.37
2008-02-15,2008,2,15,Kumasi,6.68,-1.62,42.5,0.39
2008-03-15,2008,3,15,Kumasi,6.68,-1.62,45.67,0.42
2008-04-15,2008,4,15,Kumasi,6.68,-1.62,45.25,0.42
2008-05-15,2008,5,15,Kumasi,6.68,-1.62,51.75,0.47
2008-06-15,2008,6,15,Kumasi,6.68,-1.62,60.25,0.55
2008-07-15,2008,7,15,Kumasi,6.68,-1.62,63.67,0.58
2008-08-15,2008,8,15,Kumasi,6.68,-1.62,60.75,0.56
2008-09-15,2008,9,15,Kumasi,6.68,-1.62,64.25,0.59
2008-10-15,2008,10,15,Kumasi,6.68,-1.62,62.25,0.57
2008-11-15,2008,11,15,Kumasi,6.68,-1.62,63.6,0.58
2008-12-15,2008,12,15,Kumasi,6.68,-1.62,64.75,0.59
2009-01-15,2009,1,15,Kumasi,6.68,-1.62,60.8,0.56
2009-02-15,2009,2,15,Kumasi,6.68,-1.62,58.0,0.53
2009-03-15,2009,3,15,Kumasi,6.68,-1.62,53.0,0.49
2009-04-15,2009,4,15,Kumasi,6.68,-1.62,57.5,0.53
2009-05-15,2009,5,15,Kumasi,6.68,-1.62,55.6,0.51
2009-06-15,2009,6,15,Kumasi,6.68,-1.62,62.5,0.57
2009-07-15,2009,7,15,Kumasi,6.68,-1.62,61.5,0.56
2009-08-15,2009,8,15,Kumasi,6.68,-1.62,61.8,0.57
2009-09-15,2009,9,15,Kumasi,6.68,-1.62,64.5,0.59
2009-10-15,2009,10,15,Kumasi,6.68,-1.62,64.0,0.59
2009-11-15,2009,11,15,Kumasi,6.68,-1.62,62.5,0.57
2009-12-15,2009,12,15,Kumasi,6.68,-1.62,60.0,0.55
2010-01-15,2010,1,15,Kumasi,6.68,-1.62,64.2,0.59
2010-02-15,2010,2,15,Kumasi,6.68,-1.62,53.25,0.49
2010-03-15,2010,3,15,Kumasi,6.68,-1.62,56.0,0.51
2010-04-15,2010,4,15,Kumasi,6.68,-1.62,60.0,0.55
2010-05-15,2010,5,15,Kumasi,6.68,-1.62,62.6,0.57
2010-06-15,2010,6,15,Kumasi,6.68,-1.62,60.5,0.56
2010-07-15,2010,7,15,Kumasi,6.68,-1.62,63.6,0.58
2010-08-15,2010,8,15,Kumasi,6.68,-1.62,63.75,0.58
2010-09-15,2010,9,15,Kumasi,6.68,-1.62,65.0,0.6
2010-10-15,2010,10,15,Kumasi,6.68,-1.62,64.75,0.59
2010-11-15,2010,11,15,Kumasi,6.68,-1.62,69.0,0.63
2010-12-15,2010,12,15,Kumasi,6.68,-1.62,55.25,0.51
2011-01-15,2011,1,15,Kumasi,6.68,-1.62,57.0,0.52
2011-02-15,2011,2,15,Kumasi,6.68,-1.62,65.25,0.6
2011-03-15,2011,3,15,Kumasi,6.68,-1.62,65.25,0.6
2011-04-15,2011,4,15,Kumasi,6.68,-1.62,65.25,0.6
2011-05-15,2011,5,15,Kumasi,6.68,-1.62,65.25,0.6
2011-06-15,2011,6,15,Kumasi,6.68,-1.62,70.5,0.65
2011-07-15,2011,7,15,Kumasi,6.68,-1.62,70.0,0.64
2011-08-15,2011,8,15,Kumasi,6.68,-1.62,71.0,0.65
2011-09-15,2011,9,15,Kumasi,6.68,-1.62,73.0,0.67
2011-10-15,2011,10,15,Kumasi,6.68,-1.62,69.75,0.64
2011-11-15,2011,11,15,Kumasi,6.68,-1.62,78.75,0.72
2011-12-15,2011,12,15,Kumasi,6.68,-1.62,91.0,0.83
2012-01-15,2012,1,15,Kumasi,6.68,-1.62,92.75,0.85
2012-02-15,2012,2,15,Kumasi,6.68,-1.62,90.75,0.83
2012-03-15,2012,3,15,Kumasi,6.68,-1.62,87.0,0.8
2012-04-15,2012,4,15,Kumasi,6.68,-1.62,90.0,0.83
2012-05-15,2012,5,15,Kumasi,6.68,-1.62,91.25,0.84
2012-06-15,2012,6,15,Kumasi,6.68,-1.62,93.0,0.85
2012-07-15,2012,7,15,Kumasi,6.68,-1.62,92.5,0.85
2012-08-15,2012,8,15,Kumasi,6.68,-1.62,101.25,0.93
2012-09-15,2012,9,15,Kumasi,6.68,-1.62,91.25,0.84
2012-10-15,2012,10,15,Kumasi,6.68,-1.62,120.0,1.1
2012-11-15,2012,11,15,Kumasi,6.68,-1.62,115.0,1.06
2012-12-15,2012,12,15,Kumasi,6.68,-1.62,116.25,1.07
2013-01-15,2013,1,15,Kumasi,6.68,-1.62,105.0,0.96
2013-02-15,2013,2,15,Kumasi,6.68,-1.62,110.0,1.01
2013-03-15,2013,3,15,Kumasi,6.68,-1.62,105.0,0.96
2013-04-15,2013,4,15,Kumasi,6.68,-1.62,105.0,0.96
2013-05-15,2013,5,15,Kumasi,6.68,-1.62,102.5,0.94
2013-06-15,2013,6,15,Kumasi,6.68,-1.62,100.0,0.92
2013-07-15,2013,7,15,Kumasi,6.68,-1.62,100.0,0.92
2013-08-15,2013,8,15,Kumasi,6.68,-1.62,100.0,0.92
2013-09-15,2013,9,15,Kumasi,6.68,-1.62,100.0,0.92
2013-10-15,2013,10,15,Kumasi,6.68,-1.62,100.0,0.92
2013-11-15,2013,11,15,Kumasi,6.68,-1.62,100.0,0.92
2013-12-15,2013,12,15,Kumasi,6.68,-1.62,100.0,0.92
2014-01-15,2014,1,15,Kumasi,6.68,-1.62,98.25,0.9
2014-02-15,2014,2,15,Kumasi,6.68,-1.62,98.75,0.91
2014-03-15,2014,3,15,Kumasi,6.68,-1.62,100.0,0.92
2014-05-15,2014,5,15,Kumasi,6.68,-1.62,110.0,1.01
2014-06-15,2014,6,15,Kumasi,6.68,-1.62,110.0,1.01
2015-01-15,2015,1,15,Kumasi,6.68,-1.62,154.0,1.41
2015-02-15,2015,2,15,Kumasi,6.68,-1.62,152.5,1.4
2015-03-15,2015,3,15,Kumasi,6.68,-1.62,147.5,1.35
2015-04-15,2015,4,15,Kumasi,6.68,-1.62,140.0,1.28
2015-05-15,2015,5,15,Kumasi,6.68,-1.62,139.0,1.28
2015-06-15,2015,6,15,Kumasi,6.68,-1.62,137.5,1.26
2015-07-15,2015,7,15,Kumasi,6.68,-1.62,155.0,1.42
2015-08-15,2015,8,15,Kumasi,6.68,-1.62,160.0,1.47
2015-09-15,2015,9,15,Kumasi,6.68,-1.62,165.0,1.51
2015-10-15,2015,10,15,Kumasi,6.68,-1.62,164.0,1.5
2015-11-15,2015,11,15,Kumasi,6.68,-1.62,165.0,1.51
2015-12-15,2015,12,15,Kumasi,6.68,-1.62,165.0,1.51
2016-01-15,2016,1,15,Kumasi,6.68,-1.62,163.0,1.5
2016-02-15,2016,2,15,Kumasi,6.68,-1.62,162.5,1.49
2016-03-15,2016,3,15,Kumasi,6.68,-1.62,165.0,1.51
2016-04-15,2016,4,15,Kumasi,6.68,-1.62,164.0,1.5
2016-05-15,2016,5,15,Kumasi,6.68,-1.62,162.5,1.49
2016-06-15,2016,6,15,Kumasi,6.68,-1.62,165.0,1.51
2016-07-15,2016,7,15,Kumasi,6.68,-1.62,163.0,1.5
2016-08-15,2016,8,15,Kumasi,6.68,-1.62,150.0,1.38
2016-09-15,2016,9,15,Kumasi,6.68,-1.62,150.0,1.38
2016-10-15,2016,10,15,Kumasi,6.68,-1.62,148.0,1.36
2016-11-15,2016,11,15,Kumasi,6.68,-1.62,168.75,1.55
2016-12-15,2016,12,15,Kumasi,6.68,-1.62,156.0,1.43
2017-01-15,2017,1,15,Kumasi,6.68,-1.62,160.0,1.47
2017-02-15,2017,2,15,Kumasi,6.68,-1.62,161.67,1.48
2017-03-15,2017,3,15,Kumasi,6.68,-1.62,157.5,1.44
2017-04-15,2017,4,15,Kumasi,6.68,-1.62,162.0,1.49
2017-05-15,2017,5,15,Kumasi,6.68,-1.62,167.5,1.54
2017-06-15,2017,6,15,Kumasi,6.68,-1.62,153.0,1.4
2017-07-15,2017,7,15,Kumasi,6.68,-1.62,183.02,1.68
2017-08-15,2017,8,15,Kumasi,6.68,-1.62,183.56,1.68
2017-09-15,2017,9,15,Kumasi,6.68,-1.62,191.94,1.76
2017-10-15,2017,10,15,Kumasi,6.68,-1.62,206.24,1.89
