date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.1
2019-08-15,2019,8,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,56.92
2019-08-15,2019,8,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.39
2019-08-15,2019,8,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.23
2019-09-15,2019,9,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.14
2019-09-15,2019,9,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,56.92
2019-09-15,2019,9,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.39
2019-09-15,2019,9,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.4
2019-10-15,2019,10,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.15
2019-10-15,2019,10,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,56.92
2019-10-15,2019,10,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.39
2019-10-15,2019,10,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.43
2019-11-15,2019,11,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.2
2019-11-15,2019,11,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,56.92
2019-11-15,2019,11,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.39
2019-11-15,2019,11,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.43
2019-12-15,2019,12,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.24
2019-12-15,2019,12,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,56.92
2019-12-15,2019,12,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.39
2019-12-15,2019,12,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.03
2020-01-15,2020,1,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,56.92
2020-01-15,2020,1,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,2.38
2020-01-15,2020,1,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.43
2020-02-15,2020,2,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,109 ,aggregate,Wholesale,15.0
2020-02-15,2020,2,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,16.0
2020-02-15,2020,2,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,12.0
2020-03-15,2020,3,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.39
2020-03-15,2020,3,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,4.43
2020-03-15,2020,3,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.43
2020-04-15,2020,4,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,109 ,aggregate,Wholesale,257.84
2020-04-15,2020,4,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,2.82
2020-04-15,2020,4,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,334.88
2020-04-15,2020,4,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,6.95
2020-05-15,2020,5,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,4.86
2020-05-15,2020,5,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,111.19
2020-05-15,2020,5,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,5.38
2020-06-15,2020,6,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,314.66
2020-07-15,2020,7,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,109 ,aggregate,Wholesale,15.0
2020-07-15,2020,7,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,16.0
2020-07-15,2020,7,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,12.0
2020-08-15,2020,8,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,109 ,aggregate,Wholesale,15.0
2020-08-15,2020,8,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,19.11
2020-08-15,2020,8,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,12.0
2020-09-15,2020,9,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,18.0
2020-09-15,2020,9,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,11.0
2020-10-15,2020,10,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,3.17
2020-11-15,2020,11,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,1.87
2020-11-15,2020,11,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,3.17
2020-11-15,2020,11,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,3.68
2020-12-15,2020,12,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,3.54
2020-12-15,2020,12,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,2.09
2021-01-15,2021,1,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,151.84
2021-01-15,2021,1,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,3.01
2021-01-15,2021,1,15,Obuasi,OBUASI MUNICIPAL,216,6.2,-1.67,,aggregate,Retail,5.05
2021-02-15,2021,2,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,109 ,aggregate,Wholesale,414.01
2021-02-15,2021,2,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,10.17
2021-02-15,2021,2,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,461.4
2021-02-15,2021,2,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,8.49
2021-03-15,2021,3,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,65.6
2021-03-15,2021,3,15,Kumasi,KMA,215,6.68,-1.62,,aggregate,Retail,7.69
2021-04-15,2021,4,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,109 ,aggregate,Wholesale,121.32
2021-04-15,2021,4,15,Ejura,EJURA SEKYE DUMASE,223,7.38,-1.37,,aggregate,Retail,9.3
2021-04-15,2021,4,15,Kumasi,KMA,215,6.68,-1.62,109 ,aggregate,Wholesale,98.4
