date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Kumasi,6.68,-1.62,260.0,1.04
2019-08-15,2019,8,15,Kumasi,6.68,-1.62,5.47,5.47
2019-08-15,2019,8,15,Obuasi,6.2,-1.67,5.15,5.15
2019-09-15,2019,9,15,Kumasi,6.68,-1.62,260.0,1.04
2019-09-15,2019,9,15,Kumasi,6.68,-1.62,5.47,5.47
2019-09-15,2019,9,15,Obuasi,6.2,-1.67,5.15,5.15
2019-10-15,2019,10,15,Kumasi,6.68,-1.62,260.0,1.04
2019-10-15,2019,10,15,Kumasi,6.68,-1.62,5.47,5.47
2019-10-15,2019,10,15,Obuasi,6.2,-1.67,5.15,5.15
2019-11-15,2019,11,15,Kumasi,6.68,-1.62,260.0,1.04
2019-11-15,2019,11,15,Kumasi,6.68,-1.62,5.47,5.47
2019-11-15,2019,11,15,Obuasi,6.2,-1.67,5.15,5.15
2019-12-15,2019,12,15,Kumasi,6.68,-1.62,260.0,1.04
2019-12-15,2019,12,15,Kumasi,6.68,-1.62,5.47,5.47
2019-12-15,2019,12,15,Obuasi,6.2,-1.67,5.15,5.15
2020-01-15,2020,1,15,Kumasi,6.68,-1.62,220.0,0.88
2020-01-15,2020,1,15,Kumasi,6.68,-1.62,4.73,4.73
2020-01-15,2020,1,15,Obuasi,6.2,-1.67,5.15,5.15
2020-02-15,2020,2,15,Kumasi,6.68,-1.62,891.78,3.57
2020-02-15,2020,2,15,Kumasi,6.68,-1.62,4.2,4.2
2020-02-15,2020,2,15,Obuasi,6.2,-1.67,6.78,6.78
2020-03-15,2020,3,15,Kumasi,6.68,-1.62,220.0,0.88
2020-03-15,2020,3,15,Kumasi,6.68,-1.62,7.07,7.07
2020-03-15,2020,3,15,Obuasi,6.2,-1.67,5.15,5.15
2020-04-15,2020,4,15,Ejura,7.38,-1.37,604.67,2.42
2020-04-15,2020,4,15,Ejura,7.38,-1.37,2.75,2.75
2020-04-15,2020,4,15,Kumasi,6.68,-1.62,708.02,2.83
2020-04-15,2020,4,15,Kumasi,6.68,-1.62,4.88,4.88
2020-04-15,2020,4,15,Obuasi,6.2,-1.67,3.19,3.19
2020-05-15,2020,5,15,Ejura,7.38,-1.37,3.18,3.18
2020-05-15,2020,5,15,Kumasi,6.68,-1.62,946.58,3.79
2020-05-15,2020,5,15,Kumasi,6.68,-1.62,4.2,4.2
