date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Kumasi,6.68,-1.62,63.38,0.25
2006-02-15,2006,2,15,Kumasi,6.68,-1.62,76.25,0.3
2006-03-15,2006,3,15,Kumasi,6.68,-1.62,85.0,0.34
2006-04-15,2006,4,15,Kumasi,6.68,-1.62,85.5,0.34
2006-05-15,2006,5,15,Kumasi,6.68,-1.62,71.25,0.28
2006-06-15,2006,6,15,Kumasi,6.68,-1.62,79.0,0.32
2006-07-15,2006,7,15,Kumasi,6.68,-1.62,66.25,0.26
2006-08-15,2006,8,15,Kumasi,6.68,-1.62,64.0,0.26
2006-09-15,2006,9,15,Kumasi,6.68,-1.62,52.5,0.21
2006-10-15,2006,10,15,Kumasi,6.68,-1.62,53.5,0.21
2006-11-15,2006,11,15,Kumasi,6.68,-1.62,62.25,0.25
2006-12-15,2006,12,15,Kumasi,6.68,-1.62,55.5,0.22
2007-01-15,2007,1,15,Kumasi,6.68,-1.62,58.33,0.23
2007-02-15,2007,2,15,Kumasi,6.68,-1.62,68.25,0.27
2007-03-15,2007,3,15,Kumasi,6.68,-1.62,87.5,0.35
2007-04-15,2007,4,15,Kumasi,6.68,-1.62,88.5,0.35
2007-05-15,2007,5,15,Kumasi,6.68,-1.62,93.5,0.37
2007-06-15,2007,6,15,Kumasi,6.68,-1.62,90.0,0.36
2007-07-15,2007,7,15,Kumasi,6.68,-1.62,87.5,0.35
2007-08-15,2007,8,15,Kumasi,6.68,-1.62,93.0,0.37
2007-09-15,2007,9,15,Kumasi,6.68,-1.62,81.25,0.32
2007-10-15,2007,10,15,Kumasi,6.68,-1.62,62.5,0.25
2007-11-15,2007,11,15,Kumasi,6.68,-1.62,76.0,0.3
2007-12-15,2007,12,15,Kumasi,6.68,-1.62,67.67,0.27
2008-01-15,2008,1,15,Kumasi,6.68,-1.62,106.25,1.06
2008-01-15,2008,1,15,Obuasi,6.2,-1.67,76.75,0.77
2008-02-15,2008,2,15,Kumasi,6.68,-1.62,77.25,0.77
2008-02-15,2008,2,15,Obuasi,6.2,-1.67,92.5,0.92
2008-03-15,2008,3,15,Kumasi,6.68,-1.62,72.67,0.73
2008-03-15,2008,3,15,Obuasi,6.2,-1.67,117.0,1.17
2008-04-15,2008,4,15,Kumasi,6.68,-1.62,78.5,0.78
2008-04-15,2008,4,15,Obuasi,6.2,-1.67,111.25,1.11
2008-05-15,2008,5,15,Kumasi,6.68,-1.62,100.0,1.0
2008-05-15,2008,5,15,Obuasi,6.2,-1.67,130.0,1.3
2008-06-15,2008,6,15,Kumasi,6.68,-1.62,142.5,1.42
2008-06-15,2008,6,15,Obuasi,6.2,-1.67,137.5,1.38
2008-07-15,2008,7,15,Kumasi,6.68,-1.62,150.0,1.5
2008-07-15,2008,7,15,Obuasi,6.2,-1.67,140.0,1.4
2008-08-15,2008,8,15,Kumasi,6.68,-1.62,76.25,0.76
2008-08-15,2008,8,15,Obuasi,6.2,-1.67,105.0,1.05
2008-09-15,2008,9,15,Kumasi,6.68,-1.62,72.5,0.72
2008-09-15,2008,9,15,Obuasi,6.2,-1.67,62.5,0.62
2008-10-15,2008,10,15,Kumasi,6.68,-1.62,77.0,0.77
2008-10-15,2008,10,15,Obuasi,6.2,-1.67,65.0,0.65
2008-11-15,2008,11,15,Kumasi,6.68,-1.62,79.8,0.8
2008-11-15,2008,11,15,Obuasi,6.2,-1.67,80.0,0.8
2008-12-15,2008,12,15,Kumasi,6.68,-1.62,87.5,0.88
2008-12-15,2008,12,15,Obuasi,6.2,-1.67,122.5,1.23
2009-01-15,2009,1,15,Kumasi,6.68,-1.62,86.6,0.87
2009-01-15,2009,1,15,Obuasi,6.2,-1.67,134.0,1.34
2009-02-15,2009,2,15,Ejura,7.38,-1.37,100.0,1.0
2009-02-15,2009,2,15,Kumasi,6.68,-1.62,86.25,0.86
2009-02-15,2009,2,15,Obuasi,6.2,-1.67,135.0,1.35
2009-03-15,2009,3,15,Ejura,7.38,-1.37,112.5,1.12
2009-03-15,2009,3,15,Kumasi,6.68,-1.62,91.75,0.92
2009-03-15,2009,3,15,Obuasi,6.2,-1.67,112.5,1.12
2009-04-15,2009,4,15,Ejura,7.38,-1.37,107.5,1.08
2009-04-15,2009,4,15,Kumasi,6.68,-1.62,99.0,0.99
2009-04-15,2009,4,15,Obuasi,6.2,-1.67,135.0,1.35
2009-05-15,2009,5,15,Ejura,7.38,-1.37,129.0,1.29
2009-05-15,2009,5,15,Kumasi,6.68,-1.62,152.0,1.52
2009-05-15,2009,5,15,Obuasi,6.2,-1.67,136.0,1.36
2009-06-15,2009,6,15,Ejura,7.38,-1.37,135.0,1.35
2009-06-15,2009,6,15,Kumasi,6.68,-1.62,96.0,0.96
2009-06-15,2009,6,15,Obuasi,6.2,-1.67,140.0,1.4
2009-07-15,2009,7,15,Ejura,7.38,-1.37,127.5,1.27
2009-07-15,2009,7,15,Kumasi,6.68,-1.62,83.5,0.84
2009-07-15,2009,7,15,Obuasi,6.2,-1.67,252.5,2.52
2009-08-15,2009,8,15,Ejura,7.38,-1.37,84.0,0.84
2009-08-15,2009,8,15,Kumasi,6.68,-1.62,88.0,0.88
2009-08-15,2009,8,15,Obuasi,6.2,-1.67,110.0,1.1
2009-09-15,2009,9,15,Ejura,7.38,-1.37,100.0,1.0
2009-09-15,2009,9,15,Kumasi,6.68,-1.62,81.25,0.81
2009-09-15,2009,9,15,Obuasi,6.2,-1.67,102.5,1.02
2009-10-15,2009,10,15,Ejura,7.38,-1.37,115.0,1.15
2009-10-15,2009,10,15,Kumasi,6.68,-1.62,95.25,0.95
2009-10-15,2009,10,15,Obuasi,6.2,-1.67,125.0,1.25
2009-11-15,2009,11,15,Ejura,7.38,-1.37,100.0,1.0
2009-11-15,2009,11,15,Kumasi,6.68,-1.62,93.75,0.94
2009-11-15,2009,11,15,Obuasi,6.2,-1.67,132.5,1.32
2009-12-15,2009,12,15,Ejura,7.38,-1.37,100.0,1.0
2009-12-15,2009,12,15,Kumasi,6.68,-1.62,93.75,0.94
2009-12-15,2009,12,15,Obuasi,6.2,-1.67,132.5,1.32
2010-01-15,2010,1,15,Ejura,7.38,-1.37,76.0,0.76
2010-01-15,2010,1,15,Kumasi,6.68,-1.62,92.0,0.92
2010-01-15,2010,1,15,Obuasi,6.2,-1.67,140.0,1.4
2010-02-15,2010,2,15,Ejura,7.38,-1.37,100.0,1.0
2010-02-15,2010,2,15,Kumasi,6.68,-1.62,110.0,1.1
2010-02-15,2010,2,15,Obuasi,6.2,-1.67,150.0,1.5
