date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2007-07-15,2007,7,15,Techiman,7.58,-1.93,0.16
2007-08-15,2007,8,15,Techiman,7.58,-1.93,0.11
2007-09-15,2007,9,15,Techiman,7.58,-1.93,0.11
2007-10-15,2007,10,15,Techiman,7.58,-1.93,0.12
2007-11-15,2007,11,15,Techiman,7.58,-1.93,0.16
2007-12-15,2007,12,15,Techiman,7.58,-1.93,0.18
2008-01-15,2008,1,15,Sunyani,7.33,-2.33,0.17
2008-01-15,2008,1,15,Techiman,7.58,-1.93,0.16
2008-02-15,2008,2,15,Sunyani,7.33,-2.33,0.1
2008-02-15,2008,2,15,Techiman,7.58,-1.93,0.16
2008-03-15,2008,3,15,Sunyani,7.33,-2.33,0.11
2008-03-15,2008,3,15,Techiman,7.58,-1.93,0.16
2008-04-15,2008,4,15,Sunyani,7.33,-2.33,0.11
2008-04-15,2008,4,15,Techiman,7.58,-1.93,0.17
2008-05-15,2008,5,15,Sunyani,7.33,-2.33,0.11
2008-05-15,2008,5,15,Techiman,7.58,-1.93,0.11
2008-06-15,2008,6,15,Sunyani,7.33,-2.33,0.15
2008-06-15,2008,6,15,Techiman,7.58,-1.93,0.12
2008-07-15,2008,7,15,Sunyani,7.33,-2.33,0.16
2008-07-15,2008,7,15,Techiman,7.58,-1.93,0.11
2008-08-15,2008,8,15,Sunyani,7.33,-2.33,0.21
2008-08-15,2008,8,15,Techiman,7.58,-1.93,0.11
2008-09-15,2008,9,15,Sunyani,7.33,-2.33,0.19
2008-09-15,2008,9,15,Techiman,7.58,-1.93,0.12
2008-10-15,2008,10,15,Sunyani,7.33,-2.33,0.16
2008-10-15,2008,10,15,Techiman,7.58,-1.93,0.11
2008-11-15,2008,11,15,Sunyani,7.33,-2.33,0.16
2008-11-15,2008,11,15,Techiman,7.58,-1.93,0.12
2008-12-15,2008,12,15,Sunyani,7.33,-2.33,0.16
2008-12-15,2008,12,15,Techiman,7.58,-1.93,0.15
2009-01-15,2009,1,15,Sunyani,7.33,-2.33,0.16
2009-01-15,2009,1,15,Techiman,7.58,-1.93,0.15
2009-02-15,2009,2,15,Sunyani,7.33,-2.33,0.22
2009-02-15,2009,2,15,Techiman,7.58,-1.93,0.13
2009-03-15,2009,3,15,Sunyani,7.33,-2.33,0.22
2009-03-15,2009,3,15,Techiman,7.58,-1.93,0.13
2009-04-15,2009,4,15,Sunyani,7.33,-2.33,0.22
2009-04-15,2009,4,15,Techiman,7.58,-1.93,0.13
2009-05-15,2009,5,15,Sunyani,7.33,-2.33,0.33
2009-05-15,2009,5,15,Techiman,7.58,-1.93,0.13
2009-06-15,2009,6,15,Sunyani,7.33,-2.33,0.28
2009-06-15,2009,6,15,Techiman,7.58,-1.93,0.12
2009-07-15,2009,7,15,Sunyani,7.33,-2.33,0.25
2009-07-15,2009,7,15,Techiman,7.58,-1.93,0.13
2009-08-15,2009,8,15,Sunyani,7.33,-2.33,0.27
2009-08-15,2009,8,15,Techiman,7.58,-1.93,0.19
2009-09-15,2009,9,15,Sunyani,7.33,-2.33,0.3
2009-09-15,2009,9,15,Techiman,7.58,-1.93,0.22
2009-10-15,2009,10,15,Sunyani,7.33,-2.33,0.27
2009-10-15,2009,10,15,Techiman,7.58,-1.93,0.19
2009-11-15,2009,11,15,Sunyani,7.33,-2.33,0.33
2009-11-15,2009,11,15,Techiman,7.58,-1.93,0.17
2009-12-15,2009,12,15,Sunyani,7.33,-2.33,0.33
2009-12-15,2009,12,15,Techiman,7.58,-1.93,0.17
2010-01-15,2010,1,15,Sunyani,7.33,-2.33,0.33
2010-01-15,2010,1,15,Techiman,7.58,-1.93,0.18
2010-02-15,2010,2,15,Sunyani,7.33,-2.33,0.33
2010-02-15,2010,2,15,Techiman,7.58,-1.93,0.2
2010-03-15,2010,3,15,Sunyani,7.33,-2.33,0.33
2010-03-15,2010,3,15,Techiman,7.58,-1.93,0.23
2010-04-15,2010,4,15,Sunyani,7.33,-2.33,0.33
2010-04-15,2010,4,15,Techiman,7.58,-1.93,0.3
2010-05-15,2010,5,15,Sunyani,7.33,-2.33,0.33
2010-05-15,2010,5,15,Techiman,7.58,-1.93,0.17
2010-06-15,2010,6,15,Sunyani,7.33,-2.33,0.32
2010-06-15,2010,6,15,Techiman,7.58,-1.93,0.2
2010-07-15,2010,7,15,Sunyani,7.33,-2.33,0.33
2010-07-15,2010,7,15,Techiman,7.58,-1.93,0.2
2010-08-15,2010,8,15,Sunyani,7.33,-2.33,0.29
2010-08-15,2010,8,15,Techiman,7.58,-1.93,0.2
2010-09-15,2010,9,15,Sunyani,7.33,-2.33,0.22
2010-09-15,2010,9,15,Techiman,7.58,-1.93,0.22
2010-10-15,2010,10,15,Sunyani,7.33,-2.33,0.22
2010-10-15,2010,10,15,Techiman,7.58,-1.93,0.21
2010-11-15,2010,11,15,Sunyani,7.33,-2.33,0.22
2010-11-15,2010,11,15,Techiman,7.58,-1.93,0.21
2010-12-15,2010,12,15,Techiman,7.58,-1.93,0.23
2011-01-15,2011,1,15,Sunyani,7.33,-2.33,0.17
2011-01-15,2011,1,15,Techiman,7.58,-1.93,0.22
2011-02-15,2011,2,15,Sunyani,7.33,-2.33,0.33
2011-02-15,2011,2,15,Techiman,7.58,-1.93,0.17
2011-03-15,2011,3,15,Sunyani,7.33,-2.33,0.27
2011-03-15,2011,3,15,Techiman,7.58,-1.93,0.2
2011-04-15,2011,4,15,Sunyani,7.33,-2.33,0.27
2011-04-15,2011,4,15,Techiman,7.58,-1.93,0.26
2011-05-15,2011,5,15,Sunyani,7.33,-2.33,0.27
2011-05-15,2011,5,15,Techiman,7.58,-1.93,0.26
2011-06-15,2011,6,15,Sunyani,7.33,-2.33,0.92
2011-06-15,2011,6,15,Techiman,7.58,-1.93,0.26
2011-07-15,2011,7,15,Sunyani,7.33,-2.33,0.2
2011-07-15,2011,7,15,Techiman,7.58,-1.93,0.25
2011-08-15,2011,8,15,Sunyani,7.33,-2.33,0.17
