date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,16.15
2006-02-15,2006,2,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,14.91
2006-03-15,2006,3,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,14.37
2006-04-15,2006,4,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,14.04
2006-05-15,2006,5,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,20.19
2006-06-15,2006,6,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,17.9
2006-07-15,2006,7,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,14.43
2006-08-15,2006,8,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,13.7
2006-09-15,2006,9,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,13.49
2006-10-15,2006,10,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,11.55
2006-11-15,2006,11,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,11.6
2006-12-15,2006,12,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,13.1
2007-01-15,2007,1,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,17.72
2007-02-15,2007,2,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,16.95
2007-03-15,2007,3,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,20.35
2007-04-15,2007,4,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,20.98
2007-05-15,2007,5,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,20.95
2007-06-15,2007,6,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,18.1
2007-07-15,2007,7,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,20.39
2007-08-15,2007,8,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,20.0
2007-09-15,2007,9,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,18.28
2007-10-15,2007,10,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,18.85
2007-11-15,2007,11,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,18.2
2007-12-15,2007,12,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,17.69
2008-01-15,2008,1,15,Sunyani,SUNYANI MUNICIPAL,217,7.33,-2.33,100 ,actual,Wholesale,19.6
2008-01-15,2008,1,15,Techiman,TECHIMAN MUNICIPAL,218,7.58,-1.93,100 ,actual,Wholesale,20.83
2008-02-15,2008,2,15,Sunyani,SUNYANI MUNICIPAL,217,7.33,-2.33,100 ,actual,Wholesale,22.8
