date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Techiman,7.58,-1.93,32.5,0.35
2006-02-15,2006,2,15,Techiman,7.58,-1.93,36.0,0.39
2006-03-15,2006,3,15,Techiman,7.58,-1.93,40.0,0.43
2006-04-15,2006,4,15,Techiman,7.58,-1.93,33.5,0.36
2006-05-15,2006,5,15,Techiman,7.58,-1.93,31.0,0.33
2006-06-15,2006,6,15,Techiman,7.58,-1.93,33.0,0.35
2006-07-15,2006,7,15,Techiman,7.58,-1.93,29.75,0.32
2006-08-15,2006,8,15,Techiman,7.58,-1.93,25.0,0.27
2006-09-15,2006,9,15,Techiman,7.58,-1.93,26.0,0.28
2006-10-15,2006,10,15,Techiman,7.58,-1.93,26.0,0.28
2006-11-15,2006,11,15,Techiman,7.58,-1.93,26.0,0.28
2006-12-15,2006,12,15,Techiman,7.58,-1.93,26.0,0.28
2007-01-15,2007,1,15,Techiman,7.58,-1.93,26.33,0.28
2007-02-15,2007,2,15,Techiman,7.58,-1.93,26.5,0.28
2007-03-15,2007,3,15,Techiman,7.58,-1.93,24.0,0.26
2007-04-15,2007,4,15,Techiman,7.58,-1.93,25.0,0.27
2007-05-15,2007,5,15,Techiman,7.58,-1.93,25.0,0.27
2007-06-15,2007,6,15,Techiman,7.58,-1.93,22.5,0.24
2007-07-15,2007,7,15,Techiman,7.58,-1.93,24.0,0.26
2007-08-15,2007,8,15,Techiman,7.58,-1.93,29.5,0.32
2007-09-15,2007,9,15,Techiman,7.58,-1.93,29.25,0.31
2007-10-15,2007,10,15,Techiman,7.58,-1.93,29.5,0.32
2007-11-15,2007,11,15,Techiman,7.58,-1.93,40.0,0.43
2007-12-15,2007,12,15,Techiman,7.58,-1.93,41.75,0.45
2008-01-15,2008,1,15,Techiman,7.58,-1.93,40.0,0.43
2008-02-15,2008,2,15,Techiman,7.58,-1.93,42.0,0.45
2008-03-15,2008,3,15,Techiman,7.58,-1.93,45.67,0.49
2008-04-15,2008,4,15,Techiman,7.58,-1.93,45.5,0.49
2008-05-15,2008,5,15,Techiman,7.58,-1.93,50.0,0.54
2008-06-15,2008,6,15,Techiman,7.58,-1.93,60.0,0.65
2008-07-15,2008,7,15,Techiman,7.58,-1.93,60.4,0.65
