date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Kintampo,8.06,-1.73,31.94,0.61
2019-08-15,2019,8,15,Kintampo,8.06,-1.73,1.33,1.33
2019-08-15,2019,8,15,Sunyani,7.33,-2.33,24.76,0.48
2019-08-15,2019,8,15,Sunyani,7.33,-2.33,0.99,0.99
2019-08-15,2019,8,15,Techiman,7.58,-1.93,24.72,0.48
2019-08-15,2019,8,15,Techiman,7.58,-1.93,1.41,1.41
2019-09-15,2019,9,15,Kintampo,8.06,-1.73,16.22,0.31
2019-09-15,2019,9,15,Kintampo,8.06,-1.73,1.34,1.34
2019-09-15,2019,9,15,Sunyani,7.33,-2.33,9.92,0.19
2019-09-15,2019,9,15,Sunyani,7.33,-2.33,0.99,0.99
2019-09-15,2019,9,15,Techiman,7.58,-1.93,16.26,0.31
2019-09-15,2019,9,15,Techiman,7.58,-1.93,1.39,1.39
2019-10-15,2019,10,15,Kintampo,8.06,-1.73,14.31,0.28
2019-10-15,2019,10,15,Kintampo,8.06,-1.73,1.34,1.34
2019-10-15,2019,10,15,Sunyani,7.33,-2.33,6.82,0.13
2019-10-15,2019,10,15,Sunyani,7.33,-2.33,1.0,1.0
2019-10-15,2019,10,15,Techiman,7.58,-1.93,10.7,0.21
2019-10-15,2019,10,15,Techiman,7.58,-1.93,1.37,1.37
2019-11-15,2019,11,15,Kintampo,8.06,-1.73,14.2,0.27
2019-11-15,2019,11,15,Kintampo,8.06,-1.73,1.34,1.34
2019-11-15,2019,11,15,Sunyani,7.33,-2.33,7.1,0.14
2019-11-15,2019,11,15,Sunyani,7.33,-2.33,0.99,0.99
2019-11-15,2019,11,15,Techiman,7.58,-1.93,12.36,0.24
2019-11-15,2019,11,15,Techiman,7.58,-1.93,1.49,1.49
2019-12-15,2019,12,15,Kintampo,8.06,-1.73,4.46,0.09
2019-12-15,2019,12,15,Kintampo,8.06,-1.73,1.34,1.34
2019-12-15,2019,12,15,Sunyani,7.33,-2.33,7.98,0.15
2019-12-15,2019,12,15,Sunyani,7.33,-2.33,0.99,0.99
2019-12-15,2019,12,15,Techiman,7.58,-1.93,11.61,0.22
2019-12-15,2019,12,15,Techiman,7.58,-1.93,2.53,2.53
2020-01-15,2020,1,15,Kintampo,8.06,-1.73,16.28,0.31
2020-01-15,2020,1,15,Kintampo,8.06,-1.73,1.33,1.33
2020-01-15,2020,1,15,Sunyani,7.33,-2.33,8.11,0.16
2020-01-15,2020,1,15,Sunyani,7.33,-2.33,1.23,1.23
2020-01-15,2020,1,15,Techiman,7.58,-1.93,12.93,0.25
2020-01-15,2020,1,15,Techiman,7.58,-1.93,1.97,1.97
2020-02-15,2020,2,15,Kintampo,8.06,-1.73,24.12,0.46
2020-02-15,2020,2,15,Kintampo,8.06,-1.73,1.54,1.54
2020-02-15,2020,2,15,Sunyani,7.33,-2.33,38.14,0.73
2020-02-15,2020,2,15,Sunyani,7.33,-2.33,4.94,4.94
2020-02-15,2020,2,15,Techiman,7.58,-1.93,26.88,0.52
2020-02-15,2020,2,15,Techiman,7.58,-1.93,1.57,1.57
2020-03-15,2020,3,15,Kintampo,8.06,-1.73,15.53,0.3
2020-03-15,2020,3,15,Kintampo,8.06,-1.73,1.33,1.33
2020-03-15,2020,3,15,Sunyani,7.33,-2.33,12.55,0.24
2020-03-15,2020,3,15,Sunyani,7.33,-2.33,1.59,1.59
2020-03-15,2020,3,15,Techiman,7.58,-1.93,15.7,0.3
2020-03-15,2020,3,15,Techiman,7.58,-1.93,2.07,2.07
2020-04-15,2020,4,15,Kintampo,8.06,-1.73,268.23,5.16
2020-04-15,2020,4,15,Kintampo,8.06,-1.73,6.27,6.27
2020-04-15,2020,4,15,Sunyani,7.33,-2.33,353.35,6.8
2020-04-15,2020,4,15,Sunyani,7.33,-2.33,6.62,6.62
2020-04-15,2020,4,15,Techiman,7.58,-1.93,378.87,7.29
2020-04-15,2020,4,15,Techiman,7.58,-1.93,10.0,10.0
