date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Cape Coast,5.11,-1.24,2.89
2019-08-15,2019,8,15,Mankessim,5.27,-1.02,1.23
2019-09-15,2019,9,15,Cape Coast,5.11,-1.24,2.26
2019-09-15,2019,9,15,Mankessim,5.27,-1.02,1.26
2019-10-15,2019,10,15,Cape Coast,5.11,-1.24,2.17
2019-10-15,2019,10,15,Mankessim,5.27,-1.02,2.57
2019-11-15,2019,11,15,Cape Coast,5.11,-1.24,1.37
2019-11-15,2019,11,15,Mankessim,5.27,-1.02,2.08
2019-12-15,2019,12,15,Cape Coast,5.11,-1.24,1.37
2019-12-15,2019,12,15,Mankessim,5.27,-1.02,2.17
2020-01-15,2020,1,15,Cape Coast,5.11,-1.24,1.37
2020-01-15,2020,1,15,Mankessim,5.27,-1.02,1.96
2020-02-15,2020,2,15,Cape Coast,5.11,-1.24,4.17
2020-02-15,2020,2,15,Mankessim,5.27,-1.02,4.45
2020-03-15,2020,3,15,Cape Coast,5.11,-1.24,1.51
2020-04-15,2020,4,15,Cape Coast,5.11,-1.24,7.08
2020-04-15,2020,4,15,Mankessim,5.27,-1.02,5.73
2020-05-15,2020,5,15,Cape Coast,5.11,-1.24,6.05
2020-05-15,2020,5,15,Mankessim,5.27,-1.02,5.58
2020-07-15,2020,7,15,Mankessim,5.27,-1.02,4.45
2020-08-15,2020,8,15,Mankessim,5.27,-1.02,4.35
2020-09-15,2020,9,15,Cape Coast,5.11,-1.24,3.75
2020-09-15,2020,9,15,Mankessim,5.27,-1.02,4.29
2020-10-15,2020,10,15,Cape Coast,5.11,-1.24,2.71
2020-10-15,2020,10,15,Mankessim,5.27,-1.02,1.11
2020-11-15,2020,11,15,Cape Coast,5.11,-1.24,2.05
2020-11-15,2020,11,15,Mankessim,5.27,-1.02,1.09
2020-12-15,2020,12,15,Cape Coast,5.11,-1.24,2.21
2020-12-15,2020,12,15,Mankessim,5.27,-1.02,1.02
2021-01-15,2021,1,15,Cape Coast,5.11,-1.24,2.28
2021-01-15,2021,1,15,Mankessim,5.27,-1.02,1.12
2021-02-15,2021,2,15,Mankessim,5.27,-1.02,2.54
2021-03-15,2021,3,15,Mankessim,5.27,-1.02,2.63
2021-04-15,2021,4,15,Mankessim,5.27,-1.02,2.81
2021-05-15,2021,5,15,Mankessim,5.27,-1.02,2.25
2021-06-15,2021,6,15,Cape Coast,5.11,-1.24,2.33
2021-06-15,2021,6,15,Mankessim,5.27,-1.02,1.34
2021-07-15,2021,7,15,Cape Coast,5.11,-1.24,13.89
2021-07-15,2021,7,15,Mankessim,5.27,-1.02,6.55
2021-08-15,2021,8,15,Cape Coast,5.11,-1.24,11.67
2021-08-15,2021,8,15,Mankessim,5.27,-1.02,6.52
2021-09-15,2021,9,15,Cape Coast,5.11,-1.24,16.67
2021-09-15,2021,9,15,Mankessim,5.27,-1.02,2.72
2021-10-15,2021,10,15,Cape Coast,5.11,-1.24,7.94
2021-10-15,2021,10,15,Mankessim,5.27,-1.02,2.53
2021-11-15,2021,11,15,Cape Coast,5.11,-1.24,6.94
2021-11-15,2021,11,15,Mankessim,5.27,-1.02,2.75
2021-12-15,2021,12,15,Cape Coast,5.11,-1.24,4.57
2021-12-15,2021,12,15,Mankessim,5.27,-1.02,2.99
2022-01-15,2022,1,15,Cape Coast,5.11,-1.24,11.67
2022-01-15,2022,1,15,Mankessim,5.27,-1.02,8.91
2022-03-15,2022,3,15,Mankessim,5.27,-1.02,7.69
2022-04-15,2022,4,15,Mankessim,5.27,-1.02,8.31
2022-05-15,2022,5,15,Cape Coast,5.11,-1.24,7.94
2022-05-15,2022,5,15,Mankessim,5.27,-1.02,9.23
2022-06-15,2022,6,15,Cape Coast,5.11,-1.24,6.55
2022-06-15,2022,6,15,Mankessim,5.27,-1.02,5.52
2022-07-15,2022,7,15,Cape Coast,5.11,-1.24,6.85
2022-07-15,2022,7,15,Mankessim,5.27,-1.02,3.3
2022-08-15,2022,8,15,Cape Coast,5.11,-1.24,5.6
2022-08-15,2022,8,15,Mankessim,5.27,-1.02,3.48
2022-09-15,2022,9,15,Cape Coast,5.11,-1.24,12.5
2022-09-15,2022,9,15,Mankessim,5.27,-1.02,3.92
2022-10-15,2022,10,15,Cape Coast,5.11,-1.24,2.83
2022-10-15,2022,10,15,Mankessim,5.27,-1.02,0.87
2022-11-15,2022,11,15,Cape Coast,5.11,-1.24,12.5
2022-11-15,2022,11,15,Mankessim,5.27,-1.02,3.75
2022-12-15,2022,12,15,Cape Coast,5.11,-1.24,15.28
2022-12-15,2022,12,15,Mankessim,5.27,-1.02,20.69
2023-01-15,2023,1,15,Mankessim,5.27,-1.02,8.37
2023-02-15,2023,2,15,Cape Coast,5.11,-1.24,16.67
2023-02-15,2023,2,15,Mankessim,5.27,-1.02,5.47
2023-03-15,2023,3,15,Mankessim,5.27,-1.02,35.72
2023-04-15,2023,4,15,Cape Coast,5.11,-1.24,10.95
2023-04-15,2023,4,15,Mankessim,5.27,-1.02,5.36
2023-05-15,2023,5,15,Cape Coast,5.11,-1.24,8.75
2023-05-15,2023,5,15,Mankessim,5.27,-1.02,5.96
2023-06-15,2023,6,15,Cape Coast,5.11,-1.24,10.17
2023-07-15,2023,7,15,Cape Coast,5.11,-1.24,9.44
2023-07-15,2023,7,15,Mankessim,5.27,-1.02,3.68
