date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2008-01-15,2008,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,42.56
2008-01-15,2008,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,39.6
2008-02-15,2008,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,40.24
2008-02-15,2008,2,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,41.75
2008-03-15,2008,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,42.08
2008-03-15,2008,3,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,43.67
2008-04-15,2008,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,48.36
2008-04-15,2008,4,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,52.75
2008-05-15,2008,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,57.35
2008-05-15,2008,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,71.5
2008-06-15,2008,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,70.14
2008-06-15,2008,6,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,76.0
2008-07-15,2008,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,75.0
2008-07-15,2008,7,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,84.6
2008-08-15,2008,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,66.55
2008-08-15,2008,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,78.75
2008-09-15,2008,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,42.38
2008-09-15,2008,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,32.0
2008-10-15,2008,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,43.0
2008-10-15,2008,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,40.5
2008-11-15,2008,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,49.12
2008-11-15,2008,11,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,55.6
2008-12-15,2008,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,53.4
2008-12-15,2008,12,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,67.5
2009-01-15,2009,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,65.75
2009-01-15,2009,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,70.5
2009-02-15,2009,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,69.25
2009-02-15,2009,2,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,68.5
2009-03-15,2009,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,64.39
2009-03-15,2009,3,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,75.0
2009-04-15,2009,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,68.0
2009-04-15,2009,4,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,76.25
2009-05-15,2009,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,75.0
2009-05-15,2009,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,83.0
2009-06-15,2009,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,80.0
2009-06-15,2009,6,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,84.0
2009-07-15,2009,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,81.0
2009-07-15,2009,7,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,84.5
2009-08-15,2009,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,75.1
2009-08-15,2009,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,83.4
2009-09-15,2009,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,48.25
2009-09-15,2009,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,39.5
2009-10-15,2009,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,63.75
2009-10-15,2009,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,68.25
2009-11-15,2009,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,64.0
2009-11-15,2009,11,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,75.0
2009-12-15,2009,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,64.0
2009-12-15,2009,12,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,75.0
2010-01-15,2010,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,65.8
2010-01-15,2010,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,85.0
2010-02-15,2010,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,73.0
2010-02-15,2010,2,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,85.0
2010-03-15,2010,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,80.5
2010-03-15,2010,3,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,85.0
2010-04-15,2010,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,73.25
2010-04-15,2010,4,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,85.0
2010-05-15,2010,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,65.4
2010-05-15,2010,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,85.6
2010-06-15,2010,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,67.0
2010-06-15,2010,6,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,85.0
2010-07-15,2010,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,67.0
2010-07-15,2010,7,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,75.0
2010-08-15,2010,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,66.5
2010-08-15,2010,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,68.75
2010-09-15,2010,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,64.25
2010-09-15,2010,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,49.0
2010-10-15,2010,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,56.0
2010-10-15,2010,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,100 ,actual,Wholesale,42.4
2010-11-15,2010,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,100 ,actual,Wholesale,57.0
