date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2019-08-15,2019,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.75
2019-08-15,2019,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.41
2019-09-15,2019,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2019-09-15,2019,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.75
2019-09-15,2019,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.42
2019-10-15,2019,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2019-10-15,2019,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.75
2019-10-15,2019,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.29
2019-11-15,2019,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2019-11-15,2019,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.75
2019-11-15,2019,11,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.44
2019-12-15,2019,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2019-12-15,2019,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.75
2019-12-15,2019,12,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.47
2020-01-15,2020,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2020-01-15,2020,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.75
2020-01-15,2020,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.31
2020-02-15,2020,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2020-02-15,2020,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2020-02-15,2020,2,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.0
2020-03-15,2020,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2020-03-15,2020,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.75
2020-04-15,2020,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,391.02
2020-04-15,2020,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.2
2020-04-15,2020,4,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.14
2020-05-15,2020,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,433.09
2020-05-15,2020,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2020-05-15,2020,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.11
2020-06-15,2020,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,445.62
2020-07-15,2020,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2020-07-15,2020,7,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.0
2020-08-15,2020,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,348.75
2020-08-15,2020,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,3.57
2020-09-15,2020,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,344.1
2020-09-15,2020,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.58
2020-09-15,2020,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,3.84
2020-10-15,2020,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,344.1
2020-10-15,2020,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.58
2020-10-15,2020,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,3.9
2020-11-15,2020,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,344.1
2020-11-15,2020,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.58
2020-11-15,2020,11,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,3.95
2020-12-15,2020,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2020-12-15,2020,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.56
2020-12-15,2020,12,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.08
2021-01-15,2021,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-01-15,2021,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.56
2021-01-15,2021,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.58
2021-02-15,2021,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-02-15,2021,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-02-15,2021,2,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.49
2021-03-15,2021,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-03-15,2021,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-03-15,2021,3,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.38
2021-04-15,2021,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-04-15,2021,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-04-15,2021,4,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.33
2021-05-15,2021,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-05-15,2021,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-05-15,2021,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.27
2021-06-15,2021,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-06-15,2021,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-06-15,2021,6,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,6.11
2021-07-15,2021,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-07-15,2021,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-07-15,2021,7,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.35
2021-08-15,2021,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-08-15,2021,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-08-15,2021,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.33
2021-09-15,2021,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-09-15,2021,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-09-15,2021,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.41
2021-10-15,2021,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-10-15,2021,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-10-15,2021,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.2
2021-11-15,2021,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-11-15,2021,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-11-15,2021,11,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.31
2021-12-15,2021,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2021-12-15,2021,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2021-12-15,2021,12,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.32
2022-01-15,2022,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2022-01-15,2022,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.0
2022-01-15,2022,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,3.78
2022-02-15,2022,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,458.8
2022-02-15,2022,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.93
2022-03-15,2022,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,573.5
2022-03-15,2022,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,7.5
2022-03-15,2022,3,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.23
2022-04-15,2022,4,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.23
2022-05-15,2022,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,688.2
2022-05-15,2022,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,10.0
2022-05-15,2022,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,7.63
2022-06-15,2022,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,93 ,aggregate,Wholesale,688.2
2022-06-15,2022,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,10.0
