date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,28.31
2019-08-15,2019,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.97
2019-08-15,2019,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,2.05
2019-09-15,2019,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,28.31
2019-09-15,2019,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.14
2019-09-15,2019,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,2.27
2019-10-15,2019,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,28.31
2019-10-15,2019,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.02
2019-10-15,2019,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,2.75
2019-11-15,2019,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,24.6
2019-11-15,2019,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,2.83
2019-11-15,2019,11,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,2.78
2019-12-15,2019,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,24.6
2019-12-15,2019,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,2.83
2019-12-15,2019,12,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,2.56
2020-01-15,2020,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,24.6
2020-01-15,2020,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,2.83
2020-01-15,2020,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,2.83
2020-02-15,2020,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,500.0
2020-02-15,2020,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,26.67
2020-02-15,2020,2,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,14.77
2020-03-15,2020,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,24.6
2020-03-15,2020,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.89
2020-04-15,2020,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,400.0
2020-04-15,2020,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,56.67
2020-05-15,2020,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,424.4
2020-05-15,2020,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,47.06
2020-05-15,2020,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,26.71
2020-06-15,2020,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,431.48
2020-07-15,2020,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,500.0
2020-07-15,2020,7,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,14.77
2020-08-15,2020,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,500.0
2020-08-15,2020,8,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,6.2
2020-09-15,2020,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,523.81
2020-09-15,2020,9,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,26.67
2020-09-15,2020,9,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,11.6
2020-10-15,2020,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,24.95
2020-10-15,2020,10,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.67
2020-10-15,2020,10,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.65
2020-11-15,2020,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,16 ,aggregate,Wholesale,24.95
2020-11-15,2020,11,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.67
2020-11-15,2020,11,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.68
2020-12-15,2020,12,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.67
2020-12-15,2020,12,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,4.73
2021-01-15,2021,1,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,3.03
2021-01-15,2021,1,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,2.16
2021-02-15,2021,2,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.67
2021-02-15,2021,2,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,14.06
2021-03-15,2021,3,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,5.33
2021-03-15,2021,3,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.11
2021-04-15,2021,4,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,13.22
2021-04-15,2021,4,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,7.05
2021-05-15,2021,5,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,11.22
2021-05-15,2021,5,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,6.19
2021-06-15,2021,6,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,4.11
2021-06-15,2021,6,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,3.18
2021-07-15,2021,7,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,10.28
2021-07-15,2021,7,15,Mankessim,MFANTSIMAN,214,5.27,-1.02,,aggregate,Retail,5.57
2021-08-15,2021,8,15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,,aggregate,Retail,15.28
