date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2008-01-15,2008,1,15,Cape Coast,5.11,-1.24,37.5,0.75
2008-01-15,2008,1,15,Mankessim,5.27,-1.02,36.5,0.73
2008-02-15,2008,2,15,Cape Coast,5.11,-1.24,43.75,0.88
2008-02-15,2008,2,15,Mankessim,5.27,-1.02,37.0,0.74
2008-03-15,2008,3,15,Cape Coast,5.11,-1.24,45.0,0.9
2008-03-15,2008,3,15,Mankessim,5.27,-1.02,37.67,0.75
2008-04-15,2008,4,15,Cape Coast,5.11,-1.24,39.6,0.79
2008-04-15,2008,4,15,Mankessim,5.27,-1.02,39.6,0.79
2008-05-15,2008,5,15,Cape Coast,5.11,-1.24,40.6,0.81
2008-05-15,2008,5,15,Mankessim,5.27,-1.02,44.0,0.88
2008-06-15,2008,6,15,Cape Coast,5.11,-1.24,46.5,0.93
2008-06-15,2008,6,15,Mankessim,5.27,-1.02,53.5,1.07
2008-07-15,2008,7,15,Cape Coast,5.11,-1.24,47.0,0.94
2008-07-15,2008,7,15,Mankessim,5.27,-1.02,45.3,0.91
2008-08-15,2008,8,15,Cape Coast,5.11,-1.24,49.5,0.99
2008-08-15,2008,8,15,Mankessim,5.27,-1.02,43.13,0.86
2008-09-15,2008,9,15,Cape Coast,5.11,-1.24,48.38,0.97
2008-09-15,2008,9,15,Mankessim,5.27,-1.02,47.25,0.94
2008-10-15,2008,10,15,Cape Coast,5.11,-1.24,47.75,0.96
2008-10-15,2008,10,15,Mankessim,5.27,-1.02,47.5,0.95
2008-11-15,2008,11,15,Cape Coast,5.11,-1.24,55.0,1.1
2008-11-15,2008,11,15,Mankessim,5.27,-1.02,49.2,0.98
2008-12-15,2008,12,15,Cape Coast,5.11,-1.24,55.0,1.1
2008-12-15,2008,12,15,Mankessim,5.27,-1.02,50.0,1.0
2009-01-15,2009,1,15,Cape Coast,5.11,-1.24,54.5,1.09
2009-01-15,2009,1,15,Mankessim,5.27,-1.02,52.6,1.05
2009-02-15,2009,2,15,Cape Coast,5.11,-1.24,55.0,1.1
2009-02-15,2009,2,15,Mankessim,5.27,-1.02,52.5,1.05
2009-03-15,2009,3,15,Cape Coast,5.11,-1.24,55.0,1.1
2009-03-15,2009,3,15,Mankessim,5.27,-1.02,54.75,1.1
2009-04-15,2009,4,15,Cape Coast,5.11,-1.24,53.5,1.07
2009-04-15,2009,4,15,Mankessim,5.27,-1.02,55.0,1.1
2009-05-15,2009,5,15,Cape Coast,5.11,-1.24,55.0,1.1
2009-05-15,2009,5,15,Mankessim,5.27,-1.02,54.2,1.08
2009-06-15,2009,6,15,Cape Coast,5.11,-1.24,55.0,1.1
2009-06-15,2009,6,15,Mankessim,5.27,-1.02,56.63,1.13
2009-07-15,2009,7,15,Cape Coast,5.11,-1.24,55.0,1.1
2009-07-15,2009,7,15,Mankessim,5.27,-1.02,57.25,1.14
2009-08-15,2009,8,15,Cape Coast,5.11,-1.24,55.0,1.1
2009-08-15,2009,8,15,Mankessim,5.27,-1.02,60.0,1.2
2009-09-15,2009,9,15,Cape Coast,5.11,-1.24,55.0,1.1
2009-09-15,2009,9,15,Mankessim,5.27,-1.02,57.75,1.16
2009-10-15,2009,10,15,Cape Coast,5.11,-1.24,52.5,1.05
2009-10-15,2009,10,15,Mankessim,5.27,-1.02,60.0,1.2
2009-11-15,2009,11,15,Cape Coast,5.11,-1.24,51.25,1.02
2009-11-15,2009,11,15,Mankessim,5.27,-1.02,56.25,1.12
2009-12-15,2009,12,15,Cape Coast,5.11,-1.24,51.25,1.02
2009-12-15,2009,12,15,Mankessim,5.27,-1.02,56.25,1.12
2010-01-15,2010,1,15,Cape Coast,5.11,-1.24,51.0,1.02
2010-01-15,2010,1,15,Mankessim,5.27,-1.02,60.0,1.2
2010-02-15,2010,2,15,Cape Coast,5.11,-1.24,55.62,1.11
2010-02-15,2010,2,15,Mankessim,5.27,-1.02,57.5,1.15
2010-03-15,2010,3,15,Cape Coast,5.11,-1.24,56.25,1.12
2010-03-15,2010,3,15,Mankessim,5.27,-1.02,57.5,1.15
2010-04-15,2010,4,15,Cape Coast,5.11,-1.24,56.25,1.12
2010-04-15,2010,4,15,Mankessim,5.27,-1.02,60.0,1.2
2010-05-15,2010,5,15,Cape Coast,5.11,-1.24,60.0,1.2
2010-05-15,2010,5,15,Mankessim,5.27,-1.02,60.6,1.21
2010-06-15,2010,6,15,Cape Coast,5.11,-1.24,53.75,1.08
2010-06-15,2010,6,15,Mankessim,5.27,-1.02,60.0,1.2
2010-07-15,2010,7,15,Cape Coast,5.11,-1.24,60.0,1.2
2010-07-15,2010,7,15,Mankessim,5.27,-1.02,54.6,1.09
2010-08-15,2010,8,15,Cape Coast,5.11,-1.24,60.0,1.2
2010-08-15,2010,8,15,Mankessim,5.27,-1.02,50.5,1.01
2010-09-15,2010,9,15,Cape Coast,5.11,-1.24,60.0,1.2
2010-09-15,2010,9,15,Mankessim,5.27,-1.02,47.75,0.96
2010-10-15,2010,10,15,Cape Coast,5.11,-1.24,64.0,1.28
2010-10-15,2010,10,15,Mankessim,5.27,-1.02,47.0,0.94
2010-11-15,2010,11,15,Cape Coast,5.11,-1.24,60.0,1.2
2010-11-15,2010,11,15,Mankessim,5.27,-1.02,58.75,1.18
2011-01-15,2011,1,15,Cape Coast,5.11,-1.24,50.5,1.01
2011-01-15,2011,1,15,Mankessim,5.27,-1.02,53.33,1.07
2011-02-15,2011,2,15,Cape Coast,5.11,-1.24,54.0,1.08
2011-02-15,2011,2,15,Mankessim,5.27,-1.02,52.0,1.04
2011-03-15,2011,3,15,Cape Coast,5.11,-1.24,67.5,1.35
2011-03-15,2011,3,15,Mankessim,5.27,-1.02,64.0,1.28
2011-04-15,2011,4,15,Cape Coast,5.11,-1.24,65.0,1.3
2011-04-15,2011,4,15,Mankessim,5.27,-1.02,62.75,1.25
2011-05-15,2011,5,15,Cape Coast,5.11,-1.24,65.0,1.3
2011-05-15,2011,5,15,Mankessim,5.27,-1.02,65.0,1.3
2011-06-15,2011,6,15,Cape Coast,5.11,-1.24,63.75,1.27
2011-06-15,2011,6,15,Mankessim,5.27,-1.02,70.0,1.4
2011-07-15,2011,7,15,Cape Coast,5.11,-1.24,76.75,1.54
2011-07-15,2011,7,15,Mankessim,5.27,-1.02,78.5,1.57
2011-08-15,2011,8,15,Cape Coast,5.11,-1.24,83.33,1.67
2011-08-15,2011,8,15,Mankessim,5.27,-1.02,87.33,1.75
2011-09-15,2011,9,15,Cape Coast,5.11,-1.24,78.25,1.56
2011-09-15,2011,9,15,Mankessim,5.27,-1.02,82.25,1.64
2011-10-15,2011,10,15,Cape Coast,5.11,-1.24,85.0,1.7
