date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Cape Coast,5.11,-1.24,2.07
2019-08-15,2019,8,15,Mankessim,5.27,-1.02,2.52
2019-09-15,2019,9,15,Cape Coast,5.11,-1.24,2.07
2019-09-15,2019,9,15,Mankessim,5.27,-1.02,2.53
2019-10-15,2019,10,15,Cape Coast,5.11,-1.24,1.47
2019-10-15,2019,10,15,Mankessim,5.27,-1.02,10.76
2019-11-15,2019,11,15,Cape Coast,5.11,-1.24,3.0
2019-11-15,2019,11,15,Mankessim,5.27,-1.02,2.59
2019-12-15,2019,12,15,Cape Coast,5.11,-1.24,2.48
2019-12-15,2019,12,15,Mankessim,5.27,-1.02,2.63
2020-01-15,2020,1,15,Cape Coast,5.11,-1.24,1.4
2020-01-15,2020,1,15,Mankessim,5.27,-1.02,2.74
2020-02-15,2020,2,15,Cape Coast,5.11,-1.24,0.17
2020-02-15,2020,2,15,Cape Coast,5.11,-1.24,12.67
2020-02-15,2020,2,15,Mankessim,5.27,-1.02,13.0
2020-04-15,2020,4,15,Cape Coast,5.11,-1.24,3.8
2020-04-15,2020,4,15,Cape Coast,5.11,-1.24,4.17
2020-04-15,2020,4,15,Mankessim,5.27,-1.02,4.59
2020-05-15,2020,5,15,Cape Coast,5.11,-1.24,1.26
2020-05-15,2020,5,15,Cape Coast,5.11,-1.24,10.69
2020-05-15,2020,5,15,Mankessim,5.27,-1.02,7.05
2020-06-15,2020,6,15,Cape Coast,5.11,-1.24,6.43
2020-07-15,2020,7,15,Cape Coast,5.11,-1.24,0.17
2020-07-15,2020,7,15,Mankessim,5.27,-1.02,13.0
2020-08-15,2020,8,15,Cape Coast,5.11,-1.24,0.17
2020-08-15,2020,8,15,Mankessim,5.27,-1.02,13.0
2020-09-15,2020,9,15,Cape Coast,5.11,-1.24,0.14
2020-09-15,2020,9,15,Cape Coast,5.11,-1.24,13.0
2020-09-15,2020,9,15,Mankessim,5.27,-1.02,13.0
2020-10-15,2020,10,15,Cape Coast,5.11,-1.24,2.41
2020-10-15,2020,10,15,Mankessim,5.27,-1.02,1.83
2020-11-15,2020,11,15,Cape Coast,5.11,-1.24,2.23
2020-11-15,2020,11,15,Mankessim,5.27,-1.02,1.93
2020-12-15,2020,12,15,Cape Coast,5.11,-1.24,3.5
2020-12-15,2020,12,15,Mankessim,5.27,-1.02,1.33
2021-01-15,2021,1,15,Cape Coast,5.11,-1.24,5.95
2021-01-15,2021,1,15,Mankessim,5.27,-1.02,6.89
2021-02-15,2021,2,15,Cape Coast,5.11,-1.24,8.89
2021-02-15,2021,2,15,Mankessim,5.27,-1.02,13.27
2021-03-15,2021,3,15,Cape Coast,5.11,-1.24,8.89
2021-03-15,2021,3,15,Mankessim,5.27,-1.02,2.87
2021-04-15,2021,4,15,Cape Coast,5.11,-1.24,10.83
2021-04-15,2021,4,15,Mankessim,5.27,-1.02,3.82
2021-05-15,2021,5,15,Cape Coast,5.11,-1.24,12.5
2021-05-15,2021,5,15,Mankessim,5.27,-1.02,5.3
2021-06-15,2021,6,15,Cape Coast,5.11,-1.24,2.52
2021-06-15,2021,6,15,Mankessim,5.27,-1.02,1.38
2021-07-15,2021,7,15,Mankessim,5.27,-1.02,7.61
2021-08-15,2021,8,15,Cape Coast,5.11,-1.24,8.89
2021-08-15,2021,8,15,Mankessim,5.27,-1.02,4.93
2021-09-15,2021,9,15,Cape Coast,5.11,-1.24,16.67
2021-09-15,2021,9,15,Mankessim,5.27,-1.02,4.21
2021-10-15,2021,10,15,Cape Coast,5.11,-1.24,7.54
2021-10-15,2021,10,15,Mankessim,5.27,-1.02,2.1
2021-11-15,2021,11,15,Mankessim,5.27,-1.02,2.35
2021-12-15,2021,12,15,Mankessim,5.27,-1.02,2.47
2022-01-15,2022,1,15,Cape Coast,5.11,-1.24,9.44
2022-01-15,2022,1,15,Mankessim,5.27,-1.02,11.74
2022-03-15,2022,3,15,Cape Coast,5.11,-1.24,9.44
2022-03-15,2022,3,15,Mankessim,5.27,-1.02,8.16
2022-04-15,2022,4,15,Mankessim,5.27,-1.02,9.32
2022-05-15,2022,5,15,Mankessim,5.27,-1.02,9.38
2022-06-15,2022,6,15,Mankessim,5.27,-1.02,5.19
2022-08-15,2022,8,15,Cape Coast,5.11,-1.24,5.37
2022-08-15,2022,8,15,Mankessim,5.27,-1.02,6.88
2022-09-15,2022,9,15,Cape Coast,5.11,-1.24,13.89
2022-09-15,2022,9,15,Mankessim,5.27,-1.02,7.71
2022-10-15,2022,10,15,Cape Coast,5.11,-1.24,8.89
2022-10-15,2022,10,15,Mankessim,5.27,-1.02,4.61
2022-11-15,2022,11,15,Mankessim,5.27,-1.02,6.05
2022-12-15,2022,12,15,Cape Coast,5.11,-1.24,15.28
2022-12-15,2022,12,15,Mankessim,5.27,-1.02,8.21
2023-01-15,2023,1,15,Cape Coast,5.11,-1.24,12.5
2023-01-15,2023,1,15,Mankessim,5.27,-1.02,10.07
2023-02-15,2023,2,15,Cape Coast,5.11,-1.24,8.88
2023-02-15,2023,2,15,Mankessim,5.27,-1.02,6.78
2023-03-15,2023,3,15,Cape Coast,5.11,-1.24,13.89
2023-03-15,2023,3,15,Mankessim,5.27,-1.02,7.6
2023-04-15,2023,4,15,Cape Coast,5.11,-1.24,5.33
2023-05-15,2023,5,15,Cape Coast,5.11,-1.24,5.33
2023-05-15,2023,5,15,Mankessim,5.27,-1.02,0.87
2023-06-15,2023,6,15,Cape Coast,5.11,-1.24,5.33
2023-07-15,2023,7,15,Cape Coast,5.11,-1.24,5.33
2023-07-15,2023,7,15,Mankessim,5.27,-1.02,0.87
