date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2008-01-15,2008,1,15,Cape Coast,5.11,-1.24,1.08
2008-01-15,2008,1,15,Mankessim,5.27,-1.02,0.76
2008-02-15,2008,2,15,Cape Coast,5.11,-1.24,1.0
2008-02-15,2008,2,15,Mankessim,5.27,-1.02,1.19
2008-03-15,2008,3,15,Cape Coast,5.11,-1.24,1.1
2008-03-15,2008,3,15,Mankessim,5.27,-1.02,1.37
2008-04-15,2008,4,15,Cape Coast,5.11,-1.24,1.25
2008-04-15,2008,4,15,Mankessim,5.27,-1.02,1.48
2008-05-15,2008,5,15,Cape Coast,5.11,-1.24,1.42
2008-05-15,2008,5,15,Mankessim,5.27,-1.02,1.65
2008-06-15,2008,6,15,Cape Coast,5.11,-1.24,1.5
2008-06-15,2008,6,15,Mankessim,5.27,-1.02,1.7
2008-07-15,2008,7,15,Cape Coast,5.11,-1.24,1.57
2008-07-15,2008,7,15,Mankessim,5.27,-1.02,1.4
2008-08-15,2008,8,15,Cape Coast,5.11,-1.24,1.3
2008-08-15,2008,8,15,Mankessim,5.27,-1.02,1.2
2008-09-15,2008,9,15,Cape Coast,5.11,-1.24,1.2
2008-09-15,2008,9,15,Mankessim,5.27,-1.02,0.89
2008-10-15,2008,10,15,Cape Coast,5.11,-1.24,1.08
2008-10-15,2008,10,15,Mankessim,5.27,-1.02,0.66
2008-11-15,2008,11,15,Cape Coast,5.11,-1.24,1.16
2008-11-15,2008,11,15,Mankessim,5.27,-1.02,1.11
2008-12-15,2008,12,15,Cape Coast,5.11,-1.24,1.2
2008-12-15,2008,12,15,Mankessim,5.27,-1.02,1.39
2009-01-15,2009,1,15,Cape Coast,5.11,-1.24,1.26
2009-01-15,2009,1,15,Mankessim,5.27,-1.02,1.48
2009-02-15,2009,2,15,Cape Coast,5.11,-1.24,1.18
2009-02-15,2009,2,15,Mankessim,5.27,-1.02,1.5
2009-03-15,2009,3,15,Cape Coast,5.11,-1.24,1.2
2009-03-15,2009,3,15,Mankessim,5.27,-1.02,1.6
2009-04-15,2009,4,15,Cape Coast,5.11,-1.24,1.23
2009-04-15,2009,4,15,Mankessim,5.27,-1.02,1.75
2009-05-15,2009,5,15,Cape Coast,5.11,-1.24,1.24
2009-05-15,2009,5,15,Mankessim,5.27,-1.02,1.77
2009-06-15,2009,6,15,Cape Coast,5.11,-1.24,1.45
2009-06-15,2009,6,15,Mankessim,5.27,-1.02,1.73
2009-07-15,2009,7,15,Cape Coast,5.11,-1.24,1.5
2009-07-15,2009,7,15,Mankessim,5.27,-1.02,1.62
2009-08-15,2009,8,15,Cape Coast,5.11,-1.24,1.46
2009-08-15,2009,8,15,Mankessim,5.27,-1.02,1.24
2009-09-15,2009,9,15,Cape Coast,5.11,-1.24,1.5
2009-09-15,2009,9,15,Mankessim,5.27,-1.02,0.95
2009-10-15,2009,10,15,Cape Coast,5.11,-1.24,1.65
2009-10-15,2009,10,15,Mankessim,5.27,-1.02,1.26
2009-11-15,2009,11,15,Cape Coast,5.11,-1.24,1.72
2009-11-15,2009,11,15,Mankessim,5.27,-1.02,1.52
2009-12-15,2009,12,15,Cape Coast,5.11,-1.24,1.72
2009-12-15,2009,12,15,Mankessim,5.27,-1.02,1.52
2010-01-15,2010,1,15,Cape Coast,5.11,-1.24,1.8
2010-01-15,2010,1,15,Mankessim,5.27,-1.02,1.75
2010-02-15,2010,2,15,Cape Coast,5.11,-1.24,1.72
2010-02-15,2010,2,15,Mankessim,5.27,-1.02,1.95
2010-03-15,2010,3,15,Cape Coast,5.11,-1.24,1.8
2010-03-15,2010,3,15,Mankessim,5.27,-1.02,2.1
2010-04-15,2010,4,15,Cape Coast,5.11,-1.24,1.75
2010-04-15,2010,4,15,Mankessim,5.27,-1.02,2.16
2010-05-15,2010,5,15,Cape Coast,5.11,-1.24,1.84
2010-05-15,2010,5,15,Mankessim,5.27,-1.02,2.34
2010-06-15,2010,6,15,Cape Coast,5.11,-1.24,2.0
2010-06-15,2010,6,15,Mankessim,5.27,-1.02,2.33
2010-07-15,2010,7,15,Cape Coast,5.11,-1.24,2.0
