date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Koforidua,6.08,-0.25,3.85,3.85
2019-09-15,2019,9,15,Koforidua,6.08,-0.25,3.85,3.85
2019-10-15,2019,10,15,Koforidua,6.08,-0.25,3.85,3.85
2019-11-15,2019,11,15,Koforidua,6.08,-0.25,1.61,1.61
2019-12-15,2019,12,15,Koforidua,6.08,-0.25,1.61,1.61
2020-01-15,2020,1,15,Koforidua,6.08,-0.25,1.61,1.61
2020-02-15,2020,2,15,Koforidua,6.08,-0.25,356.18,13.19
2020-02-15,2020,2,15,Koforidua,6.08,-0.25,5.58,5.58
2020-03-15,2020,3,15,Koforidua,6.08,-0.25,2.78,2.78
2020-04-15,2020,4,15,Koforidua,6.08,-0.25,209.13,7.75
2020-04-15,2020,4,15,Koforidua,6.08,-0.25,6.25,6.25
2020-05-15,2020,5,15,Koforidua,6.08,-0.25,321.37,11.9
2020-05-15,2020,5,15,Koforidua,6.08,-0.25,6.09,6.09
2020-06-15,2020,6,15,Koforidua,6.08,-0.25,287.44,10.65
2020-07-15,2020,7,15,Koforidua,6.08,-0.25,356.18,13.19
2020-07-15,2020,7,15,Koforidua,6.08,-0.25,5.58,5.58
2020-08-15,2020,8,15,Koforidua,6.08,-0.25,563.99,20.89
2020-08-15,2020,8,15,Koforidua,6.08,-0.25,6.72,6.72
2020-09-15,2020,9,15,Koforidua,6.08,-0.25,712.36,26.38
2020-09-15,2020,9,15,Koforidua,6.08,-0.25,6.72,6.72
2020-10-15,2020,10,15,Koforidua,6.08,-0.25,3.42,3.42
2020-11-15,2020,11,15,Koforidua,6.08,-0.25,3.24,3.24
2020-12-15,2020,12,15,Koforidua,6.08,-0.25,2.81,2.81
2021-01-15,2021,1,15,Koforidua,6.08,-0.25,5.6,5.6
2021-02-15,2021,2,15,Koforidua,6.08,-0.25,295.68,10.95
2021-02-15,2021,2,15,Koforidua,6.08,-0.25,2.54,2.54
2021-03-15,2021,3,15,Koforidua,6.08,-0.25,142.63,5.28
2021-03-15,2021,3,15,Koforidua,6.08,-0.25,2.54,2.54
2021-04-15,2021,4,15,Koforidua,6.08,-0.25,142.63,5.28
2021-04-15,2021,4,15,Koforidua,6.08,-0.25,5.6,5.6
2021-05-15,2021,5,15,Koforidua,6.08,-0.25,142.63,5.28
2021-05-15,2021,5,15,Koforidua,6.08,-0.25,2.54,2.54
2021-06-15,2021,6,15,Koforidua,6.08,-0.25,142.63,5.28
2021-06-15,2021,6,15,Koforidua,6.08,-0.25,4.52,4.52
2021-07-15,2021,7,15,Koforidua,6.08,-0.25,142.63,5.28
2021-08-15,2021,8,15,Koforidua,6.08,-0.25,142.63,5.28
2021-09-15,2021,9,15,Koforidua,6.08,-0.25,142.63,5.28
2021-11-15,2021,11,15,Koforidua,6.08,-0.25,142.63,5.28
2021-11-15,2021,11,15,Koforidua,6.08,-0.25,1.84,1.84
2021-12-15,2021,12,15,Koforidua,6.08,-0.25,142.63,5.28
2021-12-15,2021,12,15,Koforidua,6.08,-0.25,1.84,1.84
2022-01-15,2022,1,15,Koforidua,6.08,-0.25,142.63,5.28
2022-01-15,2022,1,15,Koforidua,6.08,-0.25,1.84,1.84
2022-05-15,2022,5,15,Koforidua,6.08,-0.25,142.63,5.28
2022-05-15,2022,5,15,Koforidua,6.08,-0.25,1.84,1.84
2023-02-15,2023,2,15,Koforidua,6.08,-0.25,481.51,17.83
2023-02-15,2023,2,15,Koforidua,6.08,-0.25,5.71,5.71
2023-03-15,2023,3,15,Koforidua,6.08,-0.25,1096.11,40.6
2023-03-15,2023,3,15,Koforidua,6.08,-0.25,6.0,6.0
2023-04-15,2023,4,15,Koforidua,6.08,-0.25,69.44,2.57
2023-05-15,2023,5,15,Koforidua,6.08,-0.25,75.79,2.81
2023-05-15,2023,5,15,Koforidua,6.08,-0.25,14.48,14.48
2023-06-15,2023,6,15,Koforidua,6.08,-0.25,75.79,2.81
2023-06-15,2023,6,15,Koforidua,6.08,-0.25,14.48,14.48
2023-07-15,2023,7,15,Koforidua,6.08,-0.25,583.33,21.6
