date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2008-01-15,2008,1,15,Koforidua,6.08,-0.25,0.3
2008-02-15,2008,2,15,Koforidua,6.08,-0.25,0.35
2008-03-15,2008,3,15,Koforidua,6.08,-0.25,0.34
2008-04-15,2008,4,15,Koforidua,6.08,-0.25,0.38
2008-05-15,2008,5,15,Koforidua,6.08,-0.25,0.52
2008-06-15,2008,6,15,Koforidua,6.08,-0.25,0.56
2008-07-15,2008,7,15,Koforidua,6.08,-0.25,0.7
2008-08-15,2008,8,15,Koforidua,6.08,-0.25,0.55
2008-09-15,2008,9,15,Koforidua,6.08,-0.25,0.38
2008-10-15,2008,10,15,Koforidua,6.08,-0.25,0.41
2008-11-15,2008,11,15,Koforidua,6.08,-0.25,0.5
2008-12-15,2008,12,15,Koforidua,6.08,-0.25,0.52
2009-01-15,2009,1,15,Koforidua,6.08,-0.25,0.5
2009-02-15,2009,2,15,Koforidua,6.08,-0.25,0.51
2009-03-15,2009,3,15,Koforidua,6.08,-0.25,0.55
2009-04-15,2009,4,15,Koforidua,6.08,-0.25,0.56
2009-05-15,2009,5,15,Koforidua,6.08,-0.25,0.66
2009-06-15,2009,6,15,Koforidua,6.08,-0.25,0.69
2009-07-15,2009,7,15,Koforidua,6.08,-0.25,0.68
2009-08-15,2009,8,15,Koforidua,6.08,-0.25,0.39
2009-09-15,2009,9,15,Koforidua,6.08,-0.25,0.35
2009-10-15,2009,10,15,Koforidua,6.08,-0.25,0.4
2009-11-15,2009,11,15,Koforidua,6.08,-0.25,0.4
2009-12-15,2009,12,15,Koforidua,6.08,-0.25,0.4
2010-01-15,2010,1,15,Koforidua,6.08,-0.25,0.45
2010-02-15,2010,2,15,Koforidua,6.08,-0.25,0.44
2010-03-15,2010,3,15,Koforidua,6.08,-0.25,0.44
2010-04-15,2010,4,15,Koforidua,6.08,-0.25,0.44
2010-05-15,2010,5,15,Koforidua,6.08,-0.25,0.49
2010-06-15,2010,6,15,Koforidua,6.08,-0.25,0.52
2010-07-15,2010,7,15,Koforidua,6.08,-0.25,0.62
2010-08-15,2010,8,15,Koforidua,6.08,-0.25,0.56
2010-09-15,2010,9,15,Koforidua,6.08,-0.25,0.52
2010-10-15,2010,10,15,Koforidua,6.08,-0.25,0.48
2010-11-15,2010,11,15,Koforidua,6.08,-0.25,0.57
2011-01-15,2011,1,15,Koforidua,6.08,-0.25,0.65
2011-02-15,2011,2,15,Koforidua,6.08,-0.25,0.52
2011-03-15,2011,3,15,Koforidua,6.08,-0.25,0.62
2011-04-15,2011,4,15,Koforidua,6.08,-0.25,0.64
2011-05-15,2011,5,15,Koforidua,6.08,-0.25,0.82
2011-06-15,2011,6,15,Koforidua,6.08,-0.25,0.82
2011-07-15,2011,7,15,Koforidua,6.08,-0.25,0.88
2011-08-15,2011,8,15,Koforidua,6.08,-0.25,0.85
2011-09-15,2011,9,15,Koforidua,6.08,-0.25,0.68
2011-10-15,2011,10,15,Koforidua,6.08,-0.25,0.67
2011-11-15,2011,11,15,Koforidua,6.08,-0.25,0.92
2011-12-15,2011,12,15,Koforidua,6.08,-0.25,1.12
2012-01-15,2012,1,15,Koforidua,6.08,-0.25,1.02
2012-02-15,2012,2,15,Koforidua,6.08,-0.25,0.98
2012-03-15,2012,3,15,Koforidua,6.08,-0.25,0.94
2012-04-15,2012,4,15,Koforidua,6.08,-0.25,1.26
2012-05-15,2012,5,15,Koforidua,6.08,-0.25,1.45
2012-06-15,2012,6,15,Koforidua,6.08,-0.25,1.4
2012-07-15,2012,7,15,Koforidua,6.08,-0.25,1.35
2012-08-15,2012,8,15,Koforidua,6.08,-0.25,0.92
2012-09-15,2012,9,15,Koforidua,6.08,-0.25,0.9
2012-10-15,2012,10,15,Koforidua,6.08,-0.25,0.89
2012-11-15,2012,11,15,Koforidua,6.08,-0.25,0.8
2012-12-15,2012,12,15,Koforidua,6.08,-0.25,0.88
2013-01-15,2013,1,15,Koforidua,6.08,-0.25,0.87
2013-02-15,2013,2,15,Koforidua,6.08,-0.25,0.7
2013-03-15,2013,3,15,Koforidua,6.08,-0.25,0.7
2013-04-15,2013,4,15,Koforidua,6.08,-0.25,0.77
2013-05-15,2013,5,15,Koforidua,6.08,-0.25,0.86
2013-06-15,2013,6,15,Koforidua,6.08,-0.25,0.86
2013-07-15,2013,7,15,Koforidua,6.08,-0.25,0.86
2013-08-15,2013,8,15,Koforidua,6.08,-0.25,0.85
2013-09-15,2013,9,15,Koforidua,6.08,-0.25,0.8
2013-10-15,2013,10,15,Koforidua,6.08,-0.25,0.7
2013-11-15,2013,11,15,Koforidua,6.08,-0.25,0.74
2013-12-15,2013,12,15,Koforidua,6.08,-0.25,0.92
2014-01-15,2014,1,15,Koforidua,6.08,-0.25,0.97
2014-02-15,2014,2,15,Koforidua,6.08,-0.25,1.01
2014-03-15,2014,3,15,Koforidua,6.08,-0.25,1.04
2014-04-15,2014,4,15,Koforidua,6.08,-0.25,1.23
2014-05-15,2014,5,15,Koforidua,6.08,-0.25,1.5
2014-06-15,2014,6,15,Koforidua,6.08,-0.25,1.4
2014-07-15,2014,7,15,Koforidua,6.08,-0.25,1.45
2014-08-15,2014,8,15,Koforidua,6.08,-0.25,1.5
2014-09-15,2014,9,15,Koforidua,6.08,-0.25,1.3
2014-10-15,2014,10,15,Koforidua,6.08,-0.25,1.3
2014-11-15,2014,11,15,Koforidua,6.08,-0.25,1.3
2014-12-15,2014,12,15,Koforidua,6.08,-0.25,1.3
2015-01-15,2015,1,15,Koforidua,6.08,-0.25,1.3
2015-02-15,2015,2,15,Koforidua,6.08,-0.25,1.5
2015-03-15,2015,3,15,Koforidua,6.08,-0.25,1.5
2015-04-15,2015,4,15,Koforidua,6.08,-0.25,1.75
2015-05-15,2015,5,15,Koforidua,6.08,-0.25,2.0
2015-06-15,2015,6,15,Koforidua,6.08,-0.25,2.0
2015-07-15,2015,7,15,Koforidua,6.08,-0.25,2.1
2015-10-15,2015,10,15,Koforidua,6.08,-0.25,2.0
2015-11-15,2015,11,15,Koforidua,6.08,-0.25,2.0
2015-12-15,2015,12,15,Koforidua,6.08,-0.25,2.0
2016-01-15,2016,1,15,Koforidua,6.08,-0.25,2.12
2016-02-15,2016,2,15,Koforidua,6.08,-0.25,2.2
2016-03-15,2016,3,15,Koforidua,6.08,-0.25,1.9
2016-04-15,2016,4,15,Koforidua,6.08,-0.25,1.8
2016-05-15,2016,5,15,Koforidua,6.08,-0.25,1.8
