date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Koforidua,6.08,-0.25,6.67,6.67
2019-09-15,2019,9,15,Koforidua,6.08,-0.25,157.5,7.88
2019-09-15,2019,9,15,Koforidua,6.08,-0.25,2.43,2.43
2019-10-15,2019,10,15,Koforidua,6.08,-0.25,157.5,7.88
2019-10-15,2019,10,15,Koforidua,6.08,-0.25,1.82,1.82
2019-11-15,2019,11,15,Koforidua,6.08,-0.25,154.5,7.72
2019-11-15,2019,11,15,Koforidua,6.08,-0.25,1.82,1.82
2019-12-15,2019,12,15,Koforidua,6.08,-0.25,154.5,7.72
2019-12-15,2019,12,15,Koforidua,6.08,-0.25,1.82,1.82
2020-01-15,2020,1,15,Koforidua,6.08,-0.25,154.5,7.72
2020-01-15,2020,1,15,Koforidua,6.08,-0.25,1.82,1.82
2020-02-15,2020,2,15,Koforidua,6.08,-0.25,363.33,18.17
2020-02-15,2020,2,15,Koforidua,6.08,-0.25,5.0,5.0
2020-03-15,2020,3,15,Koforidua,6.08,-0.25,2.22,2.22
2020-04-15,2020,4,15,Koforidua,6.08,-0.25,214.29,10.71
2020-04-15,2020,4,15,Koforidua,6.08,-0.25,5.0,5.0
2020-05-15,2020,5,15,Koforidua,6.08,-0.25,414.83,20.74
2020-05-15,2020,5,15,Koforidua,6.08,-0.25,5.0,5.0
2020-06-15,2020,6,15,Koforidua,6.08,-0.25,435.42,21.77
2020-07-15,2020,7,15,Koforidua,6.08,-0.25,363.33,18.17
2020-07-15,2020,7,15,Koforidua,6.08,-0.25,5.0,5.0
2020-08-15,2020,8,15,Koforidua,6.08,-0.25,363.33,18.17
2020-08-15,2020,8,15,Koforidua,6.08,-0.25,5.0,5.0
2020-09-15,2020,9,15,Koforidua,6.08,-0.25,363.33,18.17
2020-09-15,2020,9,15,Koforidua,6.08,-0.25,5.0,5.0
2020-10-15,2020,10,15,Koforidua,6.08,-0.25,184.5,9.22
2020-10-15,2020,10,15,Koforidua,6.08,-0.25,1.97,1.97
2020-11-15,2020,11,15,Koforidua,6.08,-0.25,147.86,7.39
2020-11-15,2020,11,15,Koforidua,6.08,-0.25,1.93,1.93
2020-12-15,2020,12,15,Koforidua,6.08,-0.25,142.63,7.13
2020-12-15,2020,12,15,Koforidua,6.08,-0.25,1.93,1.93
2021-01-15,2021,1,15,Koforidua,6.08,-0.25,142.63,7.13
2021-01-15,2021,1,15,Koforidua,6.08,-0.25,2.36,2.36
2021-02-15,2021,2,15,Koforidua,6.08,-0.25,37.5,1.88
2021-06-15,2021,6,15,Koforidua,6.08,-0.25,410.53,20.53
2021-06-15,2021,6,15,Koforidua,6.08,-0.25,5.21,5.21
2021-07-15,2021,7,15,Koforidua,6.08,-0.25,478.92,23.95
2021-08-15,2021,8,15,Koforidua,6.08,-0.25,615.68,30.78
2021-09-15,2021,9,15,Koforidua,6.08,-0.25,752.44,37.62
2021-11-15,2021,11,15,Koforidua,6.08,-0.25,410.28,20.51
2021-12-15,2021,12,15,Koforidua,6.08,-0.25,478.95,23.95
2022-01-15,2022,1,15,Koforidua,6.08,-0.25,1984.21,99.21
2023-02-15,2023,2,15,Koforidua,6.08,-0.25,509.5,25.48
2023-02-15,2023,2,15,Koforidua,6.08,-0.25,3.83,3.83
2023-03-15,2023,3,15,Koforidua,6.08,-0.25,693.33,34.67
2023-03-15,2023,3,15,Koforidua,6.08,-0.25,2.0,2.0
2023-04-15,2023,4,15,Koforidua,6.08,-0.25,5.56,5.56
2023-05-15,2023,5,15,Koforidua,6.08,-0.25,3.83,3.83
2023-06-15,2023,6,15,Koforidua,6.08,-0.25,3.83,3.83
2023-07-15,2023,7,15,Koforidua,6.08,-0.25,866.67,43.33
2023-07-15,2023,7,15,Koforidua,6.08,-0.25,5.56,5.56
