date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2008-04-15,2008,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,45.5
2008-05-15,2008,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,44.0
2008-06-15,2008,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,49.0
2008-07-15,2008,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,52.5
2008-10-15,2008,10,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,45.13
2008-11-15,2008,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,45.0
2009-02-15,2009,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,70.0
2009-03-15,2009,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,70.0
2009-04-15,2009,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,70.0
2009-05-15,2009,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,70.0
2009-06-15,2009,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,70.0
2009-07-15,2009,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,65.0
2009-08-15,2009,8,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,65.0
2009-09-15,2009,9,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,68.75
2009-10-15,2009,10,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,50 ,actual,Wholesale,70.0
