date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-11-15,2019,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.49
2019-12-15,2019,12,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.49
2020-01-15,2020,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.49
2020-02-15,2020,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,17.0
2020-02-15,2020,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,13.0
2020-04-15,2020,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,293.46
2020-04-15,2020,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,3.08
2020-05-15,2020,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,100.64
2020-05-15,2020,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,3.87
2020-06-15,2020,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,155.23
2020-07-15,2020,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,17.0
2020-07-15,2020,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,13.0
2020-08-15,2020,8,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,16.22
2020-08-15,2020,8,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,13.0
2020-09-15,2020,9,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,16.0
2020-09-15,2020,9,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,13.0
2020-10-15,2020,10,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.47
2020-11-15,2020,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.47
2020-12-15,2020,12,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.47
2021-01-15,2021,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,323.02
2021-01-15,2021,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.42
2021-02-15,2021,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,478.06
2021-02-15,2021,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,7.14
2021-03-15,2021,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,136.16
2021-03-15,2021,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,5.22
2021-04-15,2021,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,104.74
2021-04-15,2021,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,7.02
2021-05-15,2021,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,167.58
2021-05-15,2021,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,7.02
2021-06-15,2021,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,209.48
2021-06-15,2021,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,2.83
2021-07-15,2021,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
2021-08-15,2021,8,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
2021-09-15,2021,9,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
2021-11-15,2021,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,209.48
2021-12-15,2021,12,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
2022-01-15,2022,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,261.85
2022-05-15,2022,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,209.48
2023-02-15,2023,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,232.87
2023-02-15,2023,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,7.24
2023-03-15,2023,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,311.61
2023-03-15,2023,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,8.74
2023-04-15,2023,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,866.67
2023-04-15,2023,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,2.0
2023-07-15,2023,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,109 ,aggregate,Wholesale,150.0
2023-07-15,2023,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,2.0
