date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,33.3
2019-09-15,2019,9,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,33.3
2019-10-15,2019,10,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,33.3
2019-11-15,2019,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,13.3
2019-12-15,2019,12,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,13.3
2020-01-15,2020,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,13.3
2020-03-15,2020,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,12.5
2020-05-15,2020,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,473.2
2020-05-15,2020,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,10.0
2020-10-15,2020,10,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,32.9
2020-10-15,2020,10,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.93
2020-11-15,2020,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,23.87
2020-11-15,2020,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.93
2020-12-15,2020,12,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,22.58
2020-12-15,2020,12,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,1.93
2021-01-15,2021,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,22.58
2021-01-15,2021,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,2.83
2021-02-15,2021,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,136.16
2021-02-15,2021,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,7.86
2021-03-15,2021,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,7.86
2021-05-15,2021,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,7.86
2021-06-15,2021,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,5.83
2021-09-15,2021,9,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,4.68
2021-11-15,2021,11,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,4.68
2021-12-15,2021,12,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,4.68
2022-01-15,2022,1,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,4.68
2022-05-15,2022,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,4.68
2023-02-15,2023,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,63.24
2023-02-15,2023,2,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,11.22
2023-03-15,2023,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,58.18
2023-03-15,2023,3,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,15.0
2023-04-15,2023,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,46.3
2023-04-15,2023,4,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,6.44
2023-05-15,2023,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,43.77
2023-05-15,2023,5,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,5.91
2023-06-15,2023,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,43.77
2023-06-15,2023,6,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,5.91
2023-07-15,2023,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,52 ,aggregate,Wholesale,60.28
2023-07-15,2023,7,15,Koforidua,NEW JUABEN MUNICIPAL,212,6.08,-0.25,,aggregate,Retail,6.65
