date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,13.9
2006-02-15,2006,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,13.75
2006-04-15,2006,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,13.15
2006-05-15,2006,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,13.48
2006-06-15,2006,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,10.3
2006-07-15,2006,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,10.78
2006-08-15,2006,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,10.75
2006-09-15,2006,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,11.83
2006-10-15,2006,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,11.4
2006-11-15,2006,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,11.13
2006-12-15,2006,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,10.2
2007-01-15,2007,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,11.97
2007-02-15,2007,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,13.8
2007-03-15,2007,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,14.25
2007-04-15,2007,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,16.2
2007-05-15,2007,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,14.45
2007-06-15,2007,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,12.35
2007-07-15,2007,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,10.45
2007-08-15,2007,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,10.0
2007-09-15,2007,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,10.0
2007-10-15,2007,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,12.5
2007-11-15,2007,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,14.0
2007-12-15,2007,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,15.0
2008-01-15,2008,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,16.5
2008-01-15,2008,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,13.25
2008-02-15,2008,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,17.25
2008-02-15,2008,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,14.25
2008-03-15,2008,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,18.0
2008-03-15,2008,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,24.0
2008-04-15,2008,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,21.5
2008-04-15,2008,4,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,31.5
2008-05-15,2008,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,23.5
2008-05-15,2008,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,29.5
2008-06-15,2008,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,21.0
2008-06-15,2008,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,27.0
2008-07-15,2008,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,19.0
2008-07-15,2008,7,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,25.0
2008-08-15,2008,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,16.75
2008-08-15,2008,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,30.0
2008-09-15,2008,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,20.0
2008-09-15,2008,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,26.5
2008-10-15,2008,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,20.75
2008-10-15,2008,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,28.25
2008-11-15,2008,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,23.4
2008-11-15,2008,11,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,26.8
2008-12-15,2008,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,24.75
2008-12-15,2008,12,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,24.0
2009-01-15,2009,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,28.2
2009-01-15,2009,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,26.8
2009-02-15,2009,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,25.0
2009-02-15,2009,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,30.75
2009-03-15,2009,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,27.0
2009-03-15,2009,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,32.0
2009-04-15,2009,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,27.5
2009-04-15,2009,4,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,37.0
2009-05-15,2009,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,19.6
2009-05-15,2009,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,34.2
2009-06-15,2009,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,19.3
2009-06-15,2009,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,35.0
2009-07-15,2009,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,19.75
2009-07-15,2009,7,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,35.0
2009-08-15,2009,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,23.6
2009-08-15,2009,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,91 ,actual,Wholesale,35.6
2009-09-15,2009,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,91 ,actual,Wholesale,24.5
