date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,859.55
2019-09-15,2019,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,916.63
2019-10-15,2019,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,924.78
2020-02-15,2020,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,280.0
2020-02-15,2020,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,454.69
2020-04-15,2020,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,380.0
2020-05-15,2020,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,297.65
2020-05-15,2020,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,340.52
2020-06-15,2020,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,330.0
2020-06-15,2020,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,632.91
2020-07-15,2020,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,280.0
2020-07-15,2020,7,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,454.69
2020-08-15,2020,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,280.0
2020-08-15,2020,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,454.69
2020-09-15,2020,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,280.0
2020-09-15,2020,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,460.75
2021-01-15,2021,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,167.03
2021-01-15,2021,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,209.16
2021-03-15,2021,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,228.28
2021-03-15,2021,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,371.8
2021-04-15,2021,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,407.31
2021-04-15,2021,4,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,583.28
2021-05-15,2021,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,309.89
2021-06-15,2021,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,544.66
2021-06-15,2021,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,716.43
2021-07-15,2021,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,482.73
2021-07-15,2021,7,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,883.17
2021-08-15,2021,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,470.09
2021-08-15,2021,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,1030.37
2021-09-15,2021,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,579.78
2021-09-15,2021,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,735.98
2021-10-15,2021,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,284.29
2021-10-15,2021,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,588.78
2021-11-15,2021,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,284.29
2021-11-15,2021,11,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,525.1
2021-12-15,2021,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,223.82
2021-12-15,2021,12,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,617.94
2022-01-15,2022,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,229.85
2022-01-15,2022,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,702.14
2022-02-15,2022,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,194.23
2022-02-15,2022,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,624.12
2022-03-15,2022,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,224.71
2022-03-15,2022,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,546.11
2022-04-15,2022,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,376.94
2022-04-15,2022,4,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,546.11
2022-05-15,2022,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,789.73
2022-05-15,2022,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,540.7
2022-06-15,2022,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,789.73
2022-06-15,2022,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,617.94
2022-07-15,2022,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,583.99
2022-07-15,2022,7,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,772.43
2022-08-15,2022,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,425.52
2022-08-15,2022,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,468.09
2022-09-15,2022,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,425.52
2022-09-15,2022,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,540.7
2022-10-15,2022,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,340.23
2022-11-15,2022,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,340.23
2023-01-15,2023,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,340.23
2023-01-15,2023,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,849.67
2023-02-15,2023,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,569.43
2023-02-15,2023,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,617.94
2023-03-15,2023,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,787.81
2023-03-15,2023,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,617.94
2023-07-15,2023,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,909.21
