date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Accra,5.55,-0.22,167.0,1.67
2019-08-15,2019,8,15,Accra,5.55,-0.22,1.92,1.92
2019-09-15,2019,9,15,Accra,5.55,-0.22,174.49,1.74
2019-09-15,2019,9,15,Accra,5.55,-0.22,2.38,2.38
2019-10-15,2019,10,15,Accra,5.55,-0.22,177.78,1.78
2019-10-15,2019,10,15,Accra,5.55,-0.22,2.4,2.4
2019-11-15,2019,11,15,Accra,5.55,-0.22,177.78,1.78
2019-11-15,2019,11,15,Accra,5.55,-0.22,2.4,2.4
2019-12-15,2019,12,15,Accra,5.55,-0.22,177.78,1.78
2019-12-15,2019,12,15,Accra,5.55,-0.22,2.4,2.4
2020-01-15,2020,1,15,Accra,5.55,-0.22,177.78,1.78
2020-01-15,2020,1,15,Accra,5.55,-0.22,2.4,2.4
2020-02-15,2020,2,15,Accra,5.55,-0.22,191.0,1.91
2020-02-15,2020,2,15,Accra,5.55,-0.22,2.66,2.66
2020-02-15,2020,2,15,Tema,5.62,-0.02,2.69,2.69
2020-03-15,2020,3,15,Accra,5.55,-0.22,175.56,1.76
2020-03-15,2020,3,15,Accra,5.55,-0.22,2.47,2.47
2020-04-15,2020,4,15,Accra,5.55,-0.22,181.82,1.82
2020-04-15,2020,4,15,Accra,5.55,-0.22,2.73,2.73
2020-04-15,2020,4,15,Tema,5.62,-0.02,2.54,2.54
2020-05-15,2020,5,15,Accra,5.55,-0.22,188.89,1.89
2020-05-15,2020,5,15,Accra,5.55,-0.22,2.97,2.97
2020-05-15,2020,5,15,Tema,5.62,-0.02,2.52,2.52
2020-06-15,2020,6,15,Accra,5.55,-0.22,190.0,1.9
2020-07-15,2020,7,15,Accra,5.55,-0.22,191.0,1.91
2020-07-15,2020,7,15,Accra,5.55,-0.22,2.53,2.53
2020-07-15,2020,7,15,Tema,5.62,-0.02,2.76,2.76
2020-08-15,2020,8,15,Accra,5.55,-0.22,185.9,1.86
2020-08-15,2020,8,15,Accra,5.55,-0.22,2.34,2.34
2020-08-15,2020,8,15,Tema,5.62,-0.02,2.79,2.79
2020-09-15,2020,9,15,Accra,5.55,-0.22,177.78,1.78
2020-09-15,2020,9,15,Accra,5.55,-0.22,2.24,2.24
2020-09-15,2020,9,15,Tema,5.62,-0.02,2.57,2.57
2020-10-15,2020,10,15,Accra,5.55,-0.22,188.89,1.89
2020-10-15,2020,10,15,Accra,5.55,-0.22,2.37,2.37
2020-10-15,2020,10,15,Tema,5.62,-0.02,2.61,2.61
2020-11-15,2020,11,15,Accra,5.55,-0.22,176.25,1.76
2020-11-15,2020,11,15,Accra,5.55,-0.22,2.34,2.34
2020-11-15,2020,11,15,Tema,5.62,-0.02,2.23,2.23
2020-12-15,2020,12,15,Accra,5.55,-0.22,186.67,1.87
2020-12-15,2020,12,15,Accra,5.55,-0.22,2.47,2.47
2020-12-15,2020,12,15,Tema,5.62,-0.02,2.61,2.61
2021-01-15,2021,1,15,Accra,5.55,-0.22,231.78,2.32
2021-01-15,2021,1,15,Accra,5.55,-0.22,2.92,2.92
2021-01-15,2021,1,15,Tema,5.62,-0.02,2.98,2.98
