date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,50.23
2006-02-15,2006,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,54.38
2006-03-15,2006,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,36.57
2006-04-15,2006,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,46.85
2006-05-15,2006,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,48.02
2006-06-15,2006,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,52.5
2006-07-15,2006,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,48.5
2006-08-15,2006,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,44.65
2006-09-15,2006,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,41.4
2006-10-15,2006,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,39.4
2006-11-15,2006,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,41.45
2006-12-15,2006,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,41.8
2007-01-15,2007,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,41.8
2007-02-15,2007,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,41.4
2007-03-15,2007,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,44.1
2007-04-15,2007,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,41.0
2007-05-15,2007,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,40.15
2007-06-15,2007,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,46.25
2007-07-15,2007,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,37.9
2007-08-15,2007,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,35.75
2007-09-15,2007,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,41.75
2007-10-15,2007,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,38.5
2007-11-15,2007,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,42.0
2007-12-15,2007,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,47.5
2008-01-15,2008,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,48.25
2008-02-15,2008,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,50.75
2008-03-15,2008,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,51.67
2008-04-15,2008,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,52.25
2008-05-15,2008,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,54.5
2008-06-15,2008,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,68.5
2008-07-15,2008,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,73.2
2008-08-15,2008,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,71.75
2008-09-15,2008,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,75.0
2008-10-15,2008,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,79.5
2008-11-15,2008,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,86.0
2008-12-15,2008,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,85.0
2009-01-15,2009,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,79.4
2009-02-15,2009,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,75.25
2009-03-15,2009,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,74.5
2009-04-15,2009,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,71.75
2009-05-15,2009,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,76.2
2009-06-15,2009,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,75.3
2009-07-15,2009,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,82.75
2009-08-15,2009,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,83.8
2009-09-15,2009,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,83.5
2009-10-15,2009,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,84.0
2009-11-15,2009,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,84.5
2009-12-15,2009,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,85.75
2010-01-15,2010,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,83.6
2010-02-15,2010,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,84.25
2010-03-15,2010,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,85.75
2010-04-15,2010,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,85.25
2010-05-15,2010,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,86.2
2010-06-15,2010,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,83.25
2010-07-15,2010,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,86.2
2010-08-15,2010,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,83.0
2010-09-15,2010,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,80.5
2010-10-15,2010,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,81.2
2010-11-15,2010,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,80.25
2010-12-15,2010,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,82.5
2011-01-15,2011,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,83.6
2011-02-15,2011,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,84.0
2011-03-15,2011,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,84.25
2011-04-15,2011,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,79.25
2011-05-15,2011,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,84.75
2011-06-15,2011,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,85.5
2011-07-15,2011,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,87.5
2011-08-15,2011,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,88.5
2011-09-15,2011,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,85.75
2011-10-15,2011,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,87.75
2011-11-15,2011,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,85.5
2011-12-15,2011,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,91.0
2012-01-15,2012,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,115.75
2012-02-15,2012,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,84.75
2012-03-15,2012,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,117.25
2012-04-15,2012,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,121.25
2012-05-15,2012,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,126.0
2012-06-15,2012,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,130.75
2012-07-15,2012,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,127.75
2012-08-15,2012,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,124.25
2012-09-15,2012,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,139.5
2012-10-15,2012,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,167.75
2012-11-15,2012,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,93 ,actual,Wholesale,157.5
