date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Accra,5.55,-0.22,13.03,0.18
2019-08-15,2019,8,15,Accra,5.55,-0.22,2.76,2.76
2019-08-15,2019,8,15,Tema,5.62,-0.02,10.37,10.37
2019-09-15,2019,9,15,Accra,5.55,-0.22,12.9,0.18
2019-09-15,2019,9,15,Accra,5.55,-0.22,2.16,2.16
2019-09-15,2019,9,15,Tema,5.62,-0.02,13.64,13.64
2019-10-15,2019,10,15,Accra,5.55,-0.22,12.88,0.18
2019-10-15,2019,10,15,Accra,5.55,-0.22,2.01,2.01
2019-10-15,2019,10,15,Tema,5.62,-0.02,14.11,14.11
2019-11-15,2019,11,15,Accra,5.55,-0.22,12.88,0.18
2019-11-15,2019,11,15,Accra,5.55,-0.22,2.01,2.01
2019-11-15,2019,11,15,Tema,5.62,-0.02,13.16,13.16
2019-12-15,2019,12,15,Accra,5.55,-0.22,12.88,0.18
2019-12-15,2019,12,15,Accra,5.55,-0.22,2.01,2.01
2019-12-15,2019,12,15,Tema,5.62,-0.02,5.75,5.75
2020-01-15,2020,1,15,Accra,5.55,-0.22,12.88,0.18
2020-01-15,2020,1,15,Accra,5.55,-0.22,2.01,2.01
2020-01-15,2020,1,15,Tema,5.62,-0.02,4.69,4.69
2020-02-15,2020,2,15,Accra,5.55,-0.22,547.75,7.5
2020-02-15,2020,2,15,Accra,5.55,-0.22,58.33,58.33
2020-02-15,2020,2,15,Tema,5.62,-0.02,229.35,3.14
2020-02-15,2020,2,15,Tema,5.62,-0.02,33.33,33.33
2020-03-15,2020,3,15,Accra,5.55,-0.22,12.66,0.17
2020-03-15,2020,3,15,Accra,5.55,-0.22,2.15,2.15
2020-03-15,2020,3,15,Tema,5.62,-0.02,6.71,6.71
2020-04-15,2020,4,15,Accra,5.55,-0.22,386.82,5.3
2020-04-15,2020,4,15,Accra,5.55,-0.22,5.68,5.68
2020-04-15,2020,4,15,Tema,5.62,-0.02,4.33,4.33
2020-05-15,2020,5,15,Accra,5.55,-0.22,519.35,7.11
2020-05-15,2020,5,15,Accra,5.55,-0.22,27.24,27.24
2020-05-15,2020,5,15,Tema,5.62,-0.02,192.35,2.63
2020-05-15,2020,5,15,Tema,5.62,-0.02,17.46,17.46
2020-06-15,2020,6,15,Accra,5.55,-0.22,470.88,6.45
2020-06-15,2020,6,15,Tema,5.62,-0.02,272.25,3.73
2020-07-15,2020,7,15,Accra,5.55,-0.22,547.75,7.5
2020-07-15,2020,7,15,Accra,5.55,-0.22,58.33,58.33
2020-07-15,2020,7,15,Tema,5.62,-0.02,229.35,3.14
2020-07-15,2020,7,15,Tema,5.62,-0.02,33.33,33.33
2020-08-15,2020,8,15,Accra,5.55,-0.22,547.75,7.5
2020-08-15,2020,8,15,Accra,5.55,-0.22,58.33,58.33
2020-08-15,2020,8,15,Tema,5.62,-0.02,211.62,2.9
2020-08-15,2020,8,15,Tema,5.62,-0.02,33.33,33.33
2020-09-15,2020,9,15,Accra,5.55,-0.22,553.52,7.58
2020-09-15,2020,9,15,Accra,5.55,-0.22,58.33,58.33
2020-09-15,2020,9,15,Tema,5.62,-0.02,214.42,2.94
2020-09-15,2020,9,15,Tema,5.62,-0.02,33.33,33.33
2020-10-15,2020,10,15,Accra,5.55,-0.22,14.4,0.2
2020-10-15,2020,10,15,Accra,5.55,-0.22,2.63,2.63
2020-10-15,2020,10,15,Tema,5.62,-0.02,12.57,12.57
2020-11-15,2020,11,15,Accra,5.55,-0.22,13.17,0.18
2020-11-15,2020,11,15,Accra,5.55,-0.22,2.34,2.34
2020-11-15,2020,11,15,Tema,5.62,-0.02,13.38,13.38
2020-12-15,2020,12,15,Accra,5.55,-0.22,14.57,0.2
2020-12-15,2020,12,15,Accra,5.55,-0.22,2.68,2.68
2020-12-15,2020,12,15,Tema,5.62,-0.02,13.49,13.49
2021-01-15,2021,1,15,Accra,5.55,-0.22,134.65,1.84
2021-01-15,2021,1,15,Accra,5.55,-0.22,2.53,2.53
2021-01-15,2021,1,15,Tema,5.62,-0.02,274.95,3.77
2021-01-15,2021,1,15,Tema,5.62,-0.02,13.49,13.49
