date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,152.78
2019-08-15,2019,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,3.21
2019-08-15,2019,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,308.33
2019-08-15,2019,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,4.11
2019-09-15,2019,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,152.78
2019-09-15,2019,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.6
2019-09-15,2019,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,291.2
2019-09-15,2019,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,4.11
2019-10-15,2019,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,152.78
2019-10-15,2019,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.5
2019-10-15,2019,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,288.75
2019-11-15,2019,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,161.11
2019-11-15,2019,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.5
2019-11-15,2019,11,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,288.75
2019-12-15,2019,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,166.88
2019-12-15,2019,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.5
2019-12-15,2019,12,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,298.87
2020-01-15,2020,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,167.71
2020-01-15,2020,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.5
2020-01-15,2020,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,296.76
2020-02-15,2020,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,380.0
2020-02-15,2020,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,7.21
2020-02-15,2020,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,616.94
2020-02-15,2020,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,9.17
2020-03-15,2020,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,158.68
2020-03-15,2020,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.5
2020-03-15,2020,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,375.63
2020-04-15,2020,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,203.42
2020-04-15,2020,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,10.37
2020-05-15,2020,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,348.84
2020-05-15,2020,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,12.0
2020-05-15,2020,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,720.17
2020-05-15,2020,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,9.17
2020-06-15,2020,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,291.71
2020-06-15,2020,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,582.54
2020-07-15,2020,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,380.0
2020-07-15,2020,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,7.21
2020-07-15,2020,7,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,616.94
2020-07-15,2020,7,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,9.17
2020-08-15,2020,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,380.0
2020-08-15,2020,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,7.31
2020-08-15,2020,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,667.57
2020-08-15,2020,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,16.94
2020-09-15,2020,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,380.0
2020-09-15,2020,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,7.31
2020-09-15,2020,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,654.26
2020-09-15,2020,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,16.94
2020-10-15,2020,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,20 ,aggregate,Wholesale,186.31
2020-10-15,2020,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,3.63
2020-10-15,2020,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,20 ,aggregate,Wholesale,271.65
2020-10-15,2020,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,5.22
