date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,26.0
2006-02-15,2006,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,28.0
2006-03-15,2006,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,27.7
2006-04-15,2006,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,27.05
2006-05-15,2006,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,27.17
2006-07-15,2006,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,27.52
2006-09-15,2006,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.2
2006-10-15,2006,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,27.13
2006-11-15,2006,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,27.54
2006-12-15,2006,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,27.65
2007-01-15,2007,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,28.1
2007-02-15,2007,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,28.6
2007-04-15,2007,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,55.95
2007-05-15,2007,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,35.51
2007-06-15,2007,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.0
2007-07-15,2007,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.33
2007-08-15,2007,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.0
2007-09-15,2007,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.0
2007-10-15,2007,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,28.5
2007-11-15,2007,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,28.33
2007-12-15,2007,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.0
2008-01-15,2008,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,28.75
2008-02-15,2008,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.5
2008-03-15,2008,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,30.67
2008-04-15,2008,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,31.9
2008-05-15,2008,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,39.5
2008-05-15,2008,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,39.38
2008-06-15,2008,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,43.62
2008-06-15,2008,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,50.0
2008-07-15,2008,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,43.9
2008-08-15,2008,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,44.88
2008-09-15,2008,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,50.0
2008-10-15,2008,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,50.0
2008-11-15,2008,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,50.0
2008-12-15,2008,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,54.4
2009-01-15,2009,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,53.8
2009-02-15,2009,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,52.25
2009-03-15,2009,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,61.5
2009-04-15,2009,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,51.38
2009-05-15,2009,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,55.1
2009-06-15,2009,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,55.4
2009-06-15,2009,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,53.0
2009-07-15,2009,7,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,55.13
2009-08-15,2009,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,55.0
2009-09-15,2009,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,53.0
2009-09-15,2009,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,74.0
2009-10-15,2009,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,51.25
2009-10-15,2009,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,77.0
2009-11-15,2009,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,51.5
2009-11-15,2009,11,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,76.62
2009-12-15,2009,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,51.5
2009-12-15,2009,12,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,76.62
2010-01-15,2010,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,52.8
2010-01-15,2010,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,78.0
2010-02-15,2010,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,57.75
2010-02-15,2010,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,78.0
2010-03-15,2010,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,57.5
2010-03-15,2010,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,78.5
2010-04-15,2010,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,62.0
2010-04-15,2010,4,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,79.5
2010-05-15,2010,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,72.7
2010-05-15,2010,5,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,78.2
2010-06-15,2010,6,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,50 ,actual,Wholesale,71.75
2010-06-15,2010,6,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,50 ,actual,Wholesale,78.5
