date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Accra,5.55,-0.22,47.95,0.44
2006-02-15,2006,2,15,Accra,5.55,-0.22,50.0,0.46
2006-03-15,2006,3,15,Accra,5.55,-0.22,48.4,0.44
2006-04-15,2006,4,15,Accra,5.55,-0.22,44.5,0.41
2006-05-15,2006,5,15,Accra,5.55,-0.22,44.75,0.41
2006-06-15,2006,6,15,Accra,5.55,-0.22,50.0,0.46
2006-07-15,2006,7,15,Accra,5.55,-0.22,47.0,0.43
2006-08-15,2006,8,15,Accra,5.55,-0.22,38.15,0.35
2006-09-15,2006,9,15,Accra,5.55,-0.22,36.3,0.33
2006-10-15,2006,10,15,Accra,5.55,-0.22,37.68,0.35
2006-11-15,2006,11,15,Accra,5.55,-0.22,39.37,0.36
2006-12-15,2006,12,15,Accra,5.55,-0.22,39.8,0.37
2007-01-15,2007,1,15,Accra,5.55,-0.22,39.13,0.36
2007-02-15,2007,2,15,Accra,5.55,-0.22,37.88,0.35
2007-03-15,2007,3,15,Accra,5.55,-0.22,39.5,0.36
2007-04-15,2007,4,15,Accra,5.55,-0.22,38.15,0.35
2007-05-15,2007,5,15,Accra,5.55,-0.22,38.3,0.35
2007-06-15,2007,6,15,Accra,5.55,-0.22,42.5,0.39
2007-07-15,2007,7,15,Accra,5.55,-0.22,37.0,0.34
2007-08-15,2007,8,15,Accra,5.55,-0.22,36.0,0.33
2007-09-15,2007,9,15,Accra,5.55,-0.22,34.0,0.31
2007-10-15,2007,10,15,Accra,5.55,-0.22,35.5,0.33
2007-11-15,2007,11,15,Accra,5.55,-0.22,38.67,0.35
2007-12-15,2007,12,15,Accra,5.55,-0.22,40.67,0.37
2008-01-15,2008,1,15,Accra,5.55,-0.22,43.75,0.4
2008-02-15,2008,2,15,Accra,5.55,-0.22,46.5,0.43
2008-03-15,2008,3,15,Accra,5.55,-0.22,50.33,0.46
2008-04-15,2008,4,15,Accra,5.55,-0.22,49.25,0.45
2008-05-15,2008,5,15,Accra,5.55,-0.22,51.75,0.47
2008-06-15,2008,6,15,Accra,5.55,-0.22,69.25,0.64
2008-07-15,2008,7,15,Accra,5.55,-0.22,73.33,0.67
2008-08-15,2008,8,15,Accra,5.55,-0.22,72.5,0.67
2008-09-15,2008,9,15,Accra,5.55,-0.22,77.25,0.71
2008-10-15,2008,10,15,Accra,5.55,-0.22,81.75,0.75
2008-11-15,2008,11,15,Accra,5.55,-0.22,85.0,0.78
2008-12-15,2008,12,15,Accra,5.55,-0.22,82.0,0.75
2009-01-15,2009,1,15,Accra,5.55,-0.22,77.0,0.71
2009-02-15,2009,2,15,Accra,5.55,-0.22,73.25,0.67
2009-03-15,2009,3,15,Accra,5.55,-0.22,71.5,0.66
2009-04-15,2009,4,15,Accra,5.55,-0.22,70.5,0.65
2009-05-15,2009,5,15,Accra,5.55,-0.22,78.4,0.72
2009-06-15,2009,6,15,Accra,5.55,-0.22,80.8,0.74
2009-07-15,2009,7,15,Accra,5.55,-0.22,83.5,0.77
2009-08-15,2009,8,15,Accra,5.55,-0.22,83.0,0.76
2009-09-15,2009,9,15,Accra,5.55,-0.22,84.75,0.78
2009-10-15,2009,10,15,Accra,5.55,-0.22,85.0,0.78
2009-11-15,2009,11,15,Accra,5.55,-0.22,85.0,0.78
2009-12-15,2009,12,15,Accra,5.55,-0.22,89.5,0.82
2010-01-15,2010,1,15,Accra,5.55,-0.22,89.4,0.82
2010-02-15,2010,2,15,Accra,5.55,-0.22,86.5,0.79
2010-03-15,2010,3,15,Accra,5.55,-0.22,88.0,0.81
2010-04-15,2010,4,15,Accra,5.55,-0.22,87.5,0.8
2010-05-15,2010,5,15,Accra,5.55,-0.22,88.8,0.81
2010-06-15,2010,6,15,Accra,5.55,-0.22,85.5,0.78
2010-07-15,2010,7,15,Accra,5.55,-0.22,87.6,0.8
2010-08-15,2010,8,15,Accra,5.55,-0.22,83.25,0.76
2010-09-15,2010,9,15,Accra,5.55,-0.22,82.0,0.75
2010-10-15,2010,10,15,Accra,5.55,-0.22,82.4,0.76
2010-11-15,2010,11,15,Accra,5.55,-0.22,81.25,0.75
2010-12-15,2010,12,15,Accra,5.55,-0.22,82.0,0.75
2011-01-15,2011,1,15,Accra,5.55,-0.22,82.0,0.75
2011-02-15,2011,2,15,Accra,5.55,-0.22,81.0,0.74
2011-03-15,2011,3,15,Accra,5.55,-0.22,84.0,0.77
2011-04-15,2011,4,15,Accra,5.55,-0.22,78.5,0.72
2011-05-15,2011,5,15,Accra,5.55,-0.22,82.0,0.75
2011-06-15,2011,6,15,Accra,5.55,-0.22,83.75,0.77
2011-07-15,2011,7,15,Accra,5.55,-0.22,85.5,0.78
2011-08-15,2011,8,15,Accra,5.55,-0.22,87.25,0.8
2011-09-15,2011,9,15,Accra,5.55,-0.22,88.5,0.81
2011-10-15,2011,10,15,Accra,5.55,-0.22,86.0,0.79
