date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,1.05
2019-08-15,2019,8,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,2.19
2019-09-15,2019,9,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,1.05
2019-09-15,2019,9,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,2.41
2019-10-15,2019,10,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,1.05
2019-10-15,2019,10,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,2.44
2019-11-15,2019,11,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.46
2019-11-15,2019,11,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,2.44
2019-12-15,2019,12,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.46
2019-12-15,2019,12,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,2.44
2020-01-15,2020,1,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.16
2020-01-15,2020,1,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,2.44
2020-02-15,2020,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,16.0
2020-02-15,2020,2,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,11.67
2020-02-15,2020,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,109 ,aggregate,Wholesale,20.0
2020-02-15,2020,2,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,12.0
2020-03-15,2020,3,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,2.75
2020-03-15,2020,3,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,2.48
2020-04-15,2020,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,280.0
2020-04-15,2020,4,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,,aggregate,Retail,4.15
2020-04-15,2020,4,15,Tema,TEMA METROPOLIS,210,5.62,-0.02,,aggregate,Retail,5.78
2020-05-15,2020,5,15,Accra,ACCRA METROPOLIS,209,5.55,-0.22,109 ,aggregate,Wholesale,62.59
