date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Accra,5.55,-0.22,25.11,0.48
2019-08-15,2019,8,15,Tema,5.62,-0.02,56.47,1.09
2019-09-15,2019,9,15,Accra,5.55,-0.22,20.03,0.39
2019-09-15,2019,9,15,Tema,5.62,-0.02,38.88,0.75
2019-10-15,2019,10,15,Accra,5.55,-0.22,19.3,0.37
2019-10-15,2019,10,15,Tema,5.62,-0.02,36.37,0.7
2019-11-15,2019,11,15,Accra,5.55,-0.22,19.97,0.38
2019-11-15,2019,11,15,Tema,5.62,-0.02,17.66,0.34
2019-12-15,2019,12,15,Accra,5.55,-0.22,19.97,0.38
2019-12-15,2019,12,15,Tema,5.62,-0.02,9.19,0.18
2020-01-15,2020,1,15,Accra,5.55,-0.22,19.97,0.38
2020-01-15,2020,1,15,Tema,5.62,-0.02,7.69,0.15
2020-02-15,2020,2,15,Accra,5.55,-0.22,85.62,1.65
2020-02-15,2020,2,15,Accra,5.55,-0.22,3.73,3.73
2020-02-15,2020,2,15,Tema,5.62,-0.02,86.2,1.66
2020-02-15,2020,2,15,Tema,5.62,-0.02,8.89,8.89
2020-03-15,2020,3,15,Accra,5.55,-0.22,14.51,0.28
2020-03-15,2020,3,15,Tema,5.62,-0.02,60.54,1.16
2020-04-15,2020,4,15,Accra,5.55,-0.22,389.38,7.49
2020-04-15,2020,4,15,Accra,5.55,-0.22,10.69,10.69
2020-04-15,2020,4,15,Tema,5.62,-0.02,15.28,15.28
2020-05-15,2020,5,15,Accra,5.55,-0.22,222.18,4.27
2020-05-15,2020,5,15,Accra,5.55,-0.22,10.36,10.36
2020-05-15,2020,5,15,Tema,5.62,-0.02,177.5,3.41
2020-05-15,2020,5,15,Tema,5.62,-0.02,14.37,14.37
2020-06-15,2020,6,15,Accra,5.55,-0.22,264.19,5.08
2020-06-15,2020,6,15,Tema,5.62,-0.02,286.96,5.52
2020-07-15,2020,7,15,Accra,5.55,-0.22,85.62,1.65
2020-07-15,2020,7,15,Accra,5.55,-0.22,3.24,3.24
2020-07-15,2020,7,15,Tema,5.62,-0.02,86.2,1.66
2020-07-15,2020,7,15,Tema,5.62,-0.02,8.89,8.89
2020-08-15,2020,8,15,Accra,5.55,-0.22,73.87,1.42
2020-08-15,2020,8,15,Accra,5.55,-0.22,3.42,3.42
2020-08-15,2020,8,15,Tema,5.62,-0.02,69.17,1.33
2020-08-15,2020,8,15,Tema,5.62,-0.02,2.38,2.38
2020-09-15,2020,9,15,Accra,5.55,-0.22,95.73,1.84
2020-09-15,2020,9,15,Accra,5.55,-0.22,3.66,3.66
2020-09-15,2020,9,15,Tema,5.62,-0.02,89.41,1.72
2020-09-15,2020,9,15,Tema,5.62,-0.02,5.56,5.56
2020-10-15,2020,10,15,Accra,5.55,-0.22,19.08,0.37
2020-10-15,2020,10,15,Accra,5.55,-0.22,3.43,3.43
2020-10-15,2020,10,15,Tema,5.62,-0.02,64.87,1.25
2020-10-15,2020,10,15,Tema,5.62,-0.02,4.19,4.19
2020-11-15,2020,11,15,Accra,5.55,-0.22,16.14,0.31
2020-11-15,2020,11,15,Accra,5.55,-0.22,2.9,2.9
2020-11-15,2020,11,15,Tema,5.62,-0.02,48.66,0.94
2020-11-15,2020,11,15,Tema,5.62,-0.02,3.12,3.12
2020-12-15,2020,12,15,Accra,5.55,-0.22,15.52,0.3
2020-12-15,2020,12,15,Accra,5.55,-0.22,2.22,2.22
2020-12-15,2020,12,15,Tema,5.62,-0.02,69.77,1.34
2020-12-15,2020,12,15,Tema,5.62,-0.02,6.61,6.61
2021-01-15,2021,1,15,Accra,5.55,-0.22,14.85,0.29
2021-01-15,2021,1,15,Accra,5.55,-0.22,3.31,3.31
2021-01-15,2021,1,15,Tema,5.62,-0.02,69.77,1.34
2021-01-15,2021,1,15,Tema,5.62,-0.02,6.9,6.9
2021-02-15,2021,2,15,Accra,5.55,-0.22,224.64,4.32
2021-02-15,2021,2,15,Accra,5.55,-0.22,4.02,4.02
