date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Accra,5.55,-0.22,0.96
2019-08-15,2019,8,15,Accra,5.55,-0.22,4.93
2019-08-15,2019,8,15,Tema,5.62,-0.02,0.96
2019-08-15,2019,8,15,Tema,5.62,-0.02,7.58
2019-09-15,2019,9,15,Accra,5.55,-0.22,0.96
2019-09-15,2019,9,15,Accra,5.55,-0.22,4.93
2019-09-15,2019,9,15,Tema,5.62,-0.02,0.96
2019-09-15,2019,9,15,Tema,5.62,-0.02,7.58
2019-10-15,2019,10,15,Accra,5.55,-0.22,0.77
2019-10-15,2019,10,15,Accra,5.55,-0.22,4.93
2019-11-15,2019,11,15,Accra,5.55,-0.22,0.77
2019-11-15,2019,11,15,Accra,5.55,-0.22,5.07
2019-12-15,2019,12,15,Accra,5.55,-0.22,0.77
2019-12-15,2019,12,15,Accra,5.55,-0.22,5.07
2020-01-15,2020,1,15,Accra,5.55,-0.22,0.77
2020-01-15,2020,1,15,Accra,5.55,-0.22,5.07
2020-02-15,2020,2,15,Accra,5.55,-0.22,1.77
2020-02-15,2020,2,15,Accra,5.55,-0.22,3.78
2020-02-15,2020,2,15,Tema,5.62,-0.02,3.55
2020-02-15,2020,2,15,Tema,5.62,-0.02,3.81
2020-03-15,2020,3,15,Accra,5.55,-0.22,0.76
2020-03-15,2020,3,15,Accra,5.55,-0.22,5.07
2020-04-15,2020,4,15,Accra,5.55,-0.22,2.32
2020-04-15,2020,4,15,Accra,5.55,-0.22,2.07
2020-04-15,2020,4,15,Tema,5.62,-0.02,4.31
2020-05-15,2020,5,15,Accra,5.55,-0.22,2.05
2020-05-15,2020,5,15,Accra,5.55,-0.22,3.52
2020-05-15,2020,5,15,Tema,5.62,-0.02,3.17
2020-05-15,2020,5,15,Tema,5.62,-0.02,3.81
2020-06-15,2020,6,15,Accra,5.55,-0.22,1.84
2020-06-15,2020,6,15,Tema,5.62,-0.02,3.52
2020-07-15,2020,7,15,Accra,5.55,-0.22,1.77
2020-07-15,2020,7,15,Accra,5.55,-0.22,3.78
2020-07-15,2020,7,15,Tema,5.62,-0.02,3.55
2020-07-15,2020,7,15,Tema,5.62,-0.02,4.51
2020-08-15,2020,8,15,Accra,5.55,-0.22,2.09
2020-08-15,2020,8,15,Accra,5.55,-0.22,3.52
2020-08-15,2020,8,15,Tema,5.62,-0.02,3.72
2020-08-15,2020,8,15,Tema,5.62,-0.02,4.89
2020-09-15,2020,9,15,Accra,5.55,-0.22,1.99
2020-09-15,2020,9,15,Accra,5.55,-0.22,3.06
2020-09-15,2020,9,15,Tema,5.62,-0.02,3.87
2020-09-15,2020,9,15,Tema,5.62,-0.02,4.06
2020-10-15,2020,10,15,Accra,5.55,-0.22,0.84
2020-10-15,2020,10,15,Accra,5.55,-0.22,5.07
2020-11-15,2020,11,15,Accra,5.55,-0.22,0.76
2020-11-15,2020,11,15,Accra,5.55,-0.22,5.07
2020-12-15,2020,12,15,Accra,5.55,-0.22,0.69
2020-12-15,2020,12,15,Accra,5.55,-0.22,5.07
2021-01-15,2021,1,15,Accra,5.55,-0.22,1.44
2021-01-15,2021,1,15,Accra,5.55,-0.22,4.15
2021-01-15,2021,1,15,Tema,5.62,-0.02,2.22
2021-01-15,2021,1,15,Tema,5.62,-0.02,4.32
2021-02-15,2021,2,15,Accra,5.55,-0.22,1.76
2021-02-15,2021,2,15,Accra,5.55,-0.22,3.51
2021-02-15,2021,2,15,Tema,5.62,-0.02,2.15
2021-02-15,2021,2,15,Tema,5.62,-0.02,4.32
2021-03-15,2021,3,15,Accra,5.55,-0.22,1.81
2021-03-15,2021,3,15,Accra,5.55,-0.22,3.6
2021-03-15,2021,3,15,Tema,5.62,-0.02,2.17
2021-03-15,2021,3,15,Tema,5.62,-0.02,4.06
2021-04-15,2021,4,15,Accra,5.55,-0.22,1.62
2021-04-15,2021,4,15,Accra,5.55,-0.22,3.51
2021-04-15,2021,4,15,Tema,5.62,-0.02,3.9
2021-04-15,2021,4,15,Tema,5.62,-0.02,6.22
2021-05-15,2021,5,15,Accra,5.55,-0.22,2.07
2021-05-15,2021,5,15,Accra,5.55,-0.22,4.43
2021-05-15,2021,5,15,Tema,5.62,-0.02,6.58
2021-06-15,2021,6,15,Accra,5.55,-0.22,2.36
2021-06-15,2021,6,15,Accra,5.55,-0.22,5.07
2021-06-15,2021,6,15,Tema,5.62,-0.02,7.51
2021-07-15,2021,7,15,Accra,5.55,-0.22,2.36
2021-07-15,2021,7,15,Accra,5.55,-0.22,6.48
2021-07-15,2021,7,15,Tema,5.62,-0.02,11.84
2021-07-15,2021,7,15,Tema,5.62,-0.02,11.95
2021-08-15,2021,8,15,Accra,5.55,-0.22,2.44
2021-08-15,2021,8,15,Accra,5.55,-0.22,7.42
2021-08-15,2021,8,15,Tema,5.62,-0.02,17.89
2021-09-15,2021,9,15,Accra,5.55,-0.22,2.42
2021-09-15,2021,9,15,Accra,5.55,-0.22,6.1
2021-09-15,2021,9,15,Tema,5.62,-0.02,9.87
2021-09-15,2021,9,15,Tema,5.62,-0.02,13.21
2021-10-15,2021,10,15,Accra,5.55,-0.22,2.41
2021-10-15,2021,10,15,Accra,5.55,-0.22,5.08
