date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Accra,5.55,-0.22,57.75,0.23
2006-02-15,2006,2,15,Accra,5.55,-0.22,58.5,0.23
2006-03-15,2006,3,15,Accra,5.55,-0.22,47.1,0.19
2006-04-15,2006,4,15,Accra,5.55,-0.22,61.55,0.25
2006-05-15,2006,5,15,Accra,5.55,-0.22,71.43,0.29
2006-06-15,2006,6,15,Accra,5.55,-0.22,78.0,0.31
2006-07-15,2006,7,15,Accra,5.55,-0.22,75.93,0.3
2006-08-15,2006,8,15,Accra,5.55,-0.22,67.5,0.27
2006-09-15,2006,9,15,Accra,5.55,-0.22,51.23,0.2
2006-10-15,2006,10,15,Accra,5.55,-0.22,61.65,0.25
2006-11-15,2006,11,15,Accra,5.55,-0.22,59.2,0.24
2006-12-15,2006,12,15,Accra,5.55,-0.22,57.5,0.23
2007-01-15,2007,1,15,Accra,5.55,-0.22,66.57,0.27
2007-02-15,2007,2,15,Accra,5.55,-0.22,76.18,0.3
2007-03-15,2007,3,15,Accra,5.55,-0.22,88.35,0.35
2007-04-15,2007,4,15,Accra,5.55,-0.22,92.1,0.37
2007-05-15,2007,5,15,Accra,5.55,-0.22,96.25,0.38
2007-06-15,2007,6,15,Accra,5.55,-0.22,110.0,0.44
2007-07-15,2007,7,15,Accra,5.55,-0.22,145.65,0.58
2007-08-15,2007,8,15,Accra,5.55,-0.22,101.0,0.4
2007-09-15,2007,9,15,Accra,5.55,-0.22,62.0,0.25
2007-10-15,2007,10,15,Accra,5.55,-0.22,51.5,0.21
2007-11-15,2007,11,15,Accra,5.55,-0.22,62.67,0.25
2007-12-15,2007,12,15,Accra,5.55,-0.22,70.75,0.28
2008-01-15,2008,1,15,Accra,5.55,-0.22,70.0,0.7
2008-01-15,2008,1,15,Tema,5.62,-0.02,69.0,0.69
2008-02-15,2008,2,15,Accra,5.55,-0.22,80.41,0.8
2008-02-15,2008,2,15,Tema,5.62,-0.02,130.0,1.3
2008-03-15,2008,3,15,Accra,5.55,-0.22,95.0,0.95
2008-04-15,2008,4,15,Accra,5.55,-0.22,108.25,1.08
2008-05-15,2008,5,15,Accra,5.55,-0.22,125.25,1.25
2008-05-15,2008,5,15,Tema,5.62,-0.02,135.0,1.35
2008-06-15,2008,6,15,Accra,5.55,-0.22,163.25,1.63
2008-06-15,2008,6,15,Tema,5.62,-0.02,135.0,1.35
2008-07-15,2008,7,15,Accra,5.55,-0.22,172.67,1.73
2008-07-15,2008,7,15,Tema,5.62,-0.02,125.0,1.25
2008-08-15,2008,8,15,Accra,5.55,-0.22,111.5,1.12
2008-08-15,2008,8,15,Tema,5.62,-0.02,120.0,1.2
2008-09-15,2008,9,15,Accra,5.55,-0.22,83.75,0.84
2008-09-15,2008,9,15,Tema,5.62,-0.02,120.0,1.2
2008-10-15,2008,10,15,Accra,5.55,-0.22,64.75,0.65
2008-11-15,2008,11,15,Accra,5.55,-0.22,85.0,0.85
2008-11-15,2008,11,15,Tema,5.62,-0.02,113.0,1.13
2008-12-15,2008,12,15,Accra,5.55,-0.22,93.75,0.94
2008-12-15,2008,12,15,Tema,5.62,-0.02,170.0,1.7
2009-01-15,2009,1,15,Accra,5.55,-0.22,102.6,1.03
2009-01-15,2009,1,15,Tema,5.62,-0.02,218.0,2.18
2009-02-15,2009,2,15,Accra,5.55,-0.22,110.0,1.1
