date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Tamale,9.4,-0.83,1.9,1.9
2019-09-15,2019,9,15,Tamale,9.4,-0.83,1.9,1.9
2019-10-15,2019,10,15,Tamale,9.4,-0.83,1.9,1.9
2019-11-15,2019,11,15,Tamale,9.4,-0.83,1.9,1.9
2019-12-15,2019,12,15,Tamale,9.4,-0.83,1.9,1.9
2020-01-15,2020,1,15,Tamale,9.4,-0.83,1.9,1.9
2020-02-15,2020,2,15,Tamale,9.4,-0.83,2.14,2.14
2020-02-15,2020,2,15,Yendi,9.45,-0.01,1.88,1.88
2020-03-15,2020,3,15,Tamale,9.4,-0.83,1.9,1.9
2020-04-15,2020,4,15,Tamale,9.4,-0.83,5.16,5.16
2020-04-15,2020,4,15,Yendi,9.45,-0.01,3.02,3.02
2020-05-15,2020,5,15,Tamale,9.4,-0.83,3.91,3.91
2020-05-15,2020,5,15,Yendi,9.45,-0.01,2.4,2.4
2020-07-15,2020,7,15,Tamale,9.4,-0.83,2.14,2.14
2020-07-15,2020,7,15,Yendi,9.45,-0.01,1.87,1.87
2020-08-15,2020,8,15,Tamale,9.4,-0.83,2.66,2.66
2020-08-15,2020,8,15,Yendi,9.45,-0.01,1.88,1.88
2020-09-15,2020,9,15,Tamale,9.4,-0.83,2.66,2.66
2020-09-15,2020,9,15,Yendi,9.45,-0.01,2.27,2.27
2020-10-15,2020,10,15,Tamale,9.4,-0.83,2.81,2.81
2020-11-15,2020,11,15,Tamale,9.4,-0.83,2.81,2.81
2020-12-15,2020,12,15,Tamale,9.4,-0.83,2.81,2.81
2021-01-15,2021,1,15,Tamale,9.4,-0.83,4.53,4.53
2021-02-15,2021,2,15,Tamale,9.4,-0.83,2.53,2.53
2021-03-15,2021,3,15,Tamale,9.4,-0.83,2.53,2.53
2021-04-15,2021,4,15,Tamale,9.4,-0.83,2.53,2.53
2021-05-15,2021,5,15,Tamale,9.4,-0.83,2.53,2.53
2021-06-15,2021,6,15,Tamale,9.4,-0.83,3.17,3.17
2021-07-15,2021,7,15,Tamale,9.4,-0.83,7.23,7.23
2021-08-15,2021,8,15,Tamale,9.4,-0.83,6.51,6.51
2021-09-15,2021,9,15,Tamale,9.4,-0.83,3.62,3.62
2021-09-15,2021,9,15,Yendi,9.45,-0.01,3.28,3.28
2021-10-15,2021,10,15,Tamale,9.4,-0.83,2.89,2.89
2021-10-15,2021,10,15,Yendi,9.45,-0.01,3.5,3.5
2021-11-15,2021,11,15,Tamale,9.4,-0.83,3.62,3.62
2021-11-15,2021,11,15,Yendi,9.45,-0.01,3.5,3.5
2021-12-15,2021,12,15,Tamale,9.4,-0.83,3.62,3.62
2022-01-15,2022,1,15,Tamale,9.4,-0.83,4.21,4.21
2022-02-15,2022,2,15,Tamale,9.4,-0.83,2.14,2.14
2022-03-15,2022,3,15,Tamale,9.4,-0.83,2.89,2.89
2022-04-15,2022,4,15,Tamale,9.4,-0.83,2.89,2.89
2022-05-15,2022,5,15,Tamale,9.4,-0.83,7.23,7.23
2022-06-15,2022,6,15,Tamale,9.4,-0.83,4.33,4.33
2022-07-15,2022,7,15,Tamale,9.4,-0.83,3.62,3.62
2022-08-15,2022,8,15,Tamale,9.4,-0.83,3.62,3.62
2022-08-15,2022,8,15,Yendi,9.45,-0.01,3.41,3.41
2022-09-15,2022,9,15,Yendi,9.45,-0.01,3.18,3.18
2022-10-15,2022,10,15,Tamale,9.4,-0.83,5.08,5.08
2022-11-15,2022,11,15,Tamale,9.4,-0.83,10.0,10.0
2022-11-15,2022,11,15,Yendi,9.45,-0.01,8.19,8.19
2023-01-15,2023,1,15,Tamale,9.4,-0.83,12.62,12.62
2023-02-15,2023,2,15,Tamale,9.4,-0.83,12.62,12.62
2023-03-15,2023,3,15,Tamale,9.4,-0.83,12.62,12.62
2023-04-15,2023,4,15,Tamale,9.4,-0.83,17.54,17.54
