date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Tamale,9.4,-0.83,30.0,0.32
2006-02-15,2006,2,15,Tamale,9.4,-0.83,29.0,0.31
2006-03-15,2006,3,15,Tamale,9.4,-0.83,28.67,0.31
2006-04-15,2006,4,15,Tamale,9.4,-0.83,32.25,0.35
2006-05-15,2006,5,15,Tamale,9.4,-0.83,32.25,0.35
2006-06-15,2006,6,15,Tamale,9.4,-0.83,30.67,0.33
2006-07-15,2006,7,15,Tamale,9.4,-0.83,28.5,0.31
2006-08-15,2006,8,15,Tamale,9.4,-0.83,25.0,0.27
2006-09-15,2006,9,15,Tamale,9.4,-0.83,26.0,0.28
2006-10-15,2006,10,15,Tamale,9.4,-0.83,31.5,0.34
2006-11-15,2006,11,15,Tamale,9.4,-0.83,35.5,0.38
2006-12-15,2006,12,15,Tamale,9.4,-0.83,21.0,0.23
2007-01-15,2007,1,15,Tamale,9.4,-0.83,23.0,0.25
2007-02-15,2007,2,15,Tamale,9.4,-0.83,22.75,0.24
2007-03-15,2007,3,15,Tamale,9.4,-0.83,22.0,0.24
2007-04-15,2007,4,15,Tamale,9.4,-0.83,21.5,0.23
2007-05-15,2007,5,15,Tamale,9.4,-0.83,21.0,0.23
2007-06-15,2007,6,15,Tamale,9.4,-0.83,22.0,0.24
2007-07-15,2007,7,15,Tamale,9.4,-0.83,23.0,0.25
2007-08-15,2007,8,15,Tamale,9.4,-0.83,26.0,0.28
2007-09-15,2007,9,15,Tamale,9.4,-0.83,27.0,0.29
2007-10-15,2007,10,15,Tamale,9.4,-0.83,27.0,0.29
2007-11-15,2007,11,15,Tamale,9.4,-0.83,42.5,0.46
2007-12-15,2007,12,15,Tamale,9.4,-0.83,45.5,0.49
2008-01-15,2008,1,15,Tamale,9.4,-0.83,40.0,0.43
2008-02-15,2008,2,15,Tamale,9.4,-0.83,40.5,0.44
2008-03-15,2008,3,15,Tamale,9.4,-0.83,42.0,0.45
2008-04-15,2008,4,15,Tamale,9.4,-0.83,47.0,0.51
2008-05-15,2008,5,15,Tamale,9.4,-0.83,50.5,0.54
2008-06-15,2008,6,15,Tamale,9.4,-0.83,58.5,0.63
2008-07-15,2008,7,15,Tamale,9.4,-0.83,59.6,0.64
2008-08-15,2008,8,15,Tamale,9.4,-0.83,63.5,0.68
2008-09-15,2008,9,15,Tamale,9.4,-0.83,66.0,0.71
2008-10-15,2008,10,15,Tamale,9.4,-0.83,64.0,0.69
2008-11-15,2008,11,15,Tamale,9.4,-0.83,67.2,0.72
2008-12-15,2008,12,15,Tamale,9.4,-0.83,61.0,0.66
2009-01-15,2009,1,15,Tamale,9.4,-0.83,51.6,0.55
2009-02-15,2009,2,15,Tamale,9.4,-0.83,56.0,0.6
2009-03-15,2009,3,15,Tamale,9.4,-0.83,60.0,0.65
2009-04-15,2009,4,15,Tamale,9.4,-0.83,60.0,0.65
2009-05-15,2009,5,15,Tamale,9.4,-0.83,64.0,0.69
2009-06-15,2009,6,15,Tamale,9.4,-0.83,71.5,0.77
2009-07-15,2009,7,15,Tamale,9.4,-0.83,80.0,0.86
2009-08-15,2009,8,15,Tamale,9.4,-0.83,76.0,0.82
2009-09-15,2009,9,15,Tamale,9.4,-0.83,80.0,0.86
2009-10-15,2009,10,15,Tamale,9.4,-0.83,99.0,1.06
2009-11-15,2009,11,15,Tamale,9.4,-0.83,75.0,0.81
2009-12-15,2009,12,15,Tamale,9.4,-0.83,72.0,0.77
2010-01-15,2010,1,15,Tamale,9.4,-0.83,59.2,0.64
2010-02-15,2010,2,15,Tamale,9.4,-0.83,58.0,0.62
2010-03-15,2010,3,15,Tamale,9.4,-0.83,58.0,0.62
2010-04-15,2010,4,15,Tamale,9.4,-0.83,59.0,0.63
2010-05-15,2010,5,15,Tamale,9.4,-0.83,57.6,0.62
2010-06-15,2010,6,15,Tamale,9.4,-0.83,61.0,0.66
2010-07-15,2010,7,15,Tamale,9.4,-0.83,65.0,0.7
2010-08-15,2010,8,15,Tamale,9.4,-0.83,79.5,0.85
2010-09-15,2010,9,15,Tamale,9.4,-0.83,66.0,0.71
2010-10-15,2010,10,15,Tamale,9.4,-0.83,61.0,0.66
2010-11-15,2010,11,15,Tamale,9.4,-0.83,60.0,0.65
2010-12-15,2010,12,15,Tamale,9.4,-0.83,60.0,0.65
2011-01-15,2011,1,15,Tamale,9.4,-0.83,60.0,0.65
2011-02-15,2011,2,15,Tamale,9.4,-0.83,60.0,0.65
2011-03-15,2011,3,15,Tamale,9.4,-0.83,60.0,0.65
2011-04-15,2011,4,15,Tamale,9.4,-0.83,58.5,0.63
2011-05-15,2011,5,15,Tamale,9.4,-0.83,64.5,0.69
2011-06-15,2011,6,15,Tamale,9.4,-0.83,71.5,0.77
2011-07-15,2011,7,15,Tamale,9.4,-0.83,76.75,0.83
2011-08-15,2011,8,15,Tamale,9.4,-0.83,76.25,0.82
2011-09-15,2011,9,15,Tamale,9.4,-0.83,72.0,0.77
2011-10-15,2011,10,15,Tamale,9.4,-0.83,74.0,0.8
2011-11-15,2011,11,15,Tamale,9.4,-0.83,78.0,0.84
2011-12-15,2011,12,15,Tamale,9.4,-0.83,86.0,0.92
2012-01-15,2012,1,15,Tamale,9.4,-0.83,89.0,0.96
2012-02-15,2012,2,15,Tamale,9.4,-0.83,82.0,0.88
2012-03-15,2012,3,15,Tamale,9.4,-0.83,80.0,0.86
2012-04-15,2012,4,15,Tamale,9.4,-0.83,80.0,0.86
2012-05-15,2012,5,15,Tamale,9.4,-0.83,91.0,0.98
2012-06-15,2012,6,15,Tamale,9.4,-0.83,92.0,0.99
2012-07-15,2012,7,15,Tamale,9.4,-0.83,102.0,1.1
2012-08-15,2012,8,15,Tamale,9.4,-0.83,112.0,1.2
2012-09-15,2012,9,15,Tamale,9.4,-0.83,135.0,1.45
2012-10-15,2012,10,15,Tamale,9.4,-0.83,170.0,1.83
2012-11-15,2012,11,15,Tamale,9.4,-0.83,170.0,1.83
2012-12-15,2012,12,15,Tamale,9.4,-0.83,180.0,1.94
2013-01-15,2013,1,15,Tamale,9.4,-0.83,118.0,1.27
2013-02-15,2013,2,15,Tamale,9.4,-0.83,113.5,1.22
2013-03-15,2013,3,15,Tamale,9.4,-0.83,113.0,1.22
2013-04-15,2013,4,15,Tamale,9.4,-0.83,100.0,1.08
2013-05-15,2013,5,15,Tamale,9.4,-0.83,100.0,1.08
2013-06-15,2013,6,15,Tamale,9.4,-0.83,115.0,1.24
2013-07-15,2013,7,15,Tamale,9.4,-0.83,125.75,1.35
2013-08-15,2013,8,15,Tamale,9.4,-0.83,128.0,1.38
2013-09-15,2013,9,15,Tamale,9.4,-0.83,130.0,1.4
2013-10-15,2013,10,15,Tamale,9.4,-0.83,115.0,1.24
2013-11-15,2013,11,15,Tamale,9.4,-0.83,115.0,1.24
2013-12-15,2013,12,15,Tamale,9.4,-0.83,125.0,1.34
2014-01-15,2014,1,15,Tamale,9.4,-0.83,110.0,1.18
2014-02-15,2014,2,15,Tamale,9.4,-0.83,100.0,1.08
2014-03-15,2014,3,15,Tamale,9.4,-0.83,100.0,1.08
2014-05-15,2014,5,15,Tamale,9.4,-0.83,100.0,1.08
2014-06-15,2014,6,15,Tamale,9.4,-0.83,100.0,1.08
2015-01-15,2015,1,15,Tamale,9.4,-0.83,180.0,1.94
2015-02-15,2015,2,15,Tamale,9.4,-0.83,140.0,1.51
2015-03-15,2015,3,15,Tamale,9.4,-0.83,100.0,1.08
2015-04-15,2015,4,15,Tamale,9.4,-0.83,140.0,1.51
2015-05-15,2015,5,15,Tamale,9.4,-0.83,156.0,1.68
2015-06-15,2015,6,15,Tamale,9.4,-0.83,160.0,1.72
2015-07-15,2015,7,15,Tamale,9.4,-0.83,170.0,1.83
2015-08-15,2015,8,15,Tamale,9.4,-0.83,160.0,1.72
2015-09-15,2015,9,15,Tamale,9.4,-0.83,160.0,1.72
2015-10-15,2015,10,15,Tamale,9.4,-0.83,148.0,1.59
2015-11-15,2015,11,15,Tamale,9.4,-0.83,145.0,1.56
2015-12-15,2015,12,15,Tamale,9.4,-0.83,140.0,1.51
2016-01-15,2016,1,15,Tamale,9.4,-0.83,128.0,1.38
2016-02-15,2016,2,15,Tamale,9.4,-0.83,120.0,1.29
2016-03-15,2016,3,15,Tamale,9.4,-0.83,140.0,1.51
2016-04-15,2016,4,15,Tamale,9.4,-0.83,140.0,1.51
2016-05-15,2016,5,15,Tamale,9.4,-0.83,140.0,1.51
2016-06-15,2016,6,15,Tamale,9.4,-0.83,140.0,1.51
2016-07-15,2016,7,15,Tamale,9.4,-0.83,120.0,1.29
2016-08-15,2016,8,15,Tamale,9.4,-0.83,145.0,1.56
2016-09-15,2016,9,15,Tamale,9.4,-0.83,140.0,1.51
2016-10-15,2016,10,15,Tamale,9.4,-0.83,164.0,1.76
2016-11-15,2016,11,15,Tamale,9.4,-0.83,220.0,2.37
2016-12-15,2016,12,15,Tamale,9.4,-0.83,120.0,1.29
2017-01-15,2017,1,15,Tamale,9.4,-0.83,127.5,1.37
2017-02-15,2017,2,15,Tamale,9.4,-0.83,130.0,1.4
2017-03-15,2017,3,15,Tamale,9.4,-0.83,130.0,1.4
2017-04-15,2017,4,15,Tamale,9.4,-0.83,138.0,1.48
2017-06-15,2017,6,15,Tamale,9.4,-0.83,140.0,1.51
2017-07-15,2017,7,15,Tamale,9.4,-0.83,140.0,1.51
2017-08-15,2017,8,15,Tamale,9.4,-0.83,195.0,2.1
2017-09-15,2017,9,15,Tamale,9.4,-0.83,220.0,2.37
2017-10-15,2017,10,15,Tamale,9.4,-0.83,213.33,2.29
2017-11-15,2017,11,15,Tamale,9.4,-0.83,212.5,2.28
2017-12-15,2017,12,15,Tamale,9.4,-0.83,250.0,2.69
2019-08-15,2019,8,15,Tamale,9.4,-0.83,217.48,2.34
