date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Tamale,9.4,-0.83,51.75,0.21
2006-02-15,2006,2,15,Tamale,9.4,-0.83,57.5,0.23
2006-03-15,2006,3,15,Tamale,9.4,-0.83,66.67,0.27
2006-04-15,2006,4,15,Tamale,9.4,-0.83,61.25,0.24
2006-05-15,2006,5,15,Tamale,9.4,-0.83,75.0,0.3
2006-06-15,2006,6,15,Tamale,9.4,-0.83,90.0,0.36
2006-07-15,2006,7,15,Tamale,9.4,-0.83,87.5,0.35
2006-08-15,2006,8,15,Tamale,9.4,-0.83,85.0,0.34
2006-09-15,2006,9,15,Tamale,9.4,-0.83,52.5,0.21
2006-10-15,2006,10,15,Tamale,9.4,-0.83,52.5,0.21
2006-11-15,2006,11,15,Tamale,9.4,-0.83,57.5,0.23
2006-12-15,2006,12,15,Tamale,9.4,-0.83,80.0,0.32
2007-01-15,2007,1,15,Tamale,9.4,-0.83,60.0,0.24
2007-02-15,2007,2,15,Tamale,9.4,-0.83,68.75,0.28
2007-03-15,2007,3,15,Tamale,9.4,-0.83,77.5,0.31
2007-04-15,2007,4,15,Tamale,9.4,-0.83,82.5,0.33
2007-05-15,2007,5,15,Tamale,9.4,-0.83,86.25,0.34
2007-06-15,2007,6,15,Tamale,9.4,-0.83,93.75,0.38
2007-07-15,2007,7,15,Tamale,9.4,-0.83,124.0,0.5
2007-08-15,2007,8,15,Tamale,9.4,-0.83,50.0,0.2
2007-09-15,2007,9,15,Tamale,9.4,-0.83,65.0,0.26
2007-10-15,2007,10,15,Tamale,9.4,-0.83,60.0,0.24
2007-11-15,2007,11,15,Tamale,9.4,-0.83,68.33,0.27
2007-12-15,2007,12,15,Tamale,9.4,-0.83,73.75,0.3
2008-01-15,2008,1,15,Tamale,9.4,-0.83,94.25,0.94
2008-02-15,2008,2,15,Tamale,9.4,-0.83,95.0,0.95
2008-03-15,2008,3,15,Tamale,9.4,-0.83,104.33,1.04
2008-04-15,2008,4,15,Tamale,9.4,-0.83,125.0,1.25
2008-05-15,2008,5,15,Tamale,9.4,-0.83,137.5,1.38
2008-06-15,2008,6,15,Tamale,9.4,-0.83,132.5,1.32
2008-07-15,2008,7,15,Tamale,9.4,-0.83,136.67,1.37
2008-08-15,2008,8,15,Tamale,9.4,-0.83,92.5,0.92
2008-09-15,2008,9,15,Tamale,9.4,-0.83,58.75,0.59
2008-10-15,2008,10,15,Tamale,9.4,-0.83,57.5,0.57
2008-11-15,2008,11,15,Tamale,9.4,-0.83,64.0,0.64
2008-12-15,2008,12,15,Tamale,9.4,-0.83,115.0,1.15
2009-01-15,2009,1,15,Tamale,9.4,-0.83,107.0,1.07
2009-02-15,2009,2,15,Tamale,9.4,-0.83,96.25,0.96
2009-03-15,2009,3,15,Tamale,9.4,-0.83,103.75,1.04
2009-04-15,2009,4,15,Tamale,9.4,-0.83,117.5,1.18
2009-05-15,2009,5,15,Tamale,9.4,-0.83,125.0,1.25
2009-06-15,2009,6,15,Tamale,9.4,-0.83,136.0,1.36
2009-07-15,2009,7,15,Tamale,9.4,-0.83,132.5,1.32
2009-08-15,2009,8,15,Tamale,9.4,-0.83,100.0,1.0
2009-09-15,2009,9,15,Tamale,9.4,-0.83,81.25,0.81
2009-10-15,2009,10,15,Tamale,9.4,-0.83,100.0,1.0
2009-11-15,2009,11,15,Tamale,9.4,-0.83,140.0,1.4
2009-12-15,2009,12,15,Tamale,9.4,-0.83,140.0,1.4
2010-01-15,2010,1,15,Tamale,9.4,-0.83,164.0,1.64
2010-02-15,2010,2,15,Tamale,9.4,-0.83,120.0,1.2
2010-03-15,2010,3,15,Tamale,9.4,-0.83,120.0,1.2
2010-04-15,2010,4,15,Tamale,9.4,-0.83,115.0,1.15
2010-05-15,2010,5,15,Tamale,9.4,-0.83,144.0,1.44
2010-07-15,2010,7,15,Tamale,9.4,-0.83,200.0,2.0
2010-08-15,2010,8,15,Tamale,9.4,-0.83,180.0,1.8
2010-09-15,2010,9,15,Tamale,9.4,-0.83,110.0,1.1
2010-10-15,2010,10,15,Tamale,9.4,-0.83,90.0,0.9
