date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2009-07-15,2009,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,23.75
2009-08-15,2009,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,80.0
2009-09-15,2009,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,37.5
2009-10-15,2009,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,17.5
2009-11-15,2009,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,10.0
2009-12-15,2009,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,10.0
2010-02-15,2010,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,13.0
2010-07-15,2010,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,52.0
2010-09-15,2010,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,40.0
2010-10-15,2010,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,40.0
2010-11-15,2010,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,41.0
2011-01-15,2011,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,30.0
2011-02-15,2011,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,32.0
2011-03-15,2011,3,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,45.0
2011-04-15,2011,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,50.0
2011-05-15,2011,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,50.0
2011-06-15,2011,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,60.0
2011-07-15,2011,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,60.0
2011-08-15,2011,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,53.33
2011-09-15,2011,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,60.0
2011-10-15,2011,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,60.0
2014-01-15,2014,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,15.4
2014-10-15,2014,10,15,Bawku,BAWKU MUNICIPAL,1713,11.05,-0.24,91 ,actual,Wholesale,60.0
2014-10-15,2014,10,15,Funbisi,BUILSA SOUTH,1719,10.45,-1.31,91 ,actual,Wholesale,28.5
2014-10-15,2014,10,15,Navrongo,KASENA NANKANA EAST,1732,10.89,-1.09,91 ,actual,Wholesale,70.0
2016-04-15,2016,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,150.0
2016-05-15,2016,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,275.0
2016-06-15,2016,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,300.0
2016-07-15,2016,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,257.0
2016-08-15,2016,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,220.0
2016-09-15,2016,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,225.0
2016-10-15,2016,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,244.0
2016-11-15,2016,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,235.0
2016-12-15,2016,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,252.0
2017-01-15,2017,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,255.0
2017-02-15,2017,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,260.0
2017-03-15,2017,3,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,347.0
2017-04-15,2017,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,355.0
2017-05-15,2017,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,300.0
2017-06-15,2017,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,280.0
2017-07-15,2017,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,250.0
2017-08-15,2017,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,162.0
2017-10-15,2017,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,162.5
2017-11-15,2017,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,162.5
2018-01-15,2018,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,171.03
2018-02-15,2018,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,133.8
2018-03-15,2018,3,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,145.0
2018-05-15,2018,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,150.0
2018-07-15,2018,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,152.5
2018-08-15,2018,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,117.5
2018-09-15,2018,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,117.5
2018-11-15,2018,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,124.67
2018-12-15,2018,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,125.0
2019-01-15,2019,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,124.67
2019-02-15,2019,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,125.0
2019-03-15,2019,3,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,144.69
2019-04-15,2019,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,145.0
2019-05-15,2019,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,143.33
2019-07-15,2019,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,145.0
2019-08-15,2019,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,91 ,actual,Wholesale,145.0
