date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.14
2019-08-15,2019,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.7
2019-09-15,2019,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.14
2019-09-15,2019,9,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.7
2019-10-15,2019,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.14
2019-11-15,2019,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.14
2019-12-15,2019,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.14
2020-01-15,2020,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.14
2020-02-15,2020,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.99
2020-02-15,2020,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.93
2020-04-15,2020,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.32
2020-04-15,2020,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,5.0
2020-05-15,2020,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.8
2020-05-15,2020,5,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.28
2020-07-15,2020,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.33
2020-07-15,2020,7,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.93
2020-08-15,2020,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.33
2020-08-15,2020,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.03
2020-09-15,2020,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.67
2020-10-15,2020,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.44
2020-11-15,2020,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.57
2020-11-15,2020,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.44
2020-12-15,2020,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.57
2021-01-15,2021,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.57
2021-02-15,2021,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.25
2021-02-15,2021,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.98
2021-03-15,2021,3,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.25
2021-03-15,2021,3,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,10.0
2021-04-15,2021,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.25
2021-06-15,2021,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.14
2021-07-15,2021,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,7.0
2021-08-15,2021,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,7.6
2021-09-15,2021,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.5
2021-10-15,2021,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.5
2021-10-15,2021,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,7.0
2021-11-15,2021,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.5
2021-11-15,2021,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.75
2021-12-15,2021,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.5
2021-12-15,2021,12,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,14.37
2022-01-15,2022,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.5
2022-01-15,2022,1,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,11.71
2022-03-15,2022,3,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,11.71
2022-04-15,2022,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.75
2022-04-15,2022,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,13.17
2022-06-15,2022,6,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,13.17
2022-08-15,2022,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,13.48
2022-08-15,2022,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,13.17
2022-10-15,2022,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,2.86
2022-11-15,2022,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,13.63
2022-11-15,2022,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,7.9
2022-12-15,2022,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,13.63
2023-01-15,2023,1,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.39
2023-03-15,2023,3,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.63
