date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,107.72
2019-08-15,2019,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.27
2019-08-15,2019,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,100 ,aggregate,Wholesale,90.97
2019-08-15,2019,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.05
2019-09-15,2019,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,94.25
2019-09-15,2019,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.2
2019-09-15,2019,9,15,Garu,GARU TEMPANE,1720,10.85,-0.18,100 ,aggregate,Wholesale,90.97
2019-09-15,2019,9,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.05
2019-10-15,2019,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,92.33
2019-10-15,2019,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.19
2019-10-15,2019,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,100 ,aggregate,Wholesale,95.47
2019-10-15,2019,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,5.52
2019-11-15,2019,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,92.33
2019-11-15,2019,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.19
2019-12-15,2019,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,106.7
2019-12-15,2019,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.19
2020-01-15,2020,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,108.75
2020-01-15,2020,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.19
2020-02-15,2020,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,107.5
2020-02-15,2020,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.19
2020-02-15,2020,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,0.99
2020-04-15,2020,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,100 ,aggregate,Wholesale,101.59
2020-04-15,2020,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,1.19
2020-04-15,2020,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,100 ,aggregate,Wholesale,87.96
