date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,27.25
2006-02-15,2006,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,28.0
2006-03-15,2006,3,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,29.33
2006-04-15,2006,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,28.5
2006-05-15,2006,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,28.0
2006-06-15,2006,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,26.67
2006-07-15,2006,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,26.25
2006-08-15,2006,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,24.0
2006-09-15,2006,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,26.0
2006-10-15,2006,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,29.53
2006-11-15,2006,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,24.0
2006-12-15,2006,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,24.0
2007-01-15,2007,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,20.33
2007-02-15,2007,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,23.75
2007-03-15,2007,3,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,25.0
2007-04-15,2007,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,21.5
2007-05-15,2007,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,18.43
2007-06-15,2007,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,20.15
2007-07-15,2007,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,25.0
2007-08-15,2007,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,28.0
2007-09-15,2007,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,29.5
2007-10-15,2007,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,93 ,actual,Wholesale,31.0
