date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Garu,10.85,-0.18,6.55,6.55
2019-09-15,2019,9,15,Garu,10.85,-0.18,6.55,6.55
2020-02-15,2020,2,15,Bolga,10.79,-0.85,385.0,19.25
2020-02-15,2020,2,15,Bolga,10.79,-0.85,3.59,3.59
2020-02-15,2020,2,15,Garu,10.85,-0.18,4.65,4.65
2020-04-15,2020,4,15,Bolga,10.79,-0.85,150.0,7.5
2020-04-15,2020,4,15,Bolga,10.79,-0.85,8.41,8.41
2020-04-15,2020,4,15,Garu,10.85,-0.18,43.99,2.2
2020-05-15,2020,5,15,Bolga,10.79,-0.85,223.78,11.19
2020-05-15,2020,5,15,Bolga,10.79,-0.85,6.41,6.41
2020-05-15,2020,5,15,Garu,10.85,-0.18,366.82,18.34
2020-05-15,2020,5,15,Garu,10.85,-0.18,5.45,5.45
2020-06-15,2020,6,15,Bolga,10.79,-0.85,101.36,5.07
2020-06-15,2020,6,15,Garu,10.85,-0.18,244.09,12.2
2020-07-15,2020,7,15,Bolga,10.79,-0.85,385.0,19.25
2020-07-15,2020,7,15,Bolga,10.79,-0.85,3.59,3.59
2020-07-15,2020,7,15,Garu,10.85,-0.18,186.67,9.33
2020-07-15,2020,7,15,Garu,10.85,-0.18,4.65,4.65
2020-08-15,2020,8,15,Bolga,10.79,-0.85,392.78,19.64
2020-08-15,2020,8,15,Bolga,10.79,-0.85,3.93,3.93
2020-08-15,2020,8,15,Garu,10.85,-0.18,404.71,20.24
2020-08-15,2020,8,15,Garu,10.85,-0.18,6.97,6.97
2020-09-15,2020,9,15,Bolga,10.79,-0.85,395.0,19.75
2020-09-15,2020,9,15,Bolga,10.79,-0.85,3.93,3.93
2020-10-15,2020,10,15,Garu,10.85,-0.18,5.27,5.27
2020-11-15,2020,11,15,Bolga,10.79,-0.85,3.14,3.14
2020-11-15,2020,11,15,Garu,10.85,-0.18,5.27,5.27
2020-12-15,2020,12,15,Bolga,10.79,-0.85,3.14,3.14
2021-01-15,2021,1,15,Bolga,10.79,-0.85,3.14,3.14
2021-02-15,2021,2,15,Bolga,10.79,-0.85,165.53,8.28
2021-03-15,2021,3,15,Bolga,10.79,-0.85,232.38,11.62
2021-03-15,2021,3,15,Garu,10.85,-0.18,111.89,5.59
2021-08-15,2021,8,15,Garu,10.85,-0.18,98.8,4.94
2021-10-15,2021,10,15,Bolga,10.79,-0.85,271.02,13.55
2021-10-15,2021,10,15,Garu,10.85,-0.18,98.8,4.94
2021-11-15,2021,11,15,Bolga,10.79,-0.85,323.86,16.19
2021-11-15,2021,11,15,Garu,10.85,-0.18,111.89,5.59
2021-12-15,2021,12,15,Garu,10.85,-0.18,111.89,5.59
2022-01-15,2022,1,15,Garu,10.85,-0.18,111.89,5.59
2022-02-15,2022,2,15,Bolga,10.79,-0.85,333.21,16.66
2022-02-15,2022,2,15,Bolga,10.79,-0.85,6.41,6.41
2022-02-15,2022,2,15,Garu,10.85,-0.18,111.89,5.59
2022-02-15,2022,2,15,Garu,10.85,-0.18,2.15,2.15
2022-03-15,2022,3,15,Garu,10.85,-0.18,111.89,5.59
2022-04-15,2022,4,15,Bolga,10.79,-0.85,333.32,16.67
2022-04-15,2022,4,15,Garu,10.85,-0.18,111.89,5.59
2022-06-15,2022,6,15,Garu,10.85,-0.18,117.67,5.88
2022-08-15,2022,8,15,Bolga,10.79,-0.85,525.2,26.26
2022-08-15,2022,8,15,Garu,10.85,-0.18,117.67,5.88
2022-10-15,2022,10,15,Bolga,10.79,-0.85,386.58,19.33
2022-11-15,2022,11,15,Bolga,10.79,-0.85,653.42,32.67
2022-11-15,2022,11,15,Garu,10.85,-0.18,2.86,2.86
2022-12-15,2022,12,15,Bolga,10.79,-0.85,653.42,32.67
2023-02-15,2023,2,15,Bolga,10.79,-0.85,4.35,4.35
2023-04-15,2023,4,15,Bolga,10.79,-0.85,4.35,4.35
2023-05-15,2023,5,15,Bolga,10.79,-0.85,4.35,4.35
2023-06-15,2023,6,15,Bolga,10.79,-0.85,4.35,4.35
2023-07-15,2023,7,15,Bolga,10.79,-0.85,4.35,4.35
