date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Bolga,10.79,-0.85,28.5,0.57
2006-02-15,2006,2,15,Bolga,10.79,-0.85,28.34,0.57
2006-03-15,2006,3,15,Bolga,10.79,-0.85,30.0,0.6
2006-04-15,2006,4,15,Bolga,10.79,-0.85,33.5,0.67
2006-05-15,2006,5,15,Bolga,10.79,-0.85,35.0,0.7
2006-07-15,2006,7,15,Bolga,10.79,-0.85,32.75,0.66
2006-09-15,2006,9,15,Bolga,10.79,-0.85,34.75,0.7
2006-10-15,2006,10,15,Bolga,10.79,-0.85,34.88,0.7
2006-11-15,2006,11,15,Bolga,10.79,-0.85,32.43,0.65
2006-12-15,2006,12,15,Bolga,10.79,-0.85,36.0,0.72
2007-01-15,2007,1,15,Bolga,10.79,-0.85,37.3,0.75
2007-02-15,2007,2,15,Bolga,10.79,-0.85,37.8,0.76
2007-04-15,2007,4,15,Bolga,10.79,-0.85,64.75,1.3
2007-05-15,2007,5,15,Bolga,10.79,-0.85,44.93,0.9
2007-06-15,2007,6,15,Bolga,10.79,-0.85,31.75,0.64
2007-07-15,2007,7,15,Bolga,10.79,-0.85,33.25,0.66
2007-08-15,2007,8,15,Bolga,10.79,-0.85,25.0,0.5
2007-09-15,2007,9,15,Bolga,10.79,-0.85,27.5,0.55
2007-10-15,2007,10,15,Bolga,10.79,-0.85,36.0,0.72
2007-11-15,2007,11,15,Bolga,10.79,-0.85,30.0,0.6
2007-12-15,2007,12,15,Bolga,10.79,-0.85,37.0,0.74
2008-01-15,2008,1,15,Bolga,10.79,-0.85,35.5,0.71
2008-02-15,2008,2,15,Bolga,10.79,-0.85,35.0,0.7
2008-03-15,2008,3,15,Bolga,10.79,-0.85,41.67,0.83
2008-04-15,2008,4,15,Bolga,10.79,-0.85,45.0,0.9
2008-05-15,2008,5,15,Bolga,10.79,-0.85,46.88,0.94
2008-06-15,2008,6,15,Bolga,10.79,-0.85,50.62,1.01
2008-07-15,2008,7,15,Bolga,10.79,-0.85,53.5,1.07
2008-08-15,2008,8,15,Bolga,10.79,-0.85,57.39,1.15
2008-09-15,2008,9,15,Bolga,10.79,-0.85,64.5,1.29
2008-10-15,2008,10,15,Bolga,10.79,-0.85,69.0,1.38
