date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2006-01-15,2006,1,15,Bolga,10.79,-0.85,25.0,0.23
2006-02-15,2006,2,15,Bolga,10.79,-0.85,25.0,0.23
2006-03-15,2006,3,15,Bolga,10.79,-0.85,25.67,0.24
2006-04-15,2006,4,15,Bolga,10.79,-0.85,25.5,0.23
2006-05-15,2006,5,15,Bolga,10.79,-0.85,23.0,0.21
2006-06-15,2006,6,15,Bolga,10.79,-0.85,21.0,0.19
2006-07-15,2006,7,15,Bolga,10.79,-0.85,20.25,0.19
2006-08-15,2006,8,15,Bolga,10.79,-0.85,18.0,0.17
2006-09-15,2006,9,15,Bolga,10.79,-0.85,23.5,0.22
2006-10-15,2006,10,15,Bolga,10.79,-0.85,21.33,0.2
2006-11-15,2006,11,15,Bolga,10.79,-0.85,17.0,0.16
2006-12-15,2006,12,15,Bolga,10.79,-0.85,18.0,0.17
2007-01-15,2007,1,15,Bolga,10.79,-0.85,20.0,0.18
2007-02-15,2007,2,15,Bolga,10.79,-0.85,20.0,0.18
2007-03-15,2007,3,15,Bolga,10.79,-0.85,21.5,0.2
2007-04-15,2007,4,15,Bolga,10.79,-0.85,18.0,0.17
2007-05-15,2007,5,15,Bolga,10.79,-0.85,17.13,0.16
2007-06-15,2007,6,15,Bolga,10.79,-0.85,17.5,0.16
2007-07-15,2007,7,15,Bolga,10.79,-0.85,26.0,0.24
2007-08-15,2007,8,15,Bolga,10.79,-0.85,27.5,0.25
2007-09-15,2007,9,15,Bolga,10.79,-0.85,35.0,0.32
2007-10-15,2007,10,15,Bolga,10.79,-0.85,31.0,0.28
2007-11-15,2007,11,15,Bolga,10.79,-0.85,45.0,0.41
2007-12-15,2007,12,15,Bolga,10.79,-0.85,35.0,0.32
2008-01-15,2008,1,15,Bolga,10.79,-0.85,42.5,0.39
2008-02-15,2008,2,15,Bolga,10.79,-0.85,45.0,0.41
2008-03-15,2008,3,15,Bolga,10.79,-0.85,44.33,0.41
2008-04-15,2008,4,15,Bolga,10.79,-0.85,42.0,0.39
2008-05-15,2008,5,15,Bolga,10.79,-0.85,50.0,0.46
2008-06-15,2008,6,15,Bolga,10.79,-0.85,58.0,0.53
2008-07-15,2008,7,15,Bolga,10.79,-0.85,60.0,0.55
2008-08-15,2008,8,15,Bolga,10.79,-0.85,57.5,0.53
2008-09-15,2008,9,15,Bolga,10.79,-0.85,60.0,0.55
2008-10-15,2008,10,15,Bolga,10.79,-0.85,52.75,0.48
2008-11-15,2008,11,15,Bolga,10.79,-0.85,43.0,0.39
2008-12-15,2008,12,15,Bolga,10.79,-0.85,43.0,0.39
2009-01-15,2009,1,15,Bolga,10.79,-0.85,45.4,0.42
2009-02-15,2009,2,15,Bolga,10.79,-0.85,49.75,0.46
2009-03-15,2009,3,15,Bolga,10.79,-0.85,51.25,0.47
2009-04-15,2009,4,15,Bolga,10.79,-0.85,51.0,0.47
2009-05-15,2009,5,15,Bolga,10.79,-0.85,51.8,0.48
2009-06-15,2009,6,15,Bolga,10.79,-0.85,60.0,0.55
2009-07-15,2009,7,15,Bolga,10.79,-0.85,60.0,0.55
2009-08-15,2009,8,15,Bolga,10.79,-0.85,57.2,0.52
2009-09-15,2009,9,15,Bolga,10.79,-0.85,53.25,0.49
2009-10-15,2009,10,15,Bolga,10.79,-0.85,54.0,0.5
2009-11-15,2009,11,15,Bolga,10.79,-0.85,56.5,0.52
2009-12-15,2009,12,15,Bolga,10.79,-0.85,56.0,0.51
2010-01-15,2010,1,15,Bolga,10.79,-0.85,57.4,0.53
2010-02-15,2010,2,15,Bolga,10.79,-0.85,63.5,0.58
2010-03-15,2010,3,15,Bolga,10.79,-0.85,50.5,0.46
2010-04-15,2010,4,15,Bolga,10.79,-0.85,52.5,0.48
2010-05-15,2010,5,15,Bolga,10.79,-0.85,51.6,0.47
2010-06-15,2010,6,15,Bolga,10.79,-0.85,52.0,0.48
2010-07-15,2010,7,15,Bolga,10.79,-0.85,51.0,0.47
2010-08-15,2010,8,15,Bolga,10.79,-0.85,52.0,0.48
2010-09-15,2010,9,15,Bolga,10.79,-0.85,51.0,0.47
2010-10-15,2010,10,15,Bolga,10.79,-0.85,51.5,0.47
2010-11-15,2010,11,15,Bolga,10.79,-0.85,51.75,0.47
2010-12-15,2010,12,15,Bolga,10.79,-0.85,52.0,0.48
2011-01-15,2011,1,15,Bolga,10.79,-0.85,52.0,0.48
2011-02-15,2011,2,15,Bolga,10.79,-0.85,52.0,0.48
2011-03-15,2011,3,15,Bolga,10.79,-0.85,56.75,0.52
2011-04-15,2011,4,15,Bolga,10.79,-0.85,55.0,0.5
2011-05-15,2011,5,15,Bolga,10.79,-0.85,54.0,0.5
2011-06-15,2011,6,15,Bolga,10.79,-0.85,54.0,0.5
2011-07-15,2011,7,15,Bolga,10.79,-0.85,57.5,0.53
2011-08-15,2011,8,15,Bolga,10.79,-0.85,70.0,0.64
2011-09-15,2011,9,15,Bolga,10.79,-0.85,70.0,0.64
2011-10-15,2011,10,15,Bolga,10.79,-0.85,65.0,0.6
2011-11-15,2011,11,15,Bolga,10.79,-0.85,55.0,0.5
2011-12-15,2011,12,15,Bolga,10.79,-0.85,70.0,0.64
2012-01-15,2012,1,15,Bolga,10.79,-0.85,70.0,0.64
2012-02-15,2012,2,15,Bolga,10.79,-0.85,71.0,0.65
2012-03-15,2012,3,15,Bolga,10.79,-0.85,70.0,0.64
2012-04-15,2012,4,15,Bolga,10.79,-0.85,75.0,0.69
2012-05-15,2012,5,15,Bolga,10.79,-0.85,74.0,0.68
2012-06-15,2012,6,15,Bolga,10.79,-0.85,75.25,0.69
2012-07-15,2012,7,15,Bolga,10.79,-0.85,72.5,0.67
2012-08-15,2012,8,15,Bolga,10.79,-0.85,69.5,0.64
2012-09-15,2012,9,15,Bolga,10.79,-0.85,70.0,0.64
2012-10-15,2012,10,15,Bolga,10.79,-0.85,62.5,0.57
2012-11-15,2012,11,15,Bolga,10.79,-0.85,70.0,0.64
2012-12-15,2012,12,15,Bolga,10.79,-0.85,80.5,0.74
2013-01-15,2013,1,15,Bolga,10.79,-0.85,93.5,0.86
2013-02-15,2013,2,15,Bolga,10.79,-0.85,90.5,0.83
2013-03-15,2013,3,15,Bolga,10.79,-0.85,93.5,0.86
2013-04-15,2013,4,15,Bolga,10.79,-0.85,93.0,0.85
2013-05-15,2013,5,15,Bolga,10.79,-0.85,90.0,0.83
2013-06-15,2013,6,15,Bolga,10.79,-0.85,90.0,0.83
2013-07-15,2013,7,15,Bolga,10.79,-0.85,92.0,0.84
2013-08-15,2013,8,15,Bolga,10.79,-0.85,97.75,0.9
2013-09-15,2013,9,15,Bolga,10.79,-0.85,95.0,0.87
2013-10-15,2013,10,15,Bolga,10.79,-0.85,90.0,0.83
2013-11-15,2013,11,15,Bolga,10.79,-0.85,90.0,0.83
2013-12-15,2013,12,15,Bolga,10.79,-0.85,90.0,0.83
2014-01-15,2014,1,15,Bolga,10.79,-0.85,98.75,0.91
2014-02-15,2014,2,15,Bolga,10.79,-0.85,97.5,0.89
2014-03-15,2014,3,15,Bolga,10.79,-0.85,100.0,0.92
2014-05-15,2014,5,15,Bolga,10.79,-0.85,100.0,0.92
2014-06-15,2014,6,15,Bolga,10.79,-0.85,100.0,0.92
2015-01-15,2015,1,15,Bolga,10.79,-0.85,106.0,0.97
2015-02-15,2015,2,15,Bolga,10.79,-0.85,100.0,0.92
2015-03-15,2015,3,15,Bolga,10.79,-0.85,100.0,0.92
2015-04-15,2015,4,15,Bolga,10.79,-0.85,110.0,1.01
2015-05-15,2015,5,15,Bolga,10.79,-0.85,108.0,0.99
2015-06-15,2015,6,15,Bolga,10.79,-0.85,116.25,1.07
2015-07-15,2015,7,15,Bolga,10.79,-0.85,117.5,1.08
2015-08-15,2015,8,15,Bolga,10.79,-0.85,116.0,1.06
2015-09-15,2015,9,15,Bolga,10.79,-0.85,107.5,0.99
2015-10-15,2015,10,15,Bolga,10.79,-0.85,106.0,0.97
2015-11-15,2015,11,15,Bolga,10.79,-0.85,92.5,0.85
2015-12-15,2015,12,15,Bolga,10.79,-0.85,90.0,0.83
2016-01-15,2016,1,15,Bolga,10.79,-0.85,106.0,0.97
2016-02-15,2016,2,15,Bolga,10.79,-0.85,112.5,1.03
2016-03-15,2016,3,15,Bolga,10.79,-0.85,115.0,1.06
2016-04-15,2016,4,15,Bolga,10.79,-0.85,132.0,1.21
2016-05-15,2016,5,15,Bolga,10.79,-0.85,125.0,1.15
2016-06-15,2016,6,15,Bolga,10.79,-0.85,110.0,1.01
2016-07-15,2016,7,15,Bolga,10.79,-0.85,110.0,1.01
2016-08-15,2016,8,15,Bolga,10.79,-0.85,110.0,1.01
2016-09-15,2016,9,15,Bolga,10.79,-0.85,122.5,1.12
2016-10-15,2016,10,15,Bolga,10.79,-0.85,108.0,0.99
2016-11-15,2016,11,15,Bolga,10.79,-0.85,107.5,0.99
2016-12-15,2016,12,15,Bolga,10.79,-0.85,115.0,1.06
2017-01-15,2017,1,15,Bolga,10.79,-0.85,107.5,0.99
2017-02-15,2017,2,15,Bolga,10.79,-0.85,113.75,1.04
2017-03-15,2017,3,15,Bolga,10.79,-0.85,120.0,1.1
2017-04-15,2017,4,15,Bolga,10.79,-0.85,122.0,1.12
