date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,65.83
2019-09-15,2019,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,65.83
2019-10-15,2019,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,65.83
2019-10-15,2019,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.7
2019-11-15,2019,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,65.83
2019-12-15,2019,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,41.53
2020-01-15,2020,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,38.06
2020-02-15,2020,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,39.09
2020-02-15,2020,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.25
2020-02-15,2020,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.0
2020-04-15,2020,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,181.26
2020-04-15,2020,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.66
2020-05-15,2020,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,79.48
2020-05-15,2020,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.99
2020-05-15,2020,5,15,Garu,GARU TEMPANE,1720,10.85,-0.18,52 ,aggregate,Wholesale,84.81
2020-05-15,2020,5,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,2.5
2020-06-15,2020,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,47.91
2020-07-15,2020,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,39.09
2020-07-15,2020,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.25
2020-07-15,2020,7,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.0
2020-08-15,2020,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,98.63
2020-08-15,2020,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,3.25
2020-08-15,2020,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,6.88
2020-09-15,2020,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,90.42
2020-09-15,2020,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.0
2020-10-15,2020,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,7.37
2020-11-15,2020,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,52 ,aggregate,Wholesale,34.17
2020-11-15,2020,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,6.32
2020-11-15,2020,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,7.37
