date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,178.75
2019-08-15,2019,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.38
2019-08-15,2019,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,176.67
2019-08-15,2019,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.29
2019-09-15,2019,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,178.75
2019-09-15,2019,9,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.38
2019-09-15,2019,9,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,176.67
2019-09-15,2019,9,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.29
2019-10-15,2019,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,178.75
2019-10-15,2019,10,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.38
2019-10-15,2019,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,176.67
2019-10-15,2019,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,2.31
2019-11-15,2019,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,178.75
2019-11-15,2019,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.38
2019-12-15,2019,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,178.75
2019-12-15,2019,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.38
2020-01-15,2020,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,178.75
2020-01-15,2020,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,4.38
2020-02-15,2020,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.77
2020-04-15,2020,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.71
2020-04-15,2020,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,357.62
2020-05-15,2020,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,2.71
2020-05-15,2020,5,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,376.58
2020-05-15,2020,5,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,2.37
2020-06-15,2020,6,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,357.62
2020-07-15,2020,7,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,1.77
2020-08-15,2020,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,636.54
2020-08-15,2020,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.33
2020-10-15,2020,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,167.5
2020-10-15,2020,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,5.39
2020-11-15,2020,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,265.0
2020-11-15,2020,11,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,5.79
2020-11-15,2020,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,167.5
2020-11-15,2020,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,5.39
2020-12-15,2020,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,225.0
2020-12-15,2020,12,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,5.79
2021-01-15,2021,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,225.0
2021-01-15,2021,1,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,5.79
2021-02-15,2021,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.47
2021-03-15,2021,3,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,285.71
2021-03-15,2021,3,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.0
2021-06-15,2021,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,5.79
2021-08-15,2021,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,285.71
2021-08-15,2021,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.17
2021-10-15,2021,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,525.0
2021-10-15,2021,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,2.55
2021-11-15,2021,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,285.71
2021-11-15,2021,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.55
2021-12-15,2021,12,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,950.36
2021-12-15,2021,12,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.14
2022-01-15,2022,1,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,950.36
2022-01-15,2022,1,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.14
2022-02-15,2022,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,950.36
2022-02-15,2022,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.8
2022-03-15,2022,3,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,950.36
2022-03-15,2022,3,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.32
2022-04-15,2022,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,950.36
2022-04-15,2022,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,4.32
2022-06-15,2022,6,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,781.63
2022-06-15,2022,6,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,5.0
2022-08-15,2022,8,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,5.22
2022-08-15,2022,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,781.63
2022-08-15,2022,8,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,5.87
2022-10-15,2022,10,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.3
2022-11-15,2022,11,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.3
2023-01-15,2023,1,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,3.65
2023-02-15,2023,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,410.0
2023-02-15,2023,2,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,8.73
2023-02-15,2023,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,375.6
2023-02-15,2023,2,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,8.23
2023-04-15,2023,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,436.27
2023-04-15,2023,4,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,9.08
2023-04-15,2023,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,398.0
2023-04-15,2023,4,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,9.94
2023-05-15,2023,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,436.27
2023-05-15,2023,5,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,9.08
2023-05-15,2023,5,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,398.0
2023-05-15,2023,5,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,9.94
2023-06-15,2023,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,250 ,aggregate,Wholesale,436.27
2023-06-15,2023,6,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,9.08
2023-06-15,2023,6,15,Garu,GARU TEMPANE,1720,10.85,-0.18,250 ,aggregate,Wholesale,398.0
2023-06-15,2023,6,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,8.23
2023-07-15,2023,7,15,Bolga,BOLGATANGA MUNICIPAL,221,10.79,-0.85,,aggregate,Retail,9.08
2023-07-15,2023,7,15,Garu,GARU TEMPANE,1720,10.85,-0.18,,aggregate,Retail,8.23
