date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2009-04-15,2009,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,23.0
2009-05-15,2009,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,23.0
2009-06-15,2009,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,24.0
2009-07-15,2009,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,23.75
2009-08-15,2009,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,31.2
2009-09-15,2009,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,24.0
2009-10-15,2009,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,25.0
2009-11-15,2009,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,25.0
2009-12-15,2009,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,25.0
2010-01-15,2010,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,25.0
2010-02-15,2010,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,28.75
2010-03-15,2010,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,30.0
2010-04-15,2010,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,30.0
2010-05-15,2010,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,31.0
2010-06-15,2010,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2010-07-15,2010,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2010-08-15,2010,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2010-09-15,2010,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,44.0
2010-10-15,2010,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2010-11-15,2010,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2010-12-15,2010,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2011-01-15,2011,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,29.33
2011-02-15,2011,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,28.8
2011-03-15,2011,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,36.0
2011-04-15,2011,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,36.12
2011-05-15,2011,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,36.0
2011-06-15,2011,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.75
2011-07-15,2011,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2011-08-15,2011,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2011-09-15,2011,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2011-10-15,2011,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2011-11-15,2011,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2011-12-15,2011,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,35.0
2012-01-15,2012,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,37.5
2012-02-15,2012,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,45.0
2012-03-15,2012,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,45.0
2012-04-15,2012,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,45.0
2012-05-15,2012,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,45.0
2012-06-15,2012,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,45.0
2012-07-15,2012,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,45.0
2012-08-15,2012,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,95.2
2012-09-15,2012,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,47.5
2012-10-15,2012,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,48.75
2012-11-15,2012,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,50.0
2012-12-15,2012,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,50.0
2013-01-15,2013,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,50.0
2013-02-15,2013,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,50.0
2013-03-15,2013,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,50.0
2013-04-15,2013,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,60.0
2013-05-15,2013,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,60.0
2013-06-15,2013,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,60.0
2013-07-15,2013,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,59.0
2013-08-15,2013,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,59.0
2013-09-15,2013,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,61.0
2013-10-15,2013,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,65.0
2013-11-15,2013,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,65.0
2013-12-15,2013,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,67.5
2014-02-15,2014,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,60.0
2014-03-15,2014,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,62.5
2014-04-15,2014,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,63.0
2014-05-15,2014,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,63.0
2014-09-15,2014,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,62.5
2014-10-15,2014,10,15,Jirapa,JIRAPA,1722,10.52,-2.7,91 ,actual,Wholesale,106.67
2014-10-15,2014,10,15,Lawra,LAWRA,1729,10.65,-2.88,91 ,actual,Wholesale,63.19
2014-10-15,2014,10,15,Nadowli,NADOWLI-KALEO,1730,10.37,-2.66,91 ,actual,Wholesale,80.0
2014-10-15,2014,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,62.5
2015-01-15,2015,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,62.5
2015-02-15,2015,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,62.5
2015-03-15,2015,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,66.25
2015-04-15,2015,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,65.0
2015-07-15,2015,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,65.0
2015-10-15,2015,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,70.0
2015-11-15,2015,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,70.0
2015-12-15,2015,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,70.0
2016-01-15,2016,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,70.0
2016-02-15,2016,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,75.0
2016-03-15,2016,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,100.0
2016-04-15,2016,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,100.0
2016-05-15,2016,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,120.0
2016-06-15,2016,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,120.0
2016-07-15,2016,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,120.0
2016-08-15,2016,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,120.0
2016-09-15,2016,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,143.0
2016-10-15,2016,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2016-11-15,2016,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2016-12-15,2016,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-01-15,2017,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-02-15,2017,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-03-15,2017,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-04-15,2017,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-05-15,2017,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-06-15,2017,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,130.0
2017-07-15,2017,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-08-15,2017,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-09-15,2017,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,150.0
2017-11-15,2017,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,91 ,actual,Wholesale,169.35
2019-08-15,2019,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.17
2019-09-15,2019,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.76
2019-10-15,2019,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.17
