date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2019-08-15,2019,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,5.83
2019-09-15,2019,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.71
2019-10-15,2019,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.69
2019-11-15,2019,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.33
2019-12-15,2019,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.13
2020-01-15,2020,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.61
2020-02-15,2020,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,6.39
2020-03-15,2020,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.86
2020-04-15,2020,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,4.86
2020-05-15,2020,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,5.23
2020-07-15,2020,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,6.39
2020-08-15,2020,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,9.81
2020-09-15,2020,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,8.54
2021-04-15,2021,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,1.71
2021-05-15,2021,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.53
2021-06-15,2021,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,9.17
2021-07-15,2021,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.53
2021-08-15,2021,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,1.0
2022-01-15,2022,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,1.14
2022-03-15,2022,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,1.14
2022-04-15,2022,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,1.14
2022-05-15,2022,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.5
2022-07-15,2022,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.5
2022-09-15,2022,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,27 ,aggregate,Wholesale,608.73
2022-10-15,2022,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,3.83
2023-01-15,2023,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.5
2023-03-15,2023,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,,aggregate,Retail,2.5
