date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,30.85
2006-02-15,2006,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.6
2006-03-15,2006,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.6
2006-04-15,2006,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.6
2006-05-15,2006,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.6
2006-06-15,2006,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,27.62
2006-07-15,2006,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.6
2006-08-15,2006,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,26.85
2006-09-15,2006,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.6
2006-10-15,2006,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,27.03
2006-11-15,2006,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,24.61
2006-12-15,2006,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,23.25
2007-01-15,2007,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,22.08
2007-02-15,2007,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,23.25
2007-03-15,2007,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,25.0
2007-04-15,2007,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,24.1
2007-05-15,2007,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,22.85
2007-06-15,2007,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,18.8
2007-07-15,2007,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,22.4
2007-08-15,2007,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.31
2007-09-15,2007,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,27.73
2007-10-15,2007,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,28.61
2007-11-15,2007,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,36.37
2007-12-15,2007,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,40.14
2008-01-15,2008,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,35.77
2008-02-15,2008,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,37.56
2008-03-15,2008,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,39.35
2008-04-15,2008,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,39.8
2008-05-15,2008,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,49.2
2008-06-15,2008,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,53.65
2008-07-15,2008,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,55.08
2008-08-15,2008,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,57.69
2008-09-15,2008,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,60.8
2008-10-15,2008,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,93 ,actual,Wholesale,60.8
