date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2020-02-15,2020,2,15,Wa,10.05,-2.48,30.83,30.83
2020-03-15,2020,3,15,Wa,10.05,-2.48,3.69,3.69
2020-04-15,2020,4,15,Wa,10.05,-2.48,6.96,6.96
2020-05-15,2020,5,15,Wa,10.05,-2.48,16.88,16.88
2020-07-15,2020,7,15,Wa,10.05,-2.48,30.83,30.83
2020-08-15,2020,8,15,Wa,10.05,-2.48,26.0,26.0
2020-09-15,2020,9,15,Wa,10.05,-2.48,27.0,27.0
2021-03-15,2021,3,15,Wa,10.05,-2.48,3.6,3.6
2021-04-15,2021,4,15,Wa,10.05,-2.48,4.26,4.26
2021-10-15,2021,10,15,Wa,10.05,-2.48,3.47,3.47
2021-11-15,2021,11,15,Wa,10.05,-2.48,4.24,4.24
2021-12-15,2021,12,15,Wa,10.05,-2.48,4.24,4.24
2022-01-15,2022,1,15,Wa,10.05,-2.48,4.66,4.66
2022-03-15,2022,3,15,Wa,10.05,-2.48,4.06,4.06
2022-04-15,2022,4,15,Wa,10.05,-2.48,4.06,4.06
2022-05-15,2022,5,15,Wa,10.05,-2.48,4.06,4.06
2022-06-15,2022,6,15,Wa,10.05,-2.48,4.06,4.06
2022-07-15,2022,7,15,Wa,10.05,-2.48,4.06,4.06
2022-10-15,2022,10,15,Wa,10.05,-2.48,2.5,2.5
2023-01-15,2023,1,15,Wa,10.05,-2.48,4.06,4.06
2023-02-15,2023,2,15,Wa,10.05,-2.48,86.67,1.19
2023-02-15,2023,2,15,Wa,10.05,-2.48,5.78,5.78
2023-03-15,2023,3,15,Wa,10.05,-2.48,4.06,4.06
2023-04-15,2023,4,15,Wa,10.05,-2.48,78.12,1.07
2023-04-15,2023,4,15,Wa,10.05,-2.48,7.5,7.5
2023-05-15,2023,5,15,Wa,10.05,-2.48,150.0,2.05
2023-05-15,2023,5,15,Wa,10.05,-2.48,3.91,3.91
2023-06-15,2023,6,15,Wa,10.05,-2.48,78.12,1.07
2023-06-15,2023,6,15,Wa,10.05,-2.48,7.5,7.5
2023-07-15,2023,7,15,Wa,10.05,-2.48,7.5,7.5
