date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,26.07
2006-02-15,2006,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,28.55
2006-03-15,2006,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,28.58
2006-04-15,2006,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,29.16
2006-05-15,2006,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,30.35
2006-07-15,2006,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,30.35
2006-09-15,2006,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.15
2006-10-15,2006,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.15
2006-11-15,2006,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.15
2006-12-15,2006,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,30.35
2007-01-15,2007,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,30.4
2007-02-15,2007,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,29.9
2007-04-15,2007,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,58.0
2007-05-15,2007,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,37.98
2007-06-15,2007,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,30.4
2007-07-15,2007,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,30.35
2007-08-15,2007,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.15
2007-09-15,2007,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.15
2007-10-15,2007,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.14
2007-11-15,2007,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.14
2007-12-15,2007,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.14
2008-01-15,2008,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,32.14
2008-02-15,2008,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,34.06
2008-03-15,2008,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,35.98
2008-04-15,2008,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,38.1
2008-05-15,2008,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,41.0
2008-06-15,2008,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,46.37
2008-07-15,2008,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,61.33
2008-08-15,2008,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,61.12
2008-09-15,2008,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,67.44
2008-10-15,2008,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,71.4
2008-11-15,2008,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,57.3
2008-12-15,2008,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,44.7
2009-01-15,2009,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,51.8
2009-02-15,2009,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,53.57
2009-03-15,2009,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,53.57
2009-04-15,2009,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,51.34
2009-05-15,2009,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.0
2009-06-15,2009,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.9
2009-07-15,2009,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,53.18
2009-08-15,2009,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,54.7
2009-09-15,2009,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,57.14
2009-10-15,2009,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,54.0
2009-11-15,2009,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,54.0
2009-12-15,2009,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,54.0
2010-01-15,2010,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,42.4
2010-02-15,2010,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.0
2010-03-15,2010,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,48.0
2010-04-15,2010,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.0
2010-05-15,2010,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.0
2010-06-15,2010,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.0
2010-07-15,2010,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.0
2010-08-15,2010,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,53.62
2010-09-15,2010,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,53.38
2010-10-15,2010,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,55.12
2010-11-15,2010,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,55.5
2010-12-15,2010,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,50.5
2011-01-15,2011,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,44.83
2011-02-15,2011,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,43.2
2011-03-15,2011,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,54.0
2011-04-15,2011,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,54.0
2011-05-15,2011,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,57.0
2011-06-15,2011,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,47.75
2011-07-15,2011,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,71.5
2011-08-15,2011,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,70.67
2011-09-15,2011,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,63.0
2011-10-15,2011,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,71.75
2011-11-15,2011,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,80.0
2011-12-15,2011,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,77.0
2012-01-15,2012,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,79.75
2012-02-15,2012,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,80.0
2012-03-15,2012,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,80.25
2012-04-15,2012,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,80.5
2012-05-15,2012,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,80.0
2012-06-15,2012,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,84.5
2012-07-15,2012,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.75
2012-08-15,2012,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,87.13
2012-09-15,2012,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.0
2012-10-15,2012,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.75
2012-11-15,2012,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.5
2012-12-15,2012,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.75
2013-01-15,2013,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,90.0
2013-02-15,2013,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,90.0
2013-03-15,2013,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,90.0
2013-04-15,2013,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.0
2013-05-15,2013,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.75
2013-06-15,2013,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,90.0
2013-07-15,2013,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,90.0
2013-08-15,2013,8,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,90.0
2013-09-15,2013,9,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,89.75
2013-10-15,2013,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,98.0
2013-11-15,2013,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,98.0
2013-12-15,2013,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,98.0
2014-01-15,2014,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,98.0
2014-02-15,2014,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,98.05
2014-03-15,2014,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,101.0
2014-05-15,2014,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,107.0
2014-06-15,2014,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,107.0
2014-10-15,2014,10,15,Jirapa,JIRAPA,1722,10.52,-2.7,100 ,actual,Wholesale,266.67
2014-10-15,2014,10,15,Lawra,LAWRA,1729,10.65,-2.88,100 ,actual,Wholesale,220.5
2014-10-15,2014,10,15,Nadowli,NADOWLI-KALEO,1730,10.37,-2.66,100 ,actual,Wholesale,200.0
2014-10-15,2014,10,15,Tumu,SISSALA EAST,1736,10.88,-1.98,100 ,actual,Wholesale,240.0
2014-10-15,2014,10,15,Wichau,WA WEST,1737,9.83,-2.68,100 ,actual,Wholesale,200.0
2015-03-15,2015,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2015-04-15,2015,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2015-05-15,2015,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2015-06-15,2015,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2015-07-15,2015,7,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2015-10-15,2015,10,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.17
2015-11-15,2015,11,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2015-12-15,2015,12,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2016-01-15,2016,1,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,167.85
2016-02-15,2016,2,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,276.77
2016-03-15,2016,3,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,142.85
2016-04-15,2016,4,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,257.13
2016-05-15,2016,5,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,285.7
2016-06-15,2016,6,15,Wa,WA MUNICIPAL,222,10.05,-2.48,50 ,actual,Wholesale,285.7
