date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2010-08-15,2010,8,15,Wa,10.05,-2.48,53.5,0.64
2010-09-15,2010,9,15,Wa,10.05,-2.48,43.75,0.52
2010-10-15,2010,10,15,Wa,10.05,-2.48,43.75,0.52
2010-11-15,2010,11,15,Wa,10.05,-2.48,50.0,0.6
2010-12-15,2010,12,15,Wa,10.05,-2.48,36.75,0.44
2011-01-15,2011,1,15,Wa,10.05,-2.48,36.25,0.43
2011-02-15,2011,2,15,Wa,10.05,-2.48,36.0,0.43
2011-03-15,2011,3,15,Wa,10.05,-2.48,43.75,0.52
2011-04-15,2011,4,15,Wa,10.05,-2.48,50.5,0.6
2011-05-15,2011,5,15,Wa,10.05,-2.48,54.5,0.65
2011-06-15,2011,6,15,Wa,10.05,-2.48,57.75,0.69
2011-07-15,2011,7,15,Wa,10.05,-2.48,53.25,0.63
2011-08-15,2011,8,15,Wa,10.05,-2.48,57.25,0.68
2011-09-15,2011,9,15,Wa,10.05,-2.48,64.0,0.76
2011-10-15,2011,10,15,Wa,10.05,-2.48,73.0,0.87
2011-11-15,2011,11,15,Wa,10.05,-2.48,61.75,0.74
2011-12-15,2011,12,15,Wa,10.05,-2.48,55.25,0.66
2012-01-15,2012,1,15,Wa,10.05,-2.48,58.0,0.69
2012-02-15,2012,2,15,Wa,10.05,-2.48,61.5,0.73
2012-03-15,2012,3,15,Wa,10.05,-2.48,65.5,0.78
2012-04-15,2012,4,15,Wa,10.05,-2.48,67.75,0.81
2012-05-15,2012,5,15,Wa,10.05,-2.48,73.0,0.87
2012-06-15,2012,6,15,Wa,10.05,-2.48,71.0,0.85
2012-07-15,2012,7,15,Wa,10.05,-2.48,73.0,0.87
2012-08-15,2012,8,15,Wa,10.05,-2.48,73.0,0.87
2012-09-15,2012,9,15,Wa,10.05,-2.48,73.0,0.87
2012-10-15,2012,10,15,Wa,10.05,-2.48,73.0,0.87
2012-11-15,2012,11,15,Wa,10.05,-2.48,76.5,0.91
2012-12-15,2012,12,15,Wa,10.05,-2.48,67.25,0.8
2013-01-15,2013,1,15,Wa,10.05,-2.48,71.25,0.85
2013-02-15,2013,2,15,Wa,10.05,-2.48,73.0,0.87
2013-03-15,2013,3,15,Wa,10.05,-2.48,73.0,0.87
2013-04-15,2013,4,15,Wa,10.05,-2.48,73.0,0.87
2013-05-15,2013,5,15,Wa,10.05,-2.48,73.0,0.87
2013-06-15,2013,6,15,Wa,10.05,-2.48,73.0,0.87
2013-07-15,2013,7,15,Wa,10.05,-2.48,73.0,0.87
2013-08-15,2013,8,15,Wa,10.05,-2.48,73.0,0.87
2013-09-15,2013,9,15,Wa,10.05,-2.48,74.75,0.89
2013-10-15,2013,10,15,Wa,10.05,-2.48,80.0,0.95
2013-11-15,2013,11,15,Wa,10.05,-2.48,80.0,0.95
2013-12-15,2013,12,15,Wa,10.05,-2.48,60.5,0.72
2014-01-15,2014,1,15,Wa,10.05,-2.48,54.0,0.64
2014-02-15,2014,2,15,Wa,10.05,-2.48,68.25,0.81
2014-03-15,2014,3,15,Wa,10.05,-2.48,83.67,1.0
2014-05-15,2014,5,15,Wa,10.05,-2.48,91.0,1.08
2014-06-15,2014,6,15,Wa,10.05,-2.48,91.0,1.08
2015-01-15,2015,1,15,Wa,10.05,-2.48,87.94,1.05
2015-02-15,2015,2,15,Wa,10.05,-2.48,109.6,1.3
2015-03-15,2015,3,15,Wa,10.05,-2.48,95.88,1.14
2015-04-15,2015,4,15,Wa,10.05,-2.48,100.45,1.2
2015-05-15,2015,5,15,Wa,10.05,-2.48,109.6,1.3
2015-06-15,2015,6,15,Wa,10.05,-2.48,109.6,1.3
2015-07-15,2015,7,15,Wa,10.05,-2.48,109.6,1.3
2015-08-15,2015,8,15,Wa,10.05,-2.48,109.6,1.3
2015-09-15,2015,9,15,Wa,10.05,-2.48,109.6,1.3
2015-10-15,2015,10,15,Wa,10.05,-2.48,109.6,1.3
2015-11-15,2015,11,15,Wa,10.05,-2.48,123.25,1.47
2015-12-15,2015,12,15,Wa,10.05,-2.48,127.8,1.52
2016-01-15,2016,1,15,Wa,10.05,-2.48,127.8,1.52
2016-02-15,2016,2,15,Wa,10.05,-2.48,109.6,1.3
2016-03-15,2016,3,15,Wa,10.05,-2.48,109.6,1.3
2016-04-15,2016,4,15,Wa,10.05,-2.48,109.6,1.3
2016-05-15,2016,5,15,Wa,10.05,-2.48,109.6,1.3
2016-06-15,2016,6,15,Wa,10.05,-2.48,109.6,1.3
2016-07-15,2016,7,15,Wa,10.05,-2.48,109.6,1.3
2016-08-15,2016,8,15,Wa,10.05,-2.48,114.15,1.36
2016-09-15,2016,9,15,Wa,10.05,-2.48,109.6,1.3
2016-10-15,2016,10,15,Wa,10.05,-2.48,109.6,1.3
2016-11-15,2016,11,15,Wa,10.05,-2.48,109.6,1.3
2016-12-15,2016,12,15,Wa,10.05,-2.48,109.6,1.3
2017-01-15,2017,1,15,Wa,10.05,-2.48,100.45,1.2
2017-02-15,2017,2,15,Wa,10.05,-2.48,103.5,1.23
2017-03-15,2017,3,15,Wa,10.05,-2.48,109.6,1.3
2017-04-15,2017,4,15,Wa,10.05,-2.48,109.6,1.3
2017-05-15,2017,5,15,Wa,10.05,-2.48,109.6,1.3
