date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Ho,6.6,0.47,4.13,4.13
2019-09-15,2019,9,15,Ho,6.6,0.47,4.64,4.64
2019-09-15,2019,9,15,Hohoe,7.15,0.47,5.85,0.22
2019-09-15,2019,9,15,Hohoe,7.15,0.47,1.27,1.27
2019-11-15,2019,11,15,Ho,6.6,0.47,4.71,4.71
2019-11-15,2019,11,15,Hohoe,7.15,0.47,7.31,0.27
2019-11-15,2019,11,15,Hohoe,7.15,0.47,1.35,1.35
2019-12-15,2019,12,15,Ho,6.6,0.47,4.71,4.71
2019-12-15,2019,12,15,Hohoe,7.15,0.47,7.31,0.27
2019-12-15,2019,12,15,Hohoe,7.15,0.47,1.35,1.35
2020-01-15,2020,1,15,Ho,6.6,0.47,1.92,1.92
2020-02-15,2020,2,15,Ho,6.6,0.47,15.75,15.75
2020-02-15,2020,2,15,Hohoe,7.15,0.47,108.69,4.03
2020-02-15,2020,2,15,Hohoe,7.15,0.47,1.74,1.74
2020-03-15,2020,3,15,Ho,6.6,0.47,3.25,3.25
2020-04-15,2020,4,15,Ho,6.6,0.47,3.06,3.06
2020-04-15,2020,4,15,Hohoe,7.15,0.47,209.99,7.78
2020-04-15,2020,4,15,Hohoe,7.15,0.47,3.17,3.17
2020-05-15,2020,5,15,Ho,6.6,0.47,3.82,3.82
2020-05-15,2020,5,15,Hohoe,7.15,0.47,125.26,4.64
2020-05-15,2020,5,15,Hohoe,7.15,0.47,2.22,2.22
2020-06-15,2020,6,15,Hohoe,7.15,0.47,120.26,4.45
2020-06-15,2020,6,15,Hohoe,7.15,0.47,2.26,2.26
2020-07-15,2020,7,15,Ho,6.6,0.47,15.75,15.75
2020-07-15,2020,7,15,Hohoe,7.15,0.47,108.69,4.03
2020-07-15,2020,7,15,Hohoe,7.15,0.47,2.03,2.03
2020-08-15,2020,8,15,Ho,6.6,0.47,12.0,12.0
2020-08-15,2020,8,15,Hohoe,7.15,0.47,288.87,10.7
2020-08-15,2020,8,15,Hohoe,7.15,0.47,5.62,5.62
2020-09-15,2020,9,15,Ho,6.6,0.47,10.5,10.5
2020-09-15,2020,9,15,Hohoe,7.15,0.47,343.32,12.72
2020-09-15,2020,9,15,Hohoe,7.15,0.47,5.43,5.43
2020-10-15,2020,10,15,Ho,6.6,0.47,6.79,6.79
2020-11-15,2020,11,15,Ho,6.6,0.47,6.79,6.79
2021-01-15,2021,1,15,Hohoe,7.15,0.47,19.6,0.73
2021-01-15,2021,1,15,Hohoe,7.15,0.47,3.67,3.67
2021-02-15,2021,2,15,Ho,6.6,0.47,2.19,2.19
2021-03-15,2021,3,15,Ho,6.6,0.47,2.1,2.1
2021-04-15,2021,4,15,Ho,6.6,0.47,2.83,2.83
2021-05-15,2021,5,15,Ho,6.6,0.47,2.1,2.1
2021-06-15,2021,6,15,Ho,6.6,0.47,5.57,5.57
2021-07-15,2021,7,15,Ho,6.6,0.47,1.5,1.5
2021-07-15,2021,7,15,Hohoe,7.15,0.47,1.01,1.01
2021-08-15,2021,8,15,Ho,6.6,0.47,1.57,1.57
2021-09-15,2021,9,15,Ho,6.6,0.47,1.59,1.59
2021-10-15,2021,10,15,Ho,6.6,0.47,1.66,1.66
2021-11-15,2021,11,15,Ho,6.6,0.47,1.65,1.65
2021-12-15,2021,12,15,Ho,6.6,0.47,1.61,1.61
2022-01-15,2022,1,15,Ho,6.6,0.47,1.59,1.59
2022-02-15,2022,2,15,Hohoe,7.15,0.47,423.25,15.68
2022-02-15,2022,2,15,Hohoe,7.15,0.47,2.62,2.62
2022-03-15,2022,3,15,Ho,6.6,0.47,2.93,2.93
2022-03-15,2022,3,15,Hohoe,7.15,0.47,741.36,27.46
2022-03-15,2022,3,15,Hohoe,7.15,0.47,5.56,5.56
2022-04-15,2022,4,15,Ho,6.6,0.47,2.91,2.91
2022-04-15,2022,4,15,Hohoe,7.15,0.47,741.36,27.46
2022-04-15,2022,4,15,Hohoe,7.15,0.47,5.56,5.56
2022-06-15,2022,6,15,Ho,6.6,0.47,1.68,1.68
2022-07-15,2022,7,15,Ho,6.6,0.47,2.87,2.87
2022-07-15,2022,7,15,Hohoe,7.15,0.47,741.36,27.46
2022-07-15,2022,7,15,Hohoe,7.15,0.47,10.21,10.21
2022-08-15,2022,8,15,Ho,6.6,0.47,2.93,2.93
2022-08-15,2022,8,15,Hohoe,7.15,0.47,741.36,27.46
2022-08-15,2022,8,15,Hohoe,7.15,0.47,10.21,10.21
2022-08-15,2022,8,15,Nkwanta,8.26,0.52,3.48,3.48
2022-09-15,2022,9,15,Ho,6.6,0.47,2.96,2.96
2022-09-15,2022,9,15,Hohoe,7.15,0.47,741.36,27.46
2022-09-15,2022,9,15,Hohoe,7.15,0.47,10.21,10.21
2022-09-15,2022,9,15,Nkwanta,8.26,0.52,2.84,2.84
2022-10-15,2022,10,15,Ho,6.6,0.47,1.32,1.32
2022-10-15,2022,10,15,Hohoe,7.15,0.47,741.36,27.46
2022-10-15,2022,10,15,Hohoe,7.15,0.47,10.13,10.13
2022-10-15,2022,10,15,Nkwanta,8.26,0.52,2.0,2.0
2022-11-15,2022,11,15,Ho,6.6,0.47,3.17,3.17
2022-11-15,2022,11,15,Hohoe,7.15,0.47,741.36,27.46
2022-11-15,2022,11,15,Hohoe,7.15,0.47,10.21,10.21
2022-11-15,2022,11,15,Nkwanta,8.26,0.52,3.91,3.91
2022-12-15,2022,12,15,Ho,6.6,0.47,3.11,3.11
2022-12-15,2022,12,15,Hohoe,7.15,0.47,741.36,27.46
2022-12-15,2022,12,15,Hohoe,7.15,0.47,8.83,8.83
2022-12-15,2022,12,15,Nkwanta,8.26,0.52,3.09,3.09
2023-01-15,2023,1,15,Ho,6.6,0.47,3.25,3.25
2023-01-15,2023,1,15,Hohoe,7.15,0.47,741.36,27.46
2023-01-15,2023,1,15,Hohoe,7.15,0.47,8.83,8.83
2023-01-15,2023,1,15,Nkwanta,8.26,0.52,3.4,3.4
2023-02-15,2023,2,15,Ho,6.6,0.47,640.0,23.7
2023-02-15,2023,2,15,Ho,6.6,0.47,8.39,8.39
2023-02-15,2023,2,15,Hohoe,7.15,0.47,379.88,14.07
2023-02-15,2023,2,15,Hohoe,7.15,0.47,11.08,11.08
2023-02-15,2023,2,15,Nkwanta,8.26,0.52,19.17,0.71
2023-02-15,2023,2,15,Nkwanta,8.26,0.52,6.47,6.47
2023-03-15,2023,3,15,Ho,6.6,0.47,4.87,4.87
2023-03-15,2023,3,15,Hohoe,7.15,0.47,640.81,23.73
2023-03-15,2023,3,15,Hohoe,7.15,0.47,10.64,10.64
2023-04-15,2023,4,15,Ho,6.6,0.47,11.5,11.5
2023-04-15,2023,4,15,Hohoe,7.15,0.47,13.6,0.5
2023-04-15,2023,4,15,Hohoe,7.15,0.47,13.33,13.33
2023-04-15,2023,4,15,Nkwanta,8.26,0.52,17.29,0.64
2023-04-15,2023,4,15,Nkwanta,8.26,0.52,8.5,8.5
2023-05-15,2023,5,15,Ho,6.6,0.47,12.5,12.5
2023-05-15,2023,5,15,Hohoe,7.15,0.47,18.4,0.68
2023-05-15,2023,5,15,Hohoe,7.15,0.47,13.33,13.33
2023-05-15,2023,5,15,Nkwanta,8.26,0.52,18.22,0.67
2023-05-15,2023,5,15,Nkwanta,8.26,0.52,7.35,7.35
2023-06-15,2023,6,15,Ho,6.6,0.47,12.5,12.5
2023-06-15,2023,6,15,Hohoe,7.15,0.47,18.4,0.68
2023-06-15,2023,6,15,Hohoe,7.15,0.47,13.33,13.33
2023-06-15,2023,6,15,Nkwanta,8.26,0.52,16.96,0.63
2023-06-15,2023,6,15,Nkwanta,8.26,0.52,7.28,7.28
2023-07-15,2023,7,15,Ho,6.6,0.47,12.5,12.5
2023-07-15,2023,7,15,Hohoe,7.15,0.47,640.81,23.73
2023-07-15,2023,7,15,Hohoe,7.15,0.47,13.33,13.33
2023-07-15,2023,7,15,Nkwanta,8.26,0.52,6.35,6.35
