date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2008-01-15,2008,1,15,Ho,6.6,0.47,28.0,0.28
2008-02-15,2008,2,15,Ho,6.6,0.47,28.7,0.29
2008-03-15,2008,3,15,Ho,6.6,0.47,34.6,0.35
2008-04-15,2008,4,15,Ho,6.6,0.47,39.5,0.4
2008-05-15,2008,5,15,Ho,6.6,0.47,54.5,0.55
2008-06-15,2008,6,15,Ho,6.6,0.47,60.25,0.6
2008-07-15,2008,7,15,Ho,6.6,0.47,89.2,0.89
2008-08-15,2008,8,15,Ho,6.6,0.47,68.25,0.68
2008-09-15,2008,9,15,Ho,6.6,0.47,39.0,0.39
2008-10-15,2008,10,15,Ho,6.6,0.47,40.0,0.4
2008-11-15,2008,11,15,Ho,6.6,0.47,49.6,0.5
2008-12-15,2008,12,15,Ho,6.6,0.47,62.75,0.63
2009-01-15,2009,1,15,Ho,6.6,0.47,54.0,0.54
2009-02-15,2009,2,15,Ho,6.6,0.47,54.0,0.54
2009-03-15,2009,3,15,Ho,6.6,0.47,53.0,0.53
2009-04-15,2009,4,15,Ho,6.6,0.47,61.5,0.62
2009-05-15,2009,5,15,Ho,6.6,0.47,63.0,0.63
2009-06-15,2009,6,15,Ho,6.6,0.47,70.8,0.71
2009-07-15,2009,7,15,Ho,6.6,0.47,59.0,0.59
2009-08-15,2009,8,15,Ho,6.6,0.47,47.2,0.47
2009-09-15,2009,9,15,Ho,6.6,0.47,33.75,0.34
2009-10-15,2009,10,15,Ho,6.6,0.47,49.5,0.5
2009-11-15,2009,11,15,Ho,6.6,0.47,45.0,0.45
2009-12-15,2009,12,15,Ho,6.6,0.47,45.0,0.45
2010-01-15,2010,1,15,Ho,6.6,0.47,45.0,0.45
2010-02-15,2010,2,15,Ho,6.6,0.47,45.0,0.45
2010-03-15,2010,3,15,Ho,6.6,0.47,45.0,0.45
2010-04-15,2010,4,15,Ho,6.6,0.47,45.0,0.45
2010-05-15,2010,5,15,Ho,6.6,0.47,47.0,0.47
2010-06-15,2010,6,15,Ho,6.6,0.47,53.0,0.53
2010-07-15,2010,7,15,Ho,6.6,0.47,54.0,0.54
2010-08-15,2010,8,15,Ho,6.6,0.47,50.25,0.5
2010-09-15,2010,9,15,Ho,6.6,0.47,48.0,0.48
2010-10-15,2010,10,15,Ho,6.6,0.47,42.4,0.42
2010-11-15,2010,11,15,Ho,6.6,0.47,45.25,0.45
2011-01-15,2011,1,15,Ho,6.6,0.47,52.4,0.52
2011-02-15,2011,2,15,Ho,6.6,0.47,40.0,0.4
2011-03-15,2011,3,15,Ho,6.6,0.47,47.5,0.48
2011-04-15,2011,4,15,Ho,6.6,0.47,53.0,0.53
2011-05-15,2011,5,15,Ho,6.6,0.47,68.0,0.68
2011-06-15,2011,6,15,Ho,6.6,0.47,73.0,0.73
2011-07-15,2011,7,15,Ho,6.6,0.47,73.0,0.73
2011-08-15,2011,8,15,Ho,6.6,0.47,75.67,0.76
2011-09-15,2011,9,15,Ho,6.6,0.47,68.0,0.68
2011-10-15,2011,10,15,Ho,6.6,0.47,54.0,0.54
2011-11-15,2011,11,15,Ho,6.6,0.47,68.5,0.68
2011-12-15,2011,12,15,Ho,6.6,0.47,84.2,0.84
2012-01-15,2012,1,15,Ho,6.6,0.47,82.25,0.82
2012-02-15,2012,2,15,Ho,6.6,0.47,82.0,0.82
2012-03-15,2012,3,15,Ho,6.6,0.47,82.2,0.82
2012-04-15,2012,4,15,Ho,6.6,0.47,91.5,0.92
2012-05-15,2012,5,15,Ho,6.6,0.47,111.0,1.11
2012-06-15,2012,6,15,Ho,6.6,0.47,104.6,1.05
2012-07-15,2012,7,15,Ho,6.6,0.47,109.0,1.09
2012-08-15,2012,8,15,Ho,6.6,0.47,86.5,0.86
2012-09-15,2012,9,15,Ho,6.6,0.47,77.5,0.78
2012-10-15,2012,10,15,Ho,6.6,0.47,73.0,0.73
2012-11-15,2012,11,15,Ho,6.6,0.47,82.0,0.82
2012-12-15,2012,12,15,Ho,6.6,0.47,90.4,0.9
2013-01-15,2013,1,15,Ho,6.6,0.47,88.25,0.88
2013-02-15,2013,2,15,Ho,6.6,0.47,73.0,0.73
2013-03-15,2013,3,15,Ho,6.6,0.47,74.0,0.74
2013-04-15,2013,4,15,Ho,6.6,0.47,59.0,0.59
2013-05-15,2013,5,15,Ho,6.6,0.47,55.0,0.55
2013-06-15,2013,6,15,Ho,6.6,0.47,55.0,0.55
2013-07-15,2013,7,15,Ho,6.6,0.47,60.0,0.6
2013-08-15,2013,8,15,Ho,6.6,0.47,69.0,0.69
2013-09-15,2013,9,15,Ho,6.6,0.47,60.0,0.6
2013-10-15,2013,10,15,Ho,6.6,0.47,60.0,0.6
2013-11-15,2013,11,15,Ho,6.6,0.47,60.0,0.6
2013-12-15,2013,12,15,Ho,6.6,0.47,60.0,0.6
2014-01-15,2014,1,15,Ho,6.6,0.47,68.0,0.68
2014-02-15,2014,2,15,Ho,6.6,0.47,70.0,0.7
2014-03-15,2014,3,15,Ho,6.6,0.47,82.0,0.82
2014-04-15,2014,4,15,Ho,6.6,0.47,115.0,1.15
2014-05-15,2014,5,15,Ho,6.6,0.47,160.0,1.6
2014-06-15,2014,6,15,Ho,6.6,0.47,160.0,1.6
2014-07-15,2014,7,15,Ho,6.6,0.47,160.0,1.6
2014-08-15,2014,8,15,Ho,6.6,0.47,160.0,1.6
2014-09-15,2014,9,15,Ho,6.6,0.47,160.0,1.6
2014-10-15,2014,10,15,Ho,6.6,0.47,160.0,1.6
2014-10-15,2014,10,15,Kadjebi,7.53,0.47,140.0,1.4
2014-10-15,2014,10,15,Dambai,8.06,0.18,120.0,1.2
2014-10-15,2014,10,15,Kete Krachi,7.8,-0.05,140.0,1.4
2014-10-15,2014,10,15,Kpassa,8.47,0.36,120.0,1.2
2014-10-15,2014,10,15,Nkwanta,8.26,0.52,120.0,1.2
2014-11-15,2014,11,15,Ho,6.6,0.47,160.0,1.6
2014-12-15,2014,12,15,Ho,6.6,0.47,160.0,1.6
2015-01-15,2015,1,15,Ho,6.6,0.47,160.0,1.6
2015-02-15,2015,2,15,Ho,6.6,0.47,135.0,1.35
2015-03-15,2015,3,15,Ho,6.6,0.47,135.0,1.35
2015-04-15,2015,4,15,Ho,6.6,0.47,113.25,1.13
2015-05-15,2015,5,15,Ho,6.6,0.47,150.0,1.5
2015-06-15,2015,6,15,Ho,6.6,0.47,147.5,1.48
2015-07-15,2015,7,15,Ho,6.6,0.47,165.0,1.65
2016-01-15,2016,1,15,Ho,6.6,0.47,174.0,1.74
2016-02-15,2016,2,15,Ho,6.6,0.47,180.0,1.8
2016-06-15,2016,6,15,Ho,6.6,0.47,104.25,1.04
2018-02-15,2018,2,15,Ho,6.6,0.47,131.08,1.31
2019-08-15,2019,8,15,Ho,6.6,0.47,2.16,2.16
2019-09-15,2019,9,15,Ho,6.6,0.47,2.07,2.07
2019-09-15,2019,9,15,Hohoe,7.15,0.47,140.96,1.41
2019-09-15,2019,9,15,Hohoe,7.15,0.47,1.58,1.58
2019-11-15,2019,11,15,Ho,6.6,0.47,2.06,2.06
2019-11-15,2019,11,15,Hohoe,7.15,0.47,141.0,1.41
2019-11-15,2019,11,15,Hohoe,7.15,0.47,1.63,1.63
2019-12-15,2019,12,15,Ho,6.6,0.47,1.98,1.98
2019-12-15,2019,12,15,Hohoe,7.15,0.47,182.55,1.83
2019-12-15,2019,12,15,Hohoe,7.15,0.47,1.63,1.63
2020-01-15,2020,1,15,Ho,6.6,0.47,1.36,1.36
2020-01-15,2020,1,15,Hohoe,7.15,0.47,203.33,2.03
2020-02-15,2020,2,15,Ho,6.6,0.47,1.88,1.88
2020-02-15,2020,2,15,Hohoe,7.15,0.47,138.01,1.38
2020-02-15,2020,2,15,Hohoe,7.15,0.47,1.7,1.7
2020-03-15,2020,3,15,Ho,6.6,0.47,1.6,1.6
2020-04-15,2020,4,15,Ho,6.6,0.47,1.8,1.8
2020-04-15,2020,4,15,Hohoe,7.15,0.47,203.33,2.03
2020-04-15,2020,4,15,Hohoe,7.15,0.47,2.1,2.1
2020-05-15,2020,5,15,Ho,6.6,0.47,2.19,2.19
2020-05-15,2020,5,15,Hohoe,7.15,0.47,171.76,1.72
2020-05-15,2020,5,15,Hohoe,7.15,0.47,2.14,2.14
2020-06-15,2020,6,15,Hohoe,7.15,0.47,175.0,1.75
2020-06-15,2020,6,15,Hohoe,7.15,0.47,2.12,2.12
2020-07-15,2020,7,15,Ho,6.6,0.47,1.88,1.88
2020-07-15,2020,7,15,Hohoe,7.15,0.47,138.01,1.38
2020-07-15,2020,7,15,Hohoe,7.15,0.47,1.94,1.94
2020-08-15,2020,8,15,Ho,6.6,0.47,1.75,1.75
2020-08-15,2020,8,15,Hohoe,7.15,0.47,160.45,1.6
2020-08-15,2020,8,15,Hohoe,7.15,0.47,1.98,1.98
2020-09-15,2020,9,15,Ho,6.6,0.47,1.76,1.76
2020-09-15,2020,9,15,Hohoe,7.15,0.47,155.46,1.55
2020-09-15,2020,9,15,Hohoe,7.15,0.47,2.04,2.04
2020-10-15,2020,10,15,Ho,6.6,0.47,1.81,1.81
2020-11-15,2020,11,15,Ho,6.6,0.47,1.81,1.81
2021-01-15,2021,1,15,Ho,6.6,0.47,2.37,2.37
2021-01-15,2021,1,15,Hohoe,7.15,0.47,203.79,2.04
2021-01-15,2021,1,15,Hohoe,7.15,0.47,2.66,2.66
2021-02-15,2021,2,15,Ho,6.6,0.47,2.26,2.26
2021-02-15,2021,2,15,Hohoe,7.15,0.47,196.02,1.96
2021-02-15,2021,2,15,Hohoe,7.15,0.47,2.25,2.25
2021-03-15,2021,3,15,Ho,6.6,0.47,2.26,2.26
2021-04-15,2021,4,15,Ho,6.6,0.47,2.22,2.22
2021-05-15,2021,5,15,Ho,6.6,0.47,2.26,2.26
2021-06-15,2021,6,15,Ho,6.6,0.47,3.97,3.97
2021-07-15,2021,7,15,Ho,6.6,0.47,3.77,3.77
2021-07-15,2021,7,15,Hohoe,7.15,0.47,409.74,4.1
2021-07-15,2021,7,15,Hohoe,7.15,0.47,4.31,4.31
2021-08-15,2021,8,15,Ho,6.6,0.47,3.73,3.73
2021-09-15,2021,9,15,Ho,6.6,0.47,3.52,3.52
2021-10-15,2021,10,15,Ho,6.6,0.47,3.5,3.5
2021-11-15,2021,11,15,Ho,6.6,0.47,3.5,3.5
2021-12-15,2021,12,15,Ho,6.6,0.47,3.52,3.52
2022-01-15,2022,1,15,Ho,6.6,0.47,3.52,3.52
2022-02-15,2022,2,15,Hohoe,7.15,0.47,373.27,3.73
2022-02-15,2022,2,15,Hohoe,7.15,0.47,3.73,3.73
